
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,TrackID,ID,
6.5298,um,Surface,1,1000161026,161026,
9.4431,um,Surface,1,1000161027,161027,
6.13474,um,Surface,1,1000161028,161028,
6.05949,um,Surface,1,1000161029,161029,
6.02678,um,Surface,1,1000161030,161030,
6.09488,um,Surface,1,1000161031,161031,
6.89848,um,Surface,1,1000161032,161032,
5.10288,um,Surface,1,1000161033,161033,
6.13959,um,Surface,1,1000161034,161034,
6.57799,um,Surface,1,1000161035,161035,
6.29237,um,Surface,1,1000161036,161036,
5.17457,um,Surface,1,1000161037,161037,
5.9613,um,Surface,1,1000161038,161038,
6.34988,um,Surface,1,1000161039,161039,
6.17435,um,Surface,1,1000161040,161040,
5.84695,um,Surface,1,1000161041,161041,
4.36143,um,Surface,1,1000161042,161042,
5.93032,um,Surface,1,1000161043,161043,
6.46094,um,Surface,1,1000161044,161044,
6.40941,um,Surface,1,1000161045,161045,
4.4494,um,Surface,1,1000161046,161046,
6.009,um,Surface,1,1000161047,161047,
5.63821,um,Surface,1,1000161048,161048,
4.38664,um,Surface,1,1000161049,161049,
5.82678,um,Surface,1,1000161050,161050,
5.53507,um,Surface,1,1000161051,161051,
5.64677,um,Surface,1,1000161052,161052,
6.12813,um,Surface,1,1000161053,161053,
6.82323,um,Surface,1,1000161054,161054,
7.5339,um,Surface,1,1000161055,161055,
5.11267,um,Surface,1,1000161056,161056,
4.25349,um,Surface,1,1000161057,161057,
4.24051,um,Surface,1,1000161058,161058,
5.6025,um,Surface,1,1000161059,161059,
6.78056,um,Surface,1,1000161060,161060,
5.72032,um,Surface,1,1000161061,161061,
7.08951,um,Surface,1,1000161062,161062,
5.59699,um,Surface,1,1000161063,161063,
5.24234,um,Surface,1,1000161064,161064,
6.66469,um,Surface,1,1000161065,161065,
6.62065,um,Surface,1,1000161066,161066,
5.95665,um,Surface,1,1000161067,161067,
6.47191,um,Surface,1,1000161068,161068,
6.20375,um,Surface,1,1000161069,161069,
5.71476,um,Surface,1,1000161070,161070,
6.99138,um,Surface,1,1000161071,161071,
6.42538,um,Surface,1,1000161072,161072,
6.18904,um,Surface,1,1000161073,161073,
6.05673,um,Surface,1,1000161074,161074,
6.01225,um,Surface,1,1000161075,161075,
