
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,TrackID,ID,
7.3614,um,Surface,1,1000161026,161026,
12.4323,um,Surface,1,1000161027,161027,
7.23967,um,Surface,1,1000161028,161028,
7.03913,um,Surface,1,1000161029,161029,
7.39754,um,Surface,1,1000161030,161030,
6.72218,um,Surface,1,1000161031,161031,
8.63279,um,Surface,1,1000161032,161032,
9.73352,um,Surface,1,1000161033,161033,
6.61217,um,Surface,1,1000161034,161034,
8.58311,um,Surface,1,1000161035,161035,
7.67792,um,Surface,1,1000161036,161036,
6.3213,um,Surface,1,1000161037,161037,
7.75747,um,Surface,1,1000161038,161038,
7.69757,um,Surface,1,1000161039,161039,
6.51934,um,Surface,1,1000161040,161040,
7.08678,um,Surface,1,1000161041,161041,
8.63832,um,Surface,1,1000161042,161042,
7.16565,um,Surface,1,1000161043,161043,
7.3898,um,Surface,1,1000161044,161044,
8.24752,um,Surface,1,1000161045,161045,
6.24628,um,Surface,1,1000161046,161046,
7.13539,um,Surface,1,1000161047,161047,
7.77762,um,Surface,1,1000161048,161048,
6.33518,um,Surface,1,1000161049,161049,
7.15019,um,Surface,1,1000161050,161050,
7.95081,um,Surface,1,1000161051,161051,
7.36504,um,Surface,1,1000161052,161052,
7.00335,um,Surface,1,1000161053,161053,
8.70731,um,Surface,1,1000161054,161054,
8.94551,um,Surface,1,1000161055,161055,
14.8917,um,Surface,1,1000161056,161056,
7.65716,um,Surface,1,1000161057,161057,
6.18351,um,Surface,1,1000161058,161058,
6.14745,um,Surface,1,1000161059,161059,
7.72265,um,Surface,1,1000161060,161060,
7.09122,um,Surface,1,1000161061,161061,
7.51828,um,Surface,1,1000161062,161062,
6.21001,um,Surface,1,1000161063,161063,
5.63906,um,Surface,1,1000161064,161064,
7.53966,um,Surface,1,1000161065,161065,
7.94948,um,Surface,1,1000161066,161066,
7.54964,um,Surface,1,1000161067,161067,
7.26502,um,Surface,1,1000161068,161068,
7.30382,um,Surface,1,1000161069,161069,
6.51408,um,Surface,1,1000161070,161070,
7.88228,um,Surface,1,1000161071,161071,
11.5116,um,Surface,1,1000161072,161072,
8.23307,um,Surface,1,1000161073,161073,
6.57742,um,Surface,1,1000161074,161074,
9.36082,um,Surface,1,1000161075,161075,
8.20344,um,Surface,1,1000161076,161076,
9.31696,um,Surface,1,1000161077,161077,
13.3283,um,Surface,1,1000161078,161078,
7.31328,um,Surface,1,1000161079,161079,
6.94596,um,Surface,1,1000161080,161080,
12.8864,um,Surface,1,1000161081,161081,
7.92657,um,Surface,1,1000161082,161082,
6.05764,um,Surface,1,1000161083,161083,
7.12614,um,Surface,1,1000161084,161084,
7.63819,um,Surface,1,1000161085,161085,
8.23703,um,Surface,1,1000161086,161086,
8.46278,um,Surface,1,1000161087,161087,
9.27046,um,Surface,1,1000161088,161088,
6.34066,um,Surface,1,1000161089,161089,
8.37988,um,Surface,1,1000161090,161090,
12.4008,um,Surface,1,1000161091,161091,
6.8911,um,Surface,1,1000161092,161092,
7.80577,um,Surface,1,1000161093,161093,
7.76401,um,Surface,1,1000161094,161094,
7.38933,um,Surface,1,1000161095,161095,
6.84965,um,Surface,1,1000161096,161096,
7.66152,um,Surface,1,1000161097,161097,
7.59988,um,Surface,1,1000161098,161098,
8.24702,um,Surface,1,1000161099,161099,
6.75385,um,Surface,1,1000161100,161100,
9.11206,um,Surface,1,1000161101,161101,
8.75379,um,Surface,1,1000161102,161102,
6.65536,um,Surface,1,1000161103,161103,
8.46424,um,Surface,1,1000161104,161104,
8.93407,um,Surface,1,1000161105,161105,
6.70851,um,Surface,1,1000161106,161106,
9.44941,um,Surface,1,1000161107,161107,
7.79226,um,Surface,1,1000161108,161108,
6.62327,um,Surface,1,1000161109,161109,
12.5255,um,Surface,1,1000161110,161110,
7.42375,um,Surface,1,1000161111,161111,
7.54496,um,Surface,1,1000161112,161112,
7.27939,um,Surface,1,1000161113,161113,
5.94175,um,Surface,1,1000161114,161114,
