
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,TrackID,ID,
0.934389,,Surface,1,1000161026,161026,
0.841292,,Surface,1,1000161027,161027,
0.940269,,Surface,1,1000161028,161028,
0.94624,,Surface,1,1000161029,161029,
0.933348,,Surface,1,1000161030,161030,
0.94616,,Surface,1,1000161031,161031,
0.902861,,Surface,1,1000161032,161032,
0.807111,,Surface,1,1000161033,161033,
0.933089,,Surface,1,1000161034,161034,
0.938476,,Surface,1,1000161035,161035,
0.878133,,Surface,1,1000161036,161036,
0.71686,,Surface,1,1000161037,161037,
0.930071,,Surface,1,1000161038,161038,
0.88574,,Surface,1,1000161039,161039,
0.943312,,Surface,1,1000161040,161040,
0.936672,,Surface,1,1000161041,161041,
0.9158,,Surface,1,1000161042,161042,
0.943121,,Surface,1,1000161043,161043,
0.91908,,Surface,1,1000161044,161044,
0.952716,,Surface,1,1000161045,161045,
0.875642,,Surface,1,1000161046,161046,
0.937561,,Surface,1,1000161047,161047,
0.93693,,Surface,1,1000161048,161048,
0.867308,,Surface,1,1000161049,161049,
0.950849,,Surface,1,1000161050,161050,
0.934684,,Surface,1,1000161051,161051,
0.900096,,Surface,1,1000161052,161052,
0.938437,,Surface,1,1000161053,161053,
0.886697,,Surface,1,1000161054,161054,
0.883803,,Surface,1,1000161055,161055,
0.772481,,Surface,1,1000161056,161056,
0.864822,,Surface,1,1000161057,161057,
0.883879,,Surface,1,1000161058,161058,
0.921544,,Surface,1,1000161059,161059,
0.948042,,Surface,1,1000161060,161060,
0.857655,,Surface,1,1000161061,161061,
0.902519,,Surface,1,1000161062,161062,
0.84069,,Surface,1,1000161063,161063,
0.906699,,Surface,1,1000161064,161064,
0.896862,,Surface,1,1000161065,161065,
0.850023,,Surface,1,1000161066,161066,
0.926942,,Surface,1,1000161067,161067,
0.890603,,Surface,1,1000161068,161068,
0.946724,,Surface,1,1000161069,161069,
0.942302,,Surface,1,1000161070,161070,
0.871609,,Surface,1,1000161071,161071,
0.787985,,Surface,1,1000161072,161072,
0.91875,,Surface,1,1000161073,161073,
0.935291,,Surface,1,1000161074,161074,
0.842592,,Surface,1,1000161075,161075,
0.938997,,Surface,1,1000161076,161076,
0.833225,,Surface,1,1000161077,161077,
0.794346,,Surface,1,1000161078,161078,
0.954818,,Surface,1,1000161079,161079,
0.920591,,Surface,1,1000161080,161080,
0.751479,,Surface,1,1000161081,161081,
0.912724,,Surface,1,1000161082,161082,
0.948277,,Surface,1,1000161083,161083,
0.933585,,Surface,1,1000161084,161084,
0.951028,,Surface,1,1000161085,161085,
0.807092,,Surface,1,1000161086,161086,
0.921149,,Surface,1,1000161087,161087,
0.923826,,Surface,1,1000161088,161088,
0.843328,,Surface,1,1000161089,161089,
0.949293,,Surface,1,1000161090,161090,
0.75185,,Surface,1,1000161091,161091,
0.8285,,Surface,1,1000161092,161092,
0.881284,,Surface,1,1000161093,161093,
0.944688,,Surface,1,1000161094,161094,
0.939718,,Surface,1,1000161095,161095,
0.955597,,Surface,1,1000161096,161096,
0.931414,,Surface,1,1000161097,161097,
0.946274,,Surface,1,1000161098,161098,
0.941394,,Surface,1,1000161099,161099,
0.939896,,Surface,1,1000161100,161100,
0.78274,,Surface,1,1000161101,161101,
0.957066,,Surface,1,1000161102,161102,
0.948043,,Surface,1,1000161103,161103,
0.94909,,Surface,1,1000161104,161104,
0.857889,,Surface,1,1000161105,161105,
0.951064,,Surface,1,1000161106,161106,
0.942147,,Surface,1,1000161107,161107,
0.962588,,Surface,1,1000161108,161108,
0.948481,,Surface,1,1000161109,161109,
0.863336,,Surface,1,1000161110,161110,
0.936686,,Surface,1,1000161111,161111,
0.879593,,Surface,1,1000161112,161112,
0.943822,,Surface,1,1000161113,161113,
0.883329,,Surface,1,1000161114,161114,
0.952631,,Surface,1,1000161115,161115,
0.933257,,Surface,1,1000161116,161116,
0.769454,,Surface,1,1000161117,161117,
0.945714,,Surface,1,1000161118,161118,
0.885694,,Surface,1,1000161119,161119,
0.947179,,Surface,1,1000161120,161120,
0.87554,,Surface,1,1000161121,161121,
0.949131,,Surface,1,1000161122,161122,
0.90674,,Surface,1,1000161123,161123,
0.702777,,Surface,1,1000161124,161124,
0.942401,,Surface,1,1000161125,161125,
0.93264,,Surface,1,1000161126,161126,
0.949593,,Surface,1,1000161127,161127,
0.938656,,Surface,1,1000161128,161128,
0.764726,,Surface,1,1000161129,161129,
0.907838,,Surface,1,1000161130,161130,
0.944592,,Surface,1,1000161131,161131,
0.907761,,Surface,1,1000161132,161132,
