
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
0,,Surface,5,Image 1,1,1000111094,111094,
0,,Surface,5,Image 1,1,1000111095,111095,
0,,Surface,5,Image 1,1,1000111096,111096,
0,,Surface,5,Image 1,1,1000111097,111097,
0,,Surface,5,Image 1,1,1000111098,111098,
3.11111,,Surface,5,Image 1,1,1000111099,111099,
0,,Surface,5,Image 1,1,1000111100,111100,
0.9875,,Surface,5,Image 1,1,1000111101,111101,
0.466667,,Surface,5,Image 1,1,1000111102,111102,
0,,Surface,5,Image 1,1,1000111103,111103,
0.333333,,Surface,5,Image 1,1,1000111104,111104,
2.31818,,Surface,5,Image 1,1,1000111105,111105,
0,,Surface,5,Image 1,1,1000111106,111106,
0,,Surface,5,Image 1,1,1000111107,111107,
0.232877,,Surface,5,Image 1,1,1000111108,111108,
1.61667,,Surface,5,Image 1,1,1000111109,111109,
4.28378,,Surface,5,Image 1,1,1000111110,111110,
1.12766,,Surface,5,Image 1,1,1000111111,111111,
0.848214,,Surface,5,Image 1,1,1000111112,111112,
0,,Surface,5,Image 1,1,1000111113,111113,
0,,Surface,5,Image 1,1,1000111114,111114,
0,,Surface,5,Image 1,1,1000111115,111115,
0,,Surface,5,Image 1,1,1000111116,111116,
1.94318,,Surface,5,Image 1,1,1000111117,111117,
0,,Surface,5,Image 1,1,1000111118,111118,
0,,Surface,5,Image 1,1,1000111119,111119,
2.69608,,Surface,5,Image 1,1,1000111120,111120,
1.21538,,Surface,5,Image 1,1,1000111121,111121,
0,,Surface,5,Image 1,1,1000111122,111122,
0,,Surface,5,Image 1,1,1000111123,111123,
0.025,,Surface,5,Image 1,1,1000111124,111124,
4.58491,,Surface,5,Image 1,1,1000111125,111125,
0.0350877,,Surface,5,Image 1,1,1000111126,111126,
8.08696,,Surface,5,Image 1,1,1000111127,111127,
2.51852,,Surface,5,Image 1,1,1000111128,111128,
0.056338,,Surface,5,Image 1,1,1000111129,111129,
0.0731707,,Surface,5,Image 1,1,1000111130,111130,
2.48936,,Surface,5,Image 1,1,1000111131,111131,
