
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
5,,Surface,1,Image 1,1,1000111094,111094,
5,,Surface,1,Image 1,1,1000111095,111095,
13,,Surface,1,Image 1,1,1000111096,111096,
4,,Surface,1,Image 1,1,1000111097,111097,
4,,Surface,1,Image 1,1,1000111098,111098,
3,,Surface,1,Image 1,1,1000111099,111099,
4,,Surface,1,Image 1,1,1000111100,111100,
3,,Surface,1,Image 1,1,1000111101,111101,
3,,Surface,1,Image 1,1,1000111102,111102,
5,,Surface,1,Image 1,1,1000111103,111103,
3,,Surface,1,Image 1,1,1000111104,111104,
5,,Surface,1,Image 1,1,1000111105,111105,
35,,Surface,1,Image 1,1,1000111106,111106,
14,,Surface,1,Image 1,1,1000111107,111107,
3,,Surface,1,Image 1,1,1000111108,111108,
4,,Surface,1,Image 1,1,1000111109,111109,
4,,Surface,1,Image 1,1,1000111110,111110,
4,,Surface,1,Image 1,1,1000111111,111111,
2,,Surface,1,Image 1,1,1000111112,111112,
6,,Surface,1,Image 1,1,1000111113,111113,
7,,Surface,1,Image 1,1,1000111114,111114,
9,,Surface,1,Image 1,1,1000111115,111115,
7,,Surface,1,Image 1,1,1000111116,111116,
3,,Surface,1,Image 1,1,1000111117,111117,
2,,Surface,1,Image 1,1,1000111118,111118,
22,,Surface,1,Image 1,1,1000111119,111119,
2,,Surface,1,Image 1,1,1000111120,111120,
4,,Surface,1,Image 1,1,1000111121,111121,
5,,Surface,1,Image 1,1,1000111122,111122,
110,,Surface,1,Image 1,1,1000111123,111123,
4,,Surface,1,Image 1,1,1000111124,111124,
5,,Surface,1,Image 1,1,1000111125,111125,
3,,Surface,1,Image 1,1,1000111126,111126,
2,,Surface,1,Image 1,1,1000111127,111127,
4,,Surface,1,Image 1,1,1000111128,111128,
6,,Surface,1,Image 1,1,1000111129,111129,
4,,Surface,1,Image 1,1,1000111130,111130,
4,,Surface,1,Image 1,1,1000111131,111131,
4,,Surface,1,Image 1,1,1000111132,111132,
4,,Surface,1,Image 1,1,1000111133,111133,
4,,Surface,1,Image 1,1,1000111134,111134,
4,,Surface,1,Image 1,1,1000111135,111135,
5,,Surface,1,Image 1,1,1000111136,111136,
3,,Surface,1,Image 1,1,1000111137,111137,
1,,Surface,1,Image 1,1,1000111138,111138,
5,,Surface,1,Image 1,1,1000111139,111139,
3,,Surface,1,Image 1,1,1000111140,111140,
3,,Surface,1,Image 1,1,1000111141,111141,
4,,Surface,1,Image 1,1,1000111142,111142,
9,,Surface,1,Image 1,1,1000111143,111143,
43,,Surface,1,Image 1,1,1000111144,111144,
2,,Surface,1,Image 1,1,1000111145,111145,
2,,Surface,1,Image 1,1,1000111146,111146,
5,,Surface,1,Image 1,1,1000111147,111147,
9,,Surface,1,Image 1,1,1000111148,111148,
95,,Surface,1,Image 1,1,1000111149,111149,
3,,Surface,1,Image 1,1,1000111150,111150,
43,,Surface,1,Image 1,1,1000111151,111151,
5,,Surface,1,Image 1,1,1000111152,111152,
3,,Surface,1,Image 1,1,1000111153,111153,
2,,Surface,1,Image 1,1,1000111154,111154,
33,,Surface,1,Image 1,1,1000111155,111155,
3,,Surface,1,Image 1,1,1000111156,111156,
4,,Surface,1,Image 1,1,1000111157,111157,
2,,Surface,1,Image 1,1,1000111158,111158,
69,,Surface,1,Image 1,1,1000111159,111159,
4,,Surface,1,Image 1,1,1000111160,111160,
4,,Surface,1,Image 1,1,1000111161,111161,
3,,Surface,1,Image 1,1,1000111162,111162,
25,,Surface,1,Image 1,1,1000111163,111163,
3,,Surface,1,Image 1,1,1000111164,111164,
35,,Surface,1,Image 1,1,1000111165,111165,
4,,Surface,1,Image 1,1,1000111166,111166,
3,,Surface,1,Image 1,1,1000111167,111167,
3,,Surface,1,Image 1,1,1000111168,111168,
88,,Surface,1,Image 1,1,1000111169,111169,
7,,Surface,1,Image 1,1,1000111170,111170,
2,,Surface,1,Image 1,1,1000111171,111171,
9,,Surface,1,Image 1,1,1000111172,111172,
5,,Surface,1,Image 1,1,1000111173,111173,
2,,Surface,1,Image 1,1,1000111174,111174,
4,,Surface,1,Image 1,1,1000111175,111175,
5,,Surface,1,Image 1,1,1000111176,111176,
6,,Surface,1,Image 1,1,1000111177,111177,
2,,Surface,1,Image 1,1,1000111178,111178,
5,,Surface,1,Image 1,1,1000111179,111179,
4,,Surface,1,Image 1,1,1000111180,111180,
1,,Surface,1,Image 1,1,1000111181,111181,
10,,Surface,1,Image 1,1,1000111182,111182,
4,,Surface,1,Image 1,1,1000111183,111183,
3,,Surface,1,Image 1,1,1000111184,111184,
67,,Surface,1,Image 1,1,1000111185,111185,
12,,Surface,1,Image 1,1,1000111186,111186,
41,,Surface,1,Image 1,1,1000111187,111187,
4,,Surface,1,Image 1,1,1000111188,111188,
4,,Surface,1,Image 1,1,1000111189,111189,
31,,Surface,1,Image 1,1,1000111190,111190,
0,,Surface,1,Image 1,1,1000111191,111191,
2,,Surface,1,Image 1,1,1000111192,111192,
4,,Surface,1,Image 1,1,1000111193,111193,
3,,Surface,1,Image 1,1,1000111194,111194,
10,,Surface,1,Image 1,1,1000111195,111195,
26,,Surface,1,Image 1,1,1000111196,111196,
4,,Surface,1,Image 1,1,1000111197,111197,
13,,Surface,1,Image 1,1,1000111198,111198,
3,,Surface,1,Image 1,1,1000111199,111199,
4,,Surface,1,Image 1,1,1000111200,111200,
4,,Surface,1,Image 1,1,1000111201,111201,
118,,Surface,1,Image 1,1,1000111202,111202,
117,,Surface,1,Image 1,1,1000111203,111203,
2,,Surface,1,Image 1,1,1000111204,111204,
4,,Surface,1,Image 1,1,1000111205,111205,
3,,Surface,1,Image 1,1,1000111206,111206,
3,,Surface,1,Image 1,1,1000111207,111207,
3,,Surface,1,Image 1,1,1000111208,111208,
7,,Surface,1,Image 1,1,1000111209,111209,
2,,Surface,1,Image 1,1,1000111210,111210,
6,,Surface,1,Image 1,1,1000111211,111211,
3,,Surface,1,Image 1,1,1000111212,111212,
3,,Surface,1,Image 1,1,1000111213,111213,
4,,Surface,1,Image 1,1,1000111214,111214,
8,,Surface,1,Image 1,1,1000111215,111215,
3,,Surface,1,Image 1,1,1000111216,111216,
5,,Surface,1,Image 1,1,1000111217,111217,
5,,Surface,1,Image 1,1,1000111218,111218,
4,,Surface,1,Image 1,1,1000111219,111219,
47,,Surface,1,Image 1,1,1000111220,111220,
3,,Surface,1,Image 1,1,1000111221,111221,
2,,Surface,1,Image 1,1,1000111222,111222,
4,,Surface,1,Image 1,1,1000111223,111223,
2,,Surface,1,Image 1,1,1000111224,111224,
1,,Surface,1,Image 1,1,1000111225,111225,
3,,Surface,1,Image 1,1,1000111226,111226,
8,,Surface,1,Image 1,1,1000111227,111227,
18,,Surface,1,Image 1,1,1000111228,111228,
2,,Surface,1,Image 1,1,1000111229,111229,
49,,Surface,1,Image 1,1,1000111230,111230,
2,,Surface,1,Image 1,1,1000111231,111231,
5,,Surface,1,Image 1,1,1000111232,111232,
4,,Surface,1,Image 1,1,1000111233,111233,
45,,Surface,1,Image 1,1,1000111234,111234,
6,,Surface,1,Image 1,1,1000111235,111235,
4,,Surface,1,Image 1,1,1000111236,111236,
3,,Surface,1,Image 1,1,1000111237,111237,
2,,Surface,1,Image 1,1,1000111238,111238,
3,,Surface,1,Image 1,1,1000111239,111239,
4,,Surface,1,Image 1,1,1000111240,111240,
4,,Surface,1,Image 1,1,1000111241,111241,
51,,Surface,1,Image 1,1,1000111242,111242,
3,,Surface,1,Image 1,1,1000111243,111243,
153,,Surface,1,Image 1,1,1000111244,111244,
2,,Surface,1,Image 1,1,1000111245,111245,
4,,Surface,1,Image 1,1,1000111246,111246,
3,,Surface,1,Image 1,1,1000111247,111247,
6,,Surface,1,Image 1,1,1000111248,111248,
6,,Surface,1,Image 1,1,1000111249,111249,
63,,Surface,1,Image 1,1,1000111250,111250,
2,,Surface,1,Image 1,1,1000111251,111251,
3,,Surface,1,Image 1,1,1000111252,111252,
4,,Surface,1,Image 1,1,1000111253,111253,
7,,Surface,1,Image 1,2,1000111122,111254,
4,,Surface,1,Image 1,2,1000111095,111255,
4,,Surface,1,Image 1,2,1000111094,111256,
4,,Surface,1,Image 1,2,1000111257,111257,
35,,Surface,1,Image 1,2,1000111096,111258,
3,,Surface,1,Image 1,2,1000111099,111259,
4,,Surface,1,Image 1,2,1000111097,111260,
5,,Surface,1,Image 1,2,1000111098,111261,
5,,Surface,1,Image 1,2,1000111100,111262,
4,,Surface,1,Image 1,2,1000111101,111263,
1,,Surface,1,Image 1,2,1000111102,111264,
6,,Surface,1,Image 1,2,1000111265,111265,
4,,Surface,1,Image 1,2,1000111105,111266,
3,,Surface,1,Image 1,2,1000111104,111267,
6,,Surface,1,Image 1,2,1000111107,111268,
24,,Surface,1,Image 1,2,1000111106,111269,
1,,Surface,1,Image 1,2,1000111109,111270,
4,,Surface,1,Image 1,2,1000111108,111271,
0,,Surface,1,Image 1,2,1000111110,111272,
3,,Surface,1,Image 1,2,1000111111,111273,
62,,Surface,1,Image 1,2,1000111274,111274,
3,,Surface,1,Image 1,2,1000111112,111275,
3,,Surface,1,Image 1,2,1000111113,111276,
3,,Surface,1,Image 1,2,1000111114,111277,
84,,Surface,1,Image 1,2,1000111116,111278,
3,,Surface,1,Image 1,2,1000111117,111279,
19,,Surface,1,Image 1,2,1000111119,111280,
2,,Surface,1,Image 1,2,1000111118,111281,
100,,Surface,1,Image 1,2,1000111123,111282,
1,,Surface,1,Image 1,2,1000111125,111283,
5,,Surface,1,Image 1,2,1000111121,111284,
4,,Surface,1,Image 1,2,1000111120,111285,
4,,Surface,1,Image 1,2,1000111127,111286,
5,,Surface,1,Image 1,2,1000111128,111287,
3,,Surface,1,Image 1,2,1000111129,111288,
3,,Surface,1,Image 1,2,1000111124,111289,
5,,Surface,1,Image 1,2,1000111132,111290,
4,,Surface,1,Image 1,2,1000111133,111291,
3,,Surface,1,Image 1,2,1000111126,111292,
3,,Surface,1,Image 1,2,1000111136,111293,
4,,Surface,1,Image 1,2,1000111137,111294,
3,,Surface,1,Image 1,2,1000111130,111295,
5,,Surface,1,Image 1,2,1000111131,111296,
6,,Surface,1,Image 1,2,1000111139,111297,
8,,Surface,1,Image 1,2,1000111134,111298,
2,,Surface,1,Image 1,2,1000111135,111299,
6,,Surface,1,Image 1,2,1000111143,111300,
53,,Surface,1,Image 1,2,1000111144,111301,
1,,Surface,1,Image 1,2,1000111140,111302,
5,,Surface,1,Image 1,2,1000111142,111303,
6,,Surface,1,Image 1,2,1000111141,111304,
1,,Surface,1,Image 1,2,1000111146,111305,
0,,Surface,1,Image 1,2,1000111138,111306,
49,,Surface,1,Image 1,2,1000111151,111307,
12,,Surface,1,Image 1,2,1000111308,111308,
3,,Surface,1,Image 1,2,1000111148,111309,
3,,Surface,1,Image 1,2,1000111147,111310,
63,,Surface,1,Image 1,2,1000111149,111311,
3,,Surface,1,Image 1,2,1000111150,111312,
3,,Surface,1,Image 1,2,1000111145,111313,
1,,Surface,1,Image 1,2,1000111153,111314,
2,,Surface,1,Image 1,2,1000111315,111315,
81,,Surface,1,Image 1,2,1000111155,111316,
2,,Surface,1,Image 1,2,1000111156,111317,
3,,Surface,1,Image 1,2,1000111154,111318,
2,,Surface,1,Image 1,2,1000111158,111319,
4,,Surface,1,Image 1,2,1000111152,111320,
20,,Surface,1,Image 1,2,1000111163,111321,
53,,Surface,1,Image 1,2,1000111157,111322,
48,,Surface,1,Image 1,2,1000111159,111323,
3,,Surface,1,Image 1,2,1000111160,111324,
3,,Surface,1,Image 1,2,1000111161,111325,
3,,Surface,1,Image 1,2,1000111162,111326,
35,,Surface,1,Image 1,2,1000111165,111327,
5,,Surface,1,Image 1,2,1000111166,111328,
2,,Surface,1,Image 1,2,1000111167,111329,
29,,Surface,1,Image 1,2,1000111169,111330,
3,,Surface,1,Image 1,2,1000111170,111331,
5,,Surface,1,Image 1,2,1000111164,111332,
6,,Surface,1,Image 1,2,1000111171,111333,
3,,Surface,1,Image 1,2,1000111173,111334,
5,,Surface,1,Image 1,2,1000111172,111335,
3,,Surface,1,Image 1,2,1000111168,111336,
5,,Surface,1,Image 1,2,1000111175,111337,
6,,Surface,1,Image 1,2,1000111177,111338,
0,,Surface,1,Image 1,2,1000111174,111339,
21,,Surface,1,Image 1,2,1000111340,111340,
3,,Surface,1,Image 1,2,1000111178,111341,
2,,Surface,1,Image 1,2,1000111182,111342,
4,,Surface,1,Image 1,2,1000111181,111343,
3,,Surface,1,Image 1,2,1000111179,111344,
3,,Surface,1,Image 1,2,1000111180,111345,
2,,Surface,1,Image 1,2,1000111183,111346,
35,,Surface,1,Image 1,2,1000111185,111347,
14,,Surface,1,Image 1,2,1000111186,111348,
27,,Surface,1,Image 1,2,1000111187,111349,
4,,Surface,1,Image 1,2,1000111188,111350,
26,,Surface,1,Image 1,2,1000111190,111351,
4,,Surface,1,Image 1,2,1000111189,111352,
6,,Surface,1,Image 1,2,1000111191,111353,
5,,Surface,1,Image 1,2,1000111192,111354,
