
Speed
 ==================== 
Speed,Unit,Category,Time,TrackID,ID,
0.0294531,um/s,Surface,1,1000190005,190005,
0.0153545,um/s,Surface,1,1000190006,190006,
0.038272,um/s,Surface,1,1000190007,190007,
0.0602102,um/s,Surface,1,1000190008,190008,
0.0553849,um/s,Surface,1,1000190009,190009,
0.0392474,um/s,Surface,1,1000190010,190010,
0.0201592,um/s,Surface,1,1000190011,190011,
0.0125535,um/s,Surface,1,1000190012,190012,
0.0333693,um/s,Surface,1,1000190013,190013,
0.0594873,um/s,Surface,1,1000190014,190014,
0.0569368,um/s,Surface,1,1000190015,190015,
0.017707,um/s,Surface,1,1000190016,190016,
0.0419304,um/s,Surface,1,1000190017,190017,
0.0114389,um/s,Surface,1,1000190018,190018,
0.0314632,um/s,Surface,1,1000190019,190019,
0.0430697,um/s,Surface,1,1000190020,190020,
0.041069,um/s,Surface,1,1000190021,190021,
0.0350635,um/s,Surface,1,1000190022,190022,
0.0191433,um/s,Surface,1,1000190023,190023,
0.0504228,um/s,Surface,1,1000190024,190024,
0.0169931,um/s,Surface,1,1000190025,190025,
0.00912231,um/s,Surface,1,1000190026,190026,
0.0696118,um/s,Surface,1,1000190027,190027,
0.0354768,um/s,Surface,1,1000190028,190028,
0.0197992,um/s,Surface,1,1000190029,190029,
0.0341101,um/s,Surface,1,1000190030,190030,
0.025634,um/s,Surface,1,1000190031,190031,
0.016885,um/s,Surface,1,1000190032,190032,
0.112974,um/s,Surface,1,1000190033,190033,
0.0626285,um/s,Surface,1,1000190034,190034,
0.0377925,um/s,Surface,1,1000190035,190035,
0.024478,um/s,Surface,1,1000190036,190036,
0.0482164,um/s,Surface,1,1000190037,190037,
0.0673207,um/s,Surface,1,1000190038,190038,
0.0219897,um/s,Surface,1,1000190039,190039,
0.0279237,um/s,Surface,1,1000190040,190040,
0.0299723,um/s,Surface,1,1000190041,190041,
0.0313701,um/s,Surface,1,1000190042,190042,
0.0110023,um/s,Surface,1,1000190043,190043,
0.0316044,um/s,Surface,1,1000190044,190044,
0.0171434,um/s,Surface,1,1000190045,190045,
0.0344321,um/s,Surface,1,1000190046,190046,
0.0462421,um/s,Surface,1,1000190047,190047,
0.0214993,um/s,Surface,1,1000190048,190048,
0.00572369,um/s,Surface,1,1000190049,190049,
0.0411587,um/s,Surface,1,1000190050,190050,
0.0315321,um/s,Surface,1,1000190051,190051,
0.0251709,um/s,Surface,1,1000190052,190052,
0.0360433,um/s,Surface,1,1000190053,190053,
0.01561,um/s,Surface,1,1000190054,190054,
0.0114922,um/s,Surface,1,1000190055,190055,
0.0831493,um/s,Surface,1,1000190056,190056,
0.0269755,um/s,Surface,1,1000190057,190057,
0.0357192,um/s,Surface,1,1000190058,190058,
0.0438686,um/s,Surface,1,1000190059,190059,
0.0345999,um/s,Surface,1,1000190060,190060,
0.0257925,um/s,Surface,1,1000190061,190061,
0.0107363,um/s,Surface,1,1000190062,190062,
0.0141687,um/s,Surface,1,1000190063,190063,
0.0401483,um/s,Surface,1,1000190064,190064,
0.0247608,um/s,Surface,1,1000190065,190065,
0.0279128,um/s,Surface,1,1000190066,190066,
0.0175106,um/s,Surface,1,1000190067,190067,
0.0379369,um/s,Surface,1,1000190068,190068,
0.0404103,um/s,Surface,1,1000190069,190069,
0.02979,um/s,Surface,1,1000190070,190070,
0.0237677,um/s,Surface,1,1000190071,190071,
0.0268709,um/s,Surface,1,1000190072,190072,
0.0202726,um/s,Surface,1,1000190073,190073,
0.0485352,um/s,Surface,1,1000190074,190074,
0.0229485,um/s,Surface,1,1000190075,190075,
0.0218458,um/s,Surface,1,1000190076,190076,
0.0320536,um/s,Surface,1,1000190077,190077,
0.0257283,um/s,Surface,1,1000190078,190078,
0.0239895,um/s,Surface,1,1000190079,190079,
0.0161241,um/s,Surface,1,1000190080,190080,
0.0197182,um/s,Surface,1,1000190081,190081,
0.0642273,um/s,Surface,1,1000190082,190082,
0.0234021,um/s,Surface,1,1000190083,190083,
0.0339099,um/s,Surface,1,1000190084,190084,
0.00584348,um/s,Surface,1,1000190085,190085,
0.0882502,um/s,Surface,1,1000190086,190086,
0.0544223,um/s,Surface,1,1000190087,190087,
0.0394003,um/s,Surface,1,1000190088,190088,
0.0837441,um/s,Surface,1,1000190089,190089,
0.0243453,um/s,Surface,1,1000190090,190090,
0.0132857,um/s,Surface,1,1000190091,190091,
0.0268693,um/s,Surface,1,1000190092,190092,
0.0387918,um/s,Surface,1,1000190093,190093,
0.0730426,um/s,Surface,1,1000190094,190094,
0.0120436,um/s,Surface,1,1000190095,190095,
0.0276938,um/s,Surface,1,1000190096,190096,
0.0356226,um/s,Surface,1,1000190097,190097,
0.044228,um/s,Surface,1,1000190098,190098,
0.0234258,um/s,Surface,1,1000190099,190099,
0.0186157,um/s,Surface,1,1000190100,190100,
0.0400616,um/s,Surface,1,1000190101,190101,
0.0663135,um/s,Surface,1,1000190102,190102,
0.0306522,um/s,Surface,1,1000190103,190103,
0.0248963,um/s,Surface,1,1000190104,190104,
0.0455765,um/s,Surface,1,1000190105,190105,
0.0128698,um/s,Surface,1,1000190106,190106,
0.0372919,um/s,Surface,1,1000190107,190107,
0.0406918,um/s,Surface,1,1000190108,190108,
0.0388333,um/s,Surface,1,1000190109,190109,
0.00694525,um/s,Surface,1,1000190110,190110,
0.0279652,um/s,Surface,1,1000190111,190111,
0.0190802,um/s,Surface,1,1000190112,190112,
0.026153,um/s,Surface,1,1000190113,190113,
0.0224407,um/s,Surface,1,1000190114,190114,
0.0209056,um/s,Surface,1,1000190115,190115,
0.0250173,um/s,Surface,1,1000190116,190116,
0.00995053,um/s,Surface,1,1000190117,190117,
0.0200034,um/s,Surface,1,1000190118,190118,
0.0136795,um/s,Surface,1,1000190119,190119,
0.0747204,um/s,Surface,1,1000190120,190120,
0.0159559,um/s,Surface,1,1000190121,190121,
0.021956,um/s,Surface,1,1000190122,190122,
0.0346419,um/s,Surface,1,1000190123,190123,
0.00734728,um/s,Surface,1,1000190124,190124,
0.00906556,um/s,Surface,1,1000190125,190125,
0.0384222,um/s,Surface,1,1000190126,190126,
0.0422063,um/s,Surface,1,1000190127,190127,
0.0611061,um/s,Surface,1,1000190128,190128,
0.0415793,um/s,Surface,1,1000190129,190129,
0.0261016,um/s,Surface,1,1000190130,190130,
0.0218237,um/s,Surface,1,1000190131,190131,
0.0222423,um/s,Surface,1,1000190132,190132,
0.0406171,um/s,Surface,1,1000190133,190133,
0.0266598,um/s,Surface,1,1000190134,190134,
0.0403933,um/s,Surface,1,1000190135,190135,
0.017912,um/s,Surface,1,1000190136,190136,
0.0308833,um/s,Surface,1,1000190137,190137,
0.0271008,um/s,Surface,1,1000190138,190138,
0.0070886,um/s,Surface,1,1000190139,190139,
0.0291183,um/s,Surface,1,1000190140,190140,
0.0155399,um/s,Surface,2,1000190005,190141,
0.0137602,um/s,Surface,2,1000190006,190142,
0.0907827,um/s,Surface,2,1000190008,190143,
0.0565419,um/s,Surface,2,1000190009,190144,
0.00777003,um/s,Surface,2,1000190010,190145,
0.00387912,um/s,Surface,2,1000190011,190146,
0.0191293,um/s,Surface,2,1000190012,190147,
0.0201707,um/s,Surface,2,1000190007,190148,
0.00978746,um/s,Surface,2,1000190013,190149,
0.010228,um/s,Surface,2,1000190015,190150,
0.0251325,um/s,Surface,2,1000190014,190151,
0.0358693,um/s,Surface,2,1000190016,190152,
0.0200777,um/s,Surface,2,1000190017,190153,
0.0278054,um/s,Surface,2,1000190020,190154,
0.011186,um/s,Surface,2,1000190022,190155,
0.0184667,um/s,Surface,2,1000190023,190156,
0.00835519,um/s,Surface,2,1000190018,190157,
0.0162948,um/s,Surface,2,1000190019,190158,
0.0139293,um/s,Surface,2,1000190159,190159,
0.0173433,um/s,Surface,2,1000190021,190160,
0.00826132,um/s,Surface,2,1000190031,190161,
0.0191367,um/s,Surface,2,1000190024,190162,
0.020209,um/s,Surface,2,1000190025,190163,
0.0313762,um/s,Surface,2,1000190026,190164,
0.0285936,um/s,Surface,2,1000190034,190165,
0.0778164,um/s,Surface,2,1000190027,190166,
0.0136165,um/s,Surface,2,1000190030,190167,
0.0244675,um/s,Surface,2,1000190028,190168,
0.00750234,um/s,Surface,2,1000190029,190169,
0.0203988,um/s,Surface,2,1000190036,190170,
0.0184774,um/s,Surface,2,1000190040,190171,
0.0226116,um/s,Surface,2,1000190037,190172,
0.0141436,um/s,Surface,2,1000190032,190173,
0.0329861,um/s,Surface,2,1000190038,190174,
0.0187295,um/s,Surface,2,1000190041,190175,
0.0118028,um/s,Surface,2,1000190035,190176,
0.036452,um/s,Surface,2,1000190033,190177,
0.0176032,um/s,Surface,2,1000190042,190178,
0.00282724,um/s,Surface,2,1000190043,190179,
0.019099,um/s,Surface,2,1000190039,190180,
0.0103584,um/s,Surface,2,1000190045,190181,
0.0100687,um/s,Surface,2,1000190046,190182,
0.0172765,um/s,Surface,2,1000190047,190183,
0.0434848,um/s,Surface,2,1000190049,190184,
0.0189646,um/s,Surface,2,1000190050,190185,
0.0106541,um/s,Surface,2,1000190051,190186,
0.0180188,um/s,Surface,2,1000190044,190187,
0.00702393,um/s,Surface,2,1000190052,190188,
0.0190867,um/s,Surface,2,1000190048,190189,
0.0337402,um/s,Surface,2,1000190053,190190,
0.012075,um/s,Surface,2,1000190055,190191,
0.00396735,um/s,Surface,2,1000190054,190192,
0.0551064,um/s,Surface,2,1000190058,190193,
0.0110107,um/s,Surface,2,1000190057,190194,
0.012807,um/s,Surface,2,1000190195,190195,
0.00474118,um/s,Surface,2,1000190063,190196,
0.00465149,um/s,Surface,2,1000190062,190197,
0.0419659,um/s,Surface,2,1000190056,190198,
0.00670262,um/s,Surface,2,1000190064,190199,
0.0115295,um/s,Surface,2,1000190059,190200,
0.00874043,um/s,Surface,2,1000190065,190201,
0.0205633,um/s,Surface,2,1000190061,190202,
0.00743949,um/s,Surface,2,1000190060,190203,
0.00762261,um/s,Surface,2,1000190066,190204,
0.015752,um/s,Surface,2,1000190069,190205,
0.0118237,um/s,Surface,2,1000190073,190206,
0.017701,um/s,Surface,2,1000190072,190207,
0.00512544,um/s,Surface,2,1000190068,190208,
0.0103656,um/s,Surface,2,1000190067,190209,
0.00896036,um/s,Surface,2,1000190071,190210,
0.016971,um/s,Surface,2,1000190077,190211,
0.00742446,um/s,Surface,2,1000190078,190212,
0.0182675,um/s,Surface,2,1000190075,190213,
0.0259821,um/s,Surface,2,1000190070,190214,
0.00371434,um/s,Surface,2,1000190080,190215,
0.00634621,um/s,Surface,2,1000190081,190216,
0.0024769,um/s,Surface,2,1000190076,190217,
0.00712192,um/s,Surface,2,1000190074,190218,
0.0231214,um/s,Surface,2,1000190082,190219,
