
Volume
 ==================== 
Volume,Unit,Category,Time,TrackID,ID,
940.752,um^3,Surface,1,1000190005,190005,
614.241,um^3,Surface,1,1000190006,190006,
678.329,um^3,Surface,1,1000190007,190007,
750.153,um^3,Surface,1,1000190008,190008,
1064.9,um^3,Surface,1,1000190009,190009,
88.3301,um^3,Surface,1,1000190010,190010,
844.014,um^3,Surface,1,1000190011,190011,
862.13,um^3,Surface,1,1000190012,190012,
818.683,um^3,Surface,1,1000190013,190013,
1013.33,um^3,Surface,1,1000190014,190014,
818.838,um^3,Surface,1,1000190015,190015,
986.343,um^3,Surface,1,1000190016,190016,
913.784,um^3,Surface,1,1000190017,190017,
750.544,um^3,Surface,1,1000190018,190018,
993.734,um^3,Surface,1,1000190019,190019,
1264.65,um^3,Surface,1,1000190020,190020,
604.172,um^3,Surface,1,1000190021,190021,
872.765,um^3,Surface,1,1000190022,190022,
1169.71,um^3,Surface,1,1000190023,190023,
1135.87,um^3,Surface,1,1000190024,190024,
709.458,um^3,Surface,1,1000190025,190025,
811.759,um^3,Surface,1,1000190026,190026,
1225.21,um^3,Surface,1,1000190027,190027,
590.791,um^3,Surface,1,1000190028,190028,
162.765,um^3,Surface,1,1000190029,190029,
158.342,um^3,Surface,1,1000190030,190030,
712.461,um^3,Surface,1,1000190031,190031,
708.086,um^3,Surface,1,1000190032,190032,
1501.07,um^3,Surface,1,1000190033,190033,
734.096,um^3,Surface,1,1000190034,190034,
718.774,um^3,Surface,1,1000190035,190035,
712.038,um^3,Surface,1,1000190036,190036,
1162.76,um^3,Surface,1,1000190037,190037,
1379.69,um^3,Surface,1,1000190038,190038,
694.801,um^3,Surface,1,1000190039,190039,
893.054,um^3,Surface,1,1000190040,190040,
1017.17,um^3,Surface,1,1000190041,190041,
364.697,um^3,Surface,1,1000190042,190042,
791.068,um^3,Surface,1,1000190043,190043,
849.031,um^3,Surface,1,1000190044,190044,
883.266,um^3,Surface,1,1000190045,190045,
404.478,um^3,Surface,1,1000190046,190046,
746.72,um^3,Surface,1,1000190047,190047,
919.316,um^3,Surface,1,1000190048,190048,
1011.87,um^3,Surface,1,1000190049,190049,
728.943,um^3,Surface,1,1000190050,190050,
637.772,um^3,Surface,1,1000190051,190051,
750.867,um^3,Surface,1,1000190052,190052,
989.853,um^3,Surface,1,1000190053,190053,
1116.65,um^3,Surface,1,1000190054,190054,
1233.9,um^3,Surface,1,1000190055,190055,
1595.07,um^3,Surface,1,1000190056,190056,
603.669,um^3,Surface,1,1000190057,190057,
855.555,um^3,Surface,1,1000190058,190058,
707.069,um^3,Surface,1,1000190059,190059,
769.247,um^3,Surface,1,1000190060,190060,
856.383,um^3,Surface,1,1000190061,190061,
1871.73,um^3,Surface,1,1000190062,190062,
59.0311,um^3,Surface,1,1000190063,190063,
737.585,um^3,Surface,1,1000190064,190064,
598.81,um^3,Surface,1,1000190065,190065,
286.474,um^3,Surface,1,1000190066,190066,
679.582,um^3,Surface,1,1000190067,190067,
646.991,um^3,Surface,1,1000190068,190068,
685.412,um^3,Surface,1,1000190069,190069,
465.799,um^3,Surface,1,1000190070,190070,
1067.45,um^3,Surface,1,1000190071,190071,
625.105,um^3,Surface,1,1000190072,190072,
646,um^3,Surface,1,1000190073,190073,
1375.43,um^3,Surface,1,1000190074,190074,
761.437,um^3,Surface,1,1000190075,190075,
1076.67,um^3,Surface,1,1000190076,190076,
634.666,um^3,Surface,1,1000190077,190077,
486.471,um^3,Surface,1,1000190078,190078,
534.762,um^3,Surface,1,1000190079,190079,
940.926,um^3,Surface,1,1000190080,190080,
705.232,um^3,Surface,1,1000190081,190081,
1172.74,um^3,Surface,1,1000190082,190082,
1247.99,um^3,Surface,1,1000190083,190083,
955.811,um^3,Surface,1,1000190084,190084,
843.984,um^3,Surface,1,1000190085,190085,
788.572,um^3,Surface,1,1000190086,190086,
1227.66,um^3,Surface,1,1000190087,190087,
897.855,um^3,Surface,1,1000190088,190088,
570.943,um^3,Surface,1,1000190089,190089,
791.301,um^3,Surface,1,1000190090,190090,
1156.61,um^3,Surface,1,1000190091,190091,
604.968,um^3,Surface,1,1000190092,190092,
824.791,um^3,Surface,1,1000190093,190093,
1431.4,um^3,Surface,1,1000190094,190094,
733.162,um^3,Surface,1,1000190095,190095,
918.972,um^3,Surface,1,1000190096,190096,
1040.83,um^3,Surface,1,1000190097,190097,
1176.32,um^3,Surface,1,1000190098,190098,
918.996,um^3,Surface,1,1000190099,190099,
794.481,um^3,Surface,1,1000190100,190100,
716.732,um^3,Surface,1,1000190101,190101,
1084.69,um^3,Surface,1,1000190102,190102,
647.323,um^3,Surface,1,1000190103,190103,
586.522,um^3,Surface,1,1000190104,190104,
610.308,um^3,Surface,1,1000190105,190105,
960.89,um^3,Surface,1,1000190106,190106,
995.931,um^3,Surface,1,1000190107,190107,
660.069,um^3,Surface,1,1000190108,190108,
999.405,um^3,Surface,1,1000190109,190109,
668.408,um^3,Surface,1,1000190110,190110,
1157.95,um^3,Surface,1,1000190111,190111,
942.771,um^3,Surface,1,1000190112,190112,
607.967,um^3,Surface,1,1000190113,190113,
667.73,um^3,Surface,1,1000190114,190114,
861.996,um^3,Surface,1,1000190115,190115,
145.48,um^3,Surface,1,1000190116,190116,
807.961,um^3,Surface,1,1000190117,190117,
623.356,um^3,Surface,1,1000190118,190118,
822.507,um^3,Surface,1,1000190119,190119,
601.717,um^3,Surface,1,1000190120,190120,
1244.42,um^3,Surface,1,1000190121,190121,
1446.47,um^3,Surface,1,1000190122,190122,
864.756,um^3,Surface,1,1000190123,190123,
695.015,um^3,Surface,1,1000190124,190124,
183.512,um^3,Surface,1,1000190125,190125,
785.599,um^3,Surface,1,1000190126,190126,
680.061,um^3,Surface,1,1000190127,190127,
721.412,um^3,Surface,1,1000190128,190128,
673.492,um^3,Surface,1,1000190129,190129,
1146.26,um^3,Surface,1,1000190130,190130,
908.803,um^3,Surface,1,1000190131,190131,
582.614,um^3,Surface,1,1000190132,190132,
1827.49,um^3,Surface,1,1000190133,190133,
686.299,um^3,Surface,1,1000190134,190134,
775.67,um^3,Surface,1,1000190135,190135,
1232.71,um^3,Surface,1,1000190136,190136,
475.433,um^3,Surface,1,1000190137,190137,
872.137,um^3,Surface,1,1000190138,190138,
552.897,um^3,Surface,1,1000190139,190139,
303.007,um^3,Surface,1,1000190140,190140,
932.24,um^3,Surface,2,1000190005,190141,
761.494,um^3,Surface,2,1000190006,190142,
680.084,um^3,Surface,2,1000190008,190143,
1033.92,um^3,Surface,2,1000190009,190144,
202.949,um^3,Surface,2,1000190010,190145,
756.204,um^3,Surface,2,1000190011,190146,
862.887,um^3,Surface,2,1000190012,190147,
650.976,um^3,Surface,2,1000190007,190148,
812.567,um^3,Surface,2,1000190013,190149,
819.319,um^3,Surface,2,1000190015,190150,
1079.31,um^3,Surface,2,1000190014,190151,
991.61,um^3,Surface,2,1000190016,190152,
918.354,um^3,Surface,2,1000190017,190153,
1316.93,um^3,Surface,2,1000190020,190154,
856.417,um^3,Surface,2,1000190022,190155,
1095.96,um^3,Surface,2,1000190023,190156,
814.677,um^3,Surface,2,1000190018,190157,
952.477,um^3,Surface,2,1000190019,190158,
913.271,um^3,Surface,2,1000190159,190159,
613.88,um^3,Surface,2,1000190021,190160,
718.44,um^3,Surface,2,1000190031,190161,
950.948,um^3,Surface,2,1000190024,190162,
755.314,um^3,Surface,2,1000190025,190163,
830.738,um^3,Surface,2,1000190026,190164,
814.751,um^3,Surface,2,1000190034,190165,
1339.71,um^3,Surface,2,1000190027,190166,
235.551,um^3,Surface,2,1000190030,190167,
598.409,um^3,Surface,2,1000190028,190168,
169.596,um^3,Surface,2,1000190029,190169,
671.35,um^3,Surface,2,1000190036,190170,
882.675,um^3,Surface,2,1000190040,190171,
1104.13,um^3,Surface,2,1000190037,190172,
636.8,um^3,Surface,2,1000190032,190173,
1442.61,um^3,Surface,2,1000190038,190174,
1030.64,um^3,Surface,2,1000190041,190175,
690.566,um^3,Surface,2,1000190035,190176,
1215.29,um^3,Surface,2,1000190033,190177,
436.814,um^3,Surface,2,1000190042,190178,
1169.91,um^3,Surface,2,1000190043,190179,
740.14,um^3,Surface,2,1000190039,190180,
759.899,um^3,Surface,2,1000190045,190181,
400.482,um^3,Surface,2,1000190046,190182,
730.077,um^3,Surface,2,1000190047,190183,
934.468,um^3,Surface,2,1000190049,190184,
645.369,um^3,Surface,2,1000190050,190185,
658.143,um^3,Surface,2,1000190051,190186,
973.689,um^3,Surface,2,1000190044,190187,
812.929,um^3,Surface,2,1000190052,190188,
1036.93,um^3,Surface,2,1000190048,190189,
982.621,um^3,Surface,2,1000190053,190190,
1200.73,um^3,Surface,2,1000190055,190191,
1019.5,um^3,Surface,2,1000190054,190192,
1245.89,um^3,Surface,2,1000190058,190193,
528.71,um^3,Surface,2,1000190057,190194,
803.567,um^3,Surface,2,1000190195,190195,
161.631,um^3,Surface,2,1000190063,190196,
1956.15,um^3,Surface,2,1000190062,190197,
982.994,um^3,Surface,2,1000190056,190198,
735.785,um^3,Surface,2,1000190064,190199,
731.882,um^3,Surface,2,1000190059,190200,
624.142,um^3,Surface,2,1000190065,190201,
794.103,um^3,Surface,2,1000190061,190202,
755.848,um^3,Surface,2,1000190060,190203,
294.707,um^3,Surface,2,1000190066,190204,
649.1,um^3,Surface,2,1000190069,190205,
684.643,um^3,Surface,2,1000190073,190206,
673.24,um^3,Surface,2,1000190072,190207,
745.423,um^3,Surface,2,1000190068,190208,
607.941,um^3,Surface,2,1000190067,190209,
1148.95,um^3,Surface,2,1000190071,190210,
648.083,um^3,Surface,2,1000190077,190211,
468.395,um^3,Surface,2,1000190078,190212,
667.218,um^3,Surface,2,1000190075,190213,
537.265,um^3,Surface,2,1000190070,190214,
798.706,um^3,Surface,2,1000190080,190215,
732.902,um^3,Surface,2,1000190081,190216,
1024.87,um^3,Surface,2,1000190076,190217,
1335.35,um^3,Surface,2,1000190074,190218,
1276.83,um^3,Surface,2,1000190082,190219,
1215.23,um^3,Surface,2,1000190087,190220,
864.625,um^3,Surface,2,1000190088,190221,
429.07,um^3,Surface,2,1000190079,190222,
1306.58,um^3,Surface,2,1000190083,190223,
1146.59,um^3,Surface,2,1000190091,190224,
708.013,um^3,Surface,2,1000190092,190225,
801.895,um^3,Surface,2,1000190093,190226,
936.161,um^3,Surface,2,1000190084,190227,
837.916,um^3,Surface,2,1000190085,190228,
594.637,um^3,Surface,2,1000190095,190229,
462.396,um^3,Surface,2,1000190089,190230,
877.913,um^3,Surface,2,1000190086,190231,
732.908,um^3,Surface,2,1000190090,190232,
1039.76,um^3,Surface,2,1000190097,190233,
1195.05,um^3,Surface,2,1000190098,190234,
1444.72,um^3,Surface,2,1000190094,190235,
809.103,um^3,Surface,2,1000190096,190236,
1062.61,um^3,Surface,2,1000190099,190237,
909.913,um^3,Surface,2,1000190102,190238,
753.965,um^3,Surface,2,1000190100,190239,
703.513,um^3,Surface,2,1000190103,190240,
583.086,um^3,Surface,2,1000190104,190241,
638.844,um^3,Surface,2,1000190105,190242,
1081.78,um^3,Surface,2,1000190107,190243,
719.823,um^3,Surface,2,1000190110,190244,
831.111,um^3,Surface,2,1000190101,190245,
727.747,um^3,Surface,2,1000190108,190246,
832.615,um^3,Surface,2,1000190106,190247,
834.133,um^3,Surface,2,1000190109,190248,
1243.03,um^3,Surface,2,1000190111,190249,
575.625,um^3,Surface,2,1000190113,190250,
655.13,um^3,Surface,2,1000190114,190251,
899.325,um^3,Surface,2,1000190112,190252,
796.865,um^3,Surface,2,1000190115,190253,
761.832,um^3,Surface,2,1000190118,190254,
746.373,um^3,Surface,2,1000190123,190255,
673.278,um^3,Surface,2,1000190124,190256,
789.844,um^3,Surface,2,1000190117,190257,
123.591,um^3,Surface,2,1000190116,190258,
1274.4,um^3,Surface,2,1000190259,190259,
640.425,um^3,Surface,2,1000190128,190260,
900.702,um^3,Surface,2,1000190119,190261,
665.907,um^3,Surface,2,1000190120,190262,
1236.77,um^3,Surface,2,1000190122,190263,
1012.91,um^3,Surface,2,1000190121,190264,
743.127,um^3,Surface,2,1000190125,190265,
775.994,um^3,Surface,2,1000190126,190266,
656.715,um^3,Surface,2,1000190127,190267,
673.602,um^3,Surface,2,1000190134,190268,
650.194,um^3,Surface,2,1000190135,190269,
1185.92,um^3,Surface,2,1000190130,190270,
909.608,um^3,Surface,2,1000190131,190271,
612.322,um^3,Surface,2,1000190133,190272,
719.244,um^3,Surface,2,1000190129,190273,
1211.52,um^3,Surface,2,1000190136,190274,
480.802,um^3,Surface,2,1000190137,190275,
894.931,um^3,Surface,2,1000190138,190276,
613.269,um^3,Surface,2,1000190132,190277,
530.663,um^3,Surface,2,1000190139,190278,
329.489,um^3,Surface,2,1000190140,190279,
114.193,um^3,Surface,3,1000190048,190280,
969.135,um^3,Surface,4,1000190009,190281,
895.983,um^3,Surface,4,1000190005,190282,
566.063,um^3,Surface,4,1000190006,190283,
988.945,um^3,Surface,4,1000190284,190284,
1203.47,um^3,Surface,4,1000190012,190285,
633.39,um^3,Surface,4,1000190008,190286,
664.501,um^3,Surface,4,1000190007,190287,
800.193,um^3,Surface,4,1000190015,190288,
1070.98,um^3,Surface,4,1000190014,190289,
290.087,um^3,Surface,4,1000190010,190290,
891.889,um^3,Surface,4,1000190011,190291,
1021.17,um^3,Surface,4,1000190016,190292,
769.49,um^3,Surface,4,1000190013,190293,
736.514,um^3,Surface,4,1000190294,190294,
762.278,um^3,Surface,4,1000190018,190295,
1253.96,um^3,Surface,4,1000190020,190296,
924.463,um^3,Surface,4,1000190017,190297,
1071.84,um^3,Surface,4,1000190023,190298,
886.937,um^3,Surface,4,1000190022,190299,
793.132,um^3,Surface,4,1000190019,190300,
220.664,um^3,Surface,4,1000190301,190301,
924.528,um^3,Surface,4,1000190159,190302,
586.165,um^3,Surface,4,1000190021,190303,
617.892,um^3,Surface,4,1000190031,190304,
975.353,um^3,Surface,4,1000190024,190305,
793.088,um^3,Surface,4,1000190025,190306,
1504.23,um^3,Surface,4,1000190027,190307,
587.998,um^3,Surface,4,1000190028,190308,
780.036,um^3,Surface,4,1000190026,190309,
203.939,um^3,Surface,4,1000190030,190310,
144.713,um^3,Surface,4,1000190029,190311,
607.604,um^3,Surface,4,1000190032,190312,
794.256,um^3,Surface,4,1000190034,190313,
701.668,um^3,Surface,4,1000190035,190314,
931.121,um^3,Surface,4,1000190040,190315,
1051.11,um^3,Surface,4,1000190041,190316,
1059.76,um^3,Surface,4,1000190033,190317,
1095.2,um^3,Surface,4,1000190037,190318,
1389.84,um^3,Surface,4,1000190038,190319,
786.377,um^3,Surface,4,1000190039,190320,
109.036,um^3,Surface,4,1000190321,190321,
669.346,um^3,Surface,4,1000190036,190322,
463.051,um^3,Surface,4,1000190046,190323,
459.429,um^3,Surface,4,1000190042,190324,
1044.28,um^3,Surface,4,1000190043,190325,
546.104,um^3,Surface,4,1000190051,190326,
787.161,um^3,Surface,4,1000190045,190327,
708.653,um^3,Surface,4,1000190047,190328,
1610.33,um^3,Surface,4,1000190049,190329,
981.216,um^3,Surface,4,1000190053,190330,
636.838,um^3,Surface,4,1000190050,190331,
830.442,um^3,Surface,4,1000190044,190332,
342.374,um^3,Surface,4,1000190333,190333,
769.655,um^3,Surface,4,1000190052,190334,
902.665,um^3,Surface,4,1000190335,190335,
1523.99,um^3,Surface,4,1000190048,190336,
708.362,um^3,Surface,4,1000190337,190337,
1355.06,um^3,Surface,4,1000190058,190338,
1069.58,um^3,Surface,4,1000190055,190339,
821.559,um^3,Surface,4,1000190195,190340,
628.576,um^3,Surface,4,1000190064,190341,
1092.67,um^3,Surface,4,1000190054,190342,
556.544,um^3,Surface,4,1000190057,190343,
818.378,um^3,Surface,4,1000190060,190344,
96.5419,um^3,Surface,4,1000190063,190345,
970.239,um^3,Surface,4,1000190056,190346,
1783.77,um^3,Surface,4,1000190062,190347,
950.56,um^3,Surface,4,1000190061,190348,
715.559,um^3,Surface,4,1000190059,190349,
577.711,um^3,Surface,4,1000190065,190350,
1157.56,um^3,Surface,4,1000190071,190351,
652.884,um^3,Surface,4,1000190072,190352,
