
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,TrackID,ID,
7.41242,um,Surface,1,1000190005,190005,
6.23948,um,Surface,1,1000190006,190006,
6.64341,um,Surface,1,1000190007,190007,
6.47252,um,Surface,1,1000190008,190008,
7.2007,um,Surface,1,1000190009,190009,
4.42809,um,Surface,1,1000190010,190010,
6.50997,um,Surface,1,1000190011,190011,
6.77744,um,Surface,1,1000190012,190012,
6.09564,um,Surface,1,1000190013,190013,
7.95419,um,Surface,1,1000190014,190014,
6.53814,um,Surface,1,1000190015,190015,
7.27501,um,Surface,1,1000190016,190016,
7.61202,um,Surface,1,1000190017,190017,
6.50898,um,Surface,1,1000190018,190018,
7.21183,um,Surface,1,1000190019,190019,
7.60955,um,Surface,1,1000190020,190020,
6.41492,um,Surface,1,1000190021,190021,
7.10216,um,Surface,1,1000190022,190022,
7.11384,um,Surface,1,1000190023,190023,
7.09243,um,Surface,1,1000190024,190024,
6.61308,um,Surface,1,1000190025,190025,
7.37933,um,Surface,1,1000190026,190026,
7.40407,um,Surface,1,1000190027,190027,
6.02681,um,Surface,1,1000190028,190028,
7.43499,um,Surface,1,1000190029,190029,
7.56995,um,Surface,1,1000190030,190030,
6.96639,um,Surface,1,1000190031,190031,
6.45768,um,Surface,1,1000190032,190032,
9.71026,um,Surface,1,1000190033,190033,
6.86726,um,Surface,1,1000190034,190034,
6.17122,um,Surface,1,1000190035,190035,
6.8531,um,Surface,1,1000190036,190036,
7.26215,um,Surface,1,1000190037,190037,
8.00165,um,Surface,1,1000190038,190038,
6.58044,um,Surface,1,1000190039,190039,
6.91169,um,Surface,1,1000190040,190040,
9.55339,um,Surface,1,1000190041,190041,
6.13273,um,Surface,1,1000190042,190042,
7.24491,um,Surface,1,1000190043,190043,
6.80303,um,Surface,1,1000190044,190044,
6.6841,um,Surface,1,1000190045,190045,
5.90167,um,Surface,1,1000190046,190046,
6.24167,um,Surface,1,1000190047,190047,
7.32408,um,Surface,1,1000190048,190048,
7.06404,um,Surface,1,1000190049,190049,
6.50548,um,Surface,1,1000190050,190050,
6.21677,um,Surface,1,1000190051,190051,
6.79534,um,Surface,1,1000190052,190052,
6.93283,um,Surface,1,1000190053,190053,
7.39324,um,Surface,1,1000190054,190054,
7.00921,um,Surface,1,1000190055,190055,
14.1261,um,Surface,1,1000190056,190056,
6.11603,um,Surface,1,1000190057,190057,
8.78283,um,Surface,1,1000190058,190058,
6.72463,um,Surface,1,1000190059,190059,
7.24641,um,Surface,1,1000190060,190060,
6.52273,um,Surface,1,1000190061,190061,
13.111,um,Surface,1,1000190062,190062,
4.05249,um,Surface,1,1000190063,190063,
6.14345,um,Surface,1,1000190064,190064,
6.27973,um,Surface,1,1000190065,190065,
5.10354,um,Surface,1,1000190066,190066,
6.41792,um,Surface,1,1000190067,190067,
6.16706,um,Surface,1,1000190068,190068,
6.34035,um,Surface,1,1000190069,190069,
8.26171,um,Surface,1,1000190070,190070,
7.62789,um,Surface,1,1000190071,190071,
6.24054,um,Surface,1,1000190072,190072,
6.17338,um,Surface,1,1000190073,190073,
8.31054,um,Surface,1,1000190074,190074,
7.42738,um,Surface,1,1000190075,190075,
9.86951,um,Surface,1,1000190076,190076,
5.96995,um,Surface,1,1000190077,190077,
5.82808,um,Surface,1,1000190078,190078,
6.13394,um,Surface,1,1000190079,190079,
6.71787,um,Surface,1,1000190080,190080,
6.267,um,Surface,1,1000190081,190081,
7.92582,um,Surface,1,1000190082,190082,
7.50604,um,Surface,1,1000190083,190083,
7.77516,um,Surface,1,1000190084,190084,
6.68153,um,Surface,1,1000190085,190085,
6.54708,um,Surface,1,1000190086,190086,
9.29278,um,Surface,1,1000190087,190087,
6.35306,um,Surface,1,1000190088,190088,
6.06569,um,Surface,1,1000190089,190089,
6.94225,um,Surface,1,1000190090,190090,
7.38562,um,Surface,1,1000190091,190091,
5.85838,um,Surface,1,1000190092,190092,
6.64684,um,Surface,1,1000190093,190093,
8.10637,um,Surface,1,1000190094,190094,
6.31611,um,Surface,1,1000190095,190095,
9.91372,um,Surface,1,1000190096,190096,
7.97052,um,Surface,1,1000190097,190097,
13.7306,um,Surface,1,1000190098,190098,
10.2076,um,Surface,1,1000190099,190099,
6.30177,um,Surface,1,1000190100,190100,
6.38449,um,Surface,1,1000190101,190101,
7.42405,um,Surface,1,1000190102,190102,
6.34274,um,Surface,1,1000190103,190103,
5.96339,um,Surface,1,1000190104,190104,
8.88235,um,Surface,1,1000190105,190105,
7.68543,um,Surface,1,1000190106,190106,
7.30876,um,Surface,1,1000190107,190107,
6.24722,um,Surface,1,1000190108,190108,
6.86409,um,Surface,1,1000190109,190109,
6.32804,um,Surface,1,1000190110,190110,
7.73937,um,Surface,1,1000190111,190111,
7.45787,um,Surface,1,1000190112,190112,
6.56564,um,Surface,1,1000190113,190113,
6.24601,um,Surface,1,1000190114,190114,
6.73216,um,Surface,1,1000190115,190115,
6.36916,um,Surface,1,1000190116,190116,
6.2945,um,Surface,1,1000190117,190117,
6.23824,um,Surface,1,1000190118,190118,
6.41087,um,Surface,1,1000190119,190119,
6.0468,um,Surface,1,1000190120,190120,
7.67265,um,Surface,1,1000190121,190121,
8.20604,um,Surface,1,1000190122,190122,
6.76232,um,Surface,1,1000190123,190123,
6.84139,um,Surface,1,1000190124,190124,
5.67825,um,Surface,1,1000190125,190125,
5.9935,um,Surface,1,1000190126,190126,
6.59321,um,Surface,1,1000190127,190127,
6.4883,um,Surface,1,1000190128,190128,
6.57341,um,Surface,1,1000190129,190129,
7.96782,um,Surface,1,1000190130,190130,
