
Area
 ==================== 
Area,Unit,Category,Time,TrackID,ID,
500.459,um^2,Surface,1,1000190005,190005,
382.568,um^2,Surface,1,1000190006,190006,
395.548,um^2,Surface,1,1000190007,190007,
418.631,um^2,Surface,1,1000190008,190008,
534.301,um^2,Surface,1,1000190009,190009,
105.434,um^2,Surface,1,1000190010,190010,
456.842,um^2,Surface,1,1000190011,190011,
468.244,um^2,Surface,1,1000190012,190012,
450.59,um^2,Surface,1,1000190013,190013,
521.468,um^2,Surface,1,1000190014,190014,
448.967,um^2,Surface,1,1000190015,190015,
529.357,um^2,Surface,1,1000190016,190016,
486.782,um^2,Surface,1,1000190017,190017,
420.707,um^2,Surface,1,1000190018,190018,
509.973,um^2,Surface,1,1000190019,190019,
611.064,um^2,Surface,1,1000190020,190020,
367.566,um^2,Surface,1,1000190021,190021,
486.83,um^2,Surface,1,1000190022,190022,
578.338,um^2,Surface,1,1000190023,190023,
553.553,um^2,Surface,1,1000190024,190024,
414.805,um^2,Surface,1,1000190025,190025,
443.508,um^2,Surface,1,1000190026,190026,
580.824,um^2,Surface,1,1000190027,190027,
363.262,um^2,Surface,1,1000190028,190028,
223.011,um^2,Surface,1,1000190029,190029,
215.362,um^2,Surface,1,1000190030,190030,
431.652,um^2,Surface,1,1000190031,190031,
411.103,um^2,Surface,1,1000190032,190032,
807.47,um^2,Surface,1,1000190033,190033,
433.74,um^2,Surface,1,1000190034,190034,
412.246,um^2,Surface,1,1000190035,190035,
429.348,um^2,Surface,1,1000190036,190036,
583.923,um^2,Surface,1,1000190037,190037,
628.996,um^2,Surface,1,1000190038,190038,
396.505,um^2,Surface,1,1000190039,190039,
486.1,um^2,Surface,1,1000190040,190040,
581.604,um^2,Surface,1,1000190041,190041,
273.484,um^2,Surface,1,1000190042,190042,
447.939,um^2,Surface,1,1000190043,190043,
465.988,um^2,Surface,1,1000190044,190044,
470.063,um^2,Surface,1,1000190045,190045,
283.659,um^2,Surface,1,1000190046,190046,
422.313,um^2,Surface,1,1000190047,190047,
498.833,um^2,Surface,1,1000190048,190048,
511.608,um^2,Surface,1,1000190049,190049,
433.242,um^2,Surface,1,1000190050,190050,
379.57,um^2,Surface,1,1000190051,190051,
419.828,um^2,Surface,1,1000190052,190052,
504.142,um^2,Surface,1,1000190053,190053,
549.85,um^2,Surface,1,1000190054,190054,
589.203,um^2,Surface,1,1000190055,190055,
929.163,um^2,Surface,1,1000190056,190056,
377.378,um^2,Surface,1,1000190057,190057,
520.232,um^2,Surface,1,1000190058,190058,
413.381,um^2,Surface,1,1000190059,190059,
426.704,um^2,Surface,1,1000190060,190060,
465.953,um^2,Surface,1,1000190061,190061,
973.48,um^2,Surface,1,1000190062,190062,
83.4655,um^2,Surface,1,1000190063,190063,
421.833,um^2,Surface,1,1000190064,190064,
360.134,um^2,Surface,1,1000190065,190065,
229.653,um^2,Surface,1,1000190066,190066,
398.385,um^2,Surface,1,1000190067,190067,
383.853,um^2,Surface,1,1000190068,190068,
402.023,um^2,Surface,1,1000190069,190069,
368.003,um^2,Surface,1,1000190070,190070,
534.598,um^2,Surface,1,1000190071,190071,
389.421,um^2,Surface,1,1000190072,190072,
394.894,um^2,Surface,1,1000190073,190073,
640.027,um^2,Surface,1,1000190074,190074,
442.535,um^2,Surface,1,1000190075,190075,
611.056,um^2,Surface,1,1000190076,190076,
