
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,TrackID,ID,
0.399761,,Surface,1,1000190005,190005,
0.19589,,Surface,1,1000190006,190006,
0.280595,,Surface,1,1000190007,190007,
0.296624,,Surface,1,1000190008,190008,
0.347451,,Surface,1,1000190009,190009,
0.502988,,Surface,1,1000190010,190010,
0.214667,,Surface,1,1000190011,190011,
0.264977,,Surface,1,1000190012,190012,
0.110522,,Surface,1,1000190013,190013,
0.373519,,Surface,1,1000190014,190014,
0.24092,,Surface,1,1000190015,190015,
0.192954,,Surface,1,1000190016,190016,
0.395159,,Surface,1,1000190017,190017,
0.297518,,Surface,1,1000190018,190018,
0.318917,,Surface,1,1000190019,190019,
0.182559,,Surface,1,1000190020,190020,
0.364961,,Surface,1,1000190021,190021,
0.350205,,Surface,1,1000190022,190022,
0.249415,,Surface,1,1000190023,190023,
0.238197,,Surface,1,1000190024,190024,
0.309221,,Surface,1,1000190025,190025,
0.353584,,Surface,1,1000190026,190026,
0.309788,,Surface,1,1000190027,190027,
0.221538,,Surface,1,1000190028,190028,
0.488257,,Surface,1,1000190029,190029,
0.479476,,Surface,1,1000190030,190030,
0.309391,,Surface,1,1000190031,190031,
0.296578,,Surface,1,1000190032,190032,
0.553517,,Surface,1,1000190033,190033,
0.384572,,Surface,1,1000190034,190034,
0.196367,,Surface,1,1000190035,190035,
0.276756,,Surface,1,1000190036,190036,
0.260247,,Surface,1,1000190037,190037,
0.379564,,Surface,1,1000190038,190038,
0.553168,,Surface,1,1000190039,190039,
0.32649,,Surface,1,1000190040,190040,
0.569511,,Surface,1,1000190041,190041,
0.317041,,Surface,1,1000190042,190042,
0.351136,,Surface,1,1000190043,190043,
0.30522,,Surface,1,1000190044,190044,
0.268535,,Surface,1,1000190045,190045,
0.327422,,Surface,1,1000190046,190046,
0.220903,,Surface,1,1000190047,190047,
0.307345,,Surface,1,1000190048,190048,
0.269723,,Surface,1,1000190049,190049,
0.173531,,Surface,1,1000190050,190050,
0.215434,,Surface,1,1000190051,190051,
0.450857,,Surface,1,1000190052,190052,
0.272379,,Surface,1,1000190053,190053,
0.318819,,Surface,1,1000190054,190054,
0.198401,,Surface,1,1000190055,190055,
0.734235,,Surface,1,1000190056,190056,
0.217962,,Surface,1,1000190057,190057,
