
Intensity Mean Ch=8 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
47.2857,,Surface,8,Image 1,1,1000190005,190005,
52.7073,,Surface,8,Image 1,1,1000190006,190006,
41.6957,,Surface,8,Image 1,1,1000190007,190007,
46.08,,Surface,8,Image 1,1,1000190008,190008,
57.8358,,Surface,8,Image 1,1,1000190009,190009,
25.875,,Surface,8,Image 1,1,1000190010,190010,
33.9,,Surface,8,Image 1,1,1000190011,190011,
38.0984,,Surface,8,Image 1,1,1000190012,190012,
34.3051,,Surface,8,Image 1,1,1000190013,190013,
72.0476,,Surface,8,Image 1,1,1000190014,190014,
48.4655,,Surface,8,Image 1,1,1000190015,190015,
45.6883,,Surface,8,Image 1,1,1000190016,190016,
57.9661,,Surface,8,Image 1,1,1000190017,190017,
61.5333,,Surface,8,Image 1,1,1000190018,190018,
56.1194,,Surface,8,Image 1,1,1000190019,190019,
52.8111,,Surface,8,Image 1,1,1000190020,190020,
33.4634,,Surface,8,Image 1,1,1000190021,190021,
42.3538,,Surface,8,Image 1,1,1000190022,190022,
56.1772,,Surface,8,Image 1,1,1000190023,190023,
54.8312,,Surface,8,Image 1,1,1000190024,190024,
34.88,,Surface,8,Image 1,1,1000190025,190025,
45.1429,,Surface,8,Image 1,1,1000190026,190026,
67.575,,Surface,8,Image 1,1,1000190027,190027,
29.3191,,Surface,8,Image 1,1,1000190028,190028,
21,,Surface,8,Image 1,1,1000190029,190029,
18.7778,,Surface,8,Image 1,1,1000190030,190030,
52.234,,Surface,8,Image 1,1,1000190031,190031,
40.7059,,Surface,8,Image 1,1,1000190032,190032,
81.6813,,Surface,8,Image 1,1,1000190033,190033,
60.1702,,Surface,8,Image 1,1,1000190034,190034,
38.6038,,Surface,8,Image 1,1,1000190035,190035,
21.3393,,Surface,8,Image 1,1,1000190036,190036,
48.5256,,Surface,8,Image 1,1,1000190037,190037,
60.2979,,Surface,8,Image 1,1,1000190038,190038,
57.1026,,Surface,8,Image 1,1,1000190039,190039,
44.9677,,Surface,8,Image 1,1,1000190040,190040,
45.0563,,Surface,8,Image 1,1,1000190041,190041,
22.5161,,Surface,8,Image 1,1,1000190042,190042,
62.0408,,Surface,8,Image 1,1,1000190043,190043,
47.569,,Surface,8,Image 1,1,1000190044,190044,
