
Volume
 ==================== 
Volume,Unit,Category,Time,TrackID,ID,
2209.65,um^3,Surface,1,1000190301,190301,
86967.7,um^3,Surface,1,1000190301,190302,
2859.38,um^3,Surface,1,1000193132,193132,
50611.9,um^3,Surface,1,1000193132,193133,
197334,um^3,Surface,1,1000195915,195915,
168.748,um^3,Surface,1,1000195915,200340,
116.157,um^3,Surface,1,1000195915,200341,
79388.5,um^3,Surface,1,1000195915,200342,
103.042,um^3,Surface,1,1000206340,206340,
27536.1,um^3,Surface,1,1000206340,206341,
103.655,um^3,Surface,1,1000206977,206977,
26644.4,um^3,Surface,1,1000206977,206978,
547.742,um^3,Surface,1,1000206340,206979,
18227.9,um^3,Surface,1,1000209032,209032,
25086.8,um^3,Surface,1,1000210450,210450,
830.036,um^3,Surface,1,1000195915,212300,
10933.7,um^3,Surface,1,1000195915,212301,
27265.1,um^3,Surface,1,1000195915,212302,
74.6453,um^3,Surface,1,1000195915,215280,
31146,um^3,Surface,1,1000215281,215281,
11599.1,um^3,Surface,1,1000215281,215282,
27449.4,um^3,Surface,1,1000195915,215283,
37720.8,um^3,Surface,1,1000195915,218902,
70.5229,um^3,Surface,1,1000195915,218903,
37359.5,um^3,Surface,1,1000221774,221774,
369.678,um^3,Surface,1,1000224278,224278,
64268.1,um^3,Surface,1,1000224278,224279,
58.7536,um^3,Surface,1,1000228125,228125,
178.024,um^3,Surface,1,1000228125,228126,
83243.7,um^3,Surface,1,1000228125,228127,
1009.27,um^3,Surface,1,1000228125,228128,
4746.37,um^3,Surface,1,1000235535,235535,
22171.6,um^3,Surface,1,1000235535,235536,
42213,um^3,Surface,1,1000228125,238413,
35653.2,um^3,Surface,1,1000228125,238414,
2679.16,um^3,Surface,1,1000235535,238415,
11185.6,um^3,Surface,1,1000244591,244591,
3595.12,um^3,Surface,1,1000245316,245316,
2410.05,um^3,Surface,2,1000190301,245317,
86868.1,um^3,Surface,2,1000190301,245318,
2982.01,um^3,Surface,2,1000193132,245319,
50645.6,um^3,Surface,2,1000193132,245320,
197068,um^3,Surface,2,1000195915,245321,
290.81,um^3,Surface,2,1000195915,245322,
133.178,um^3,Surface,2,1000195915,245323,
244.168,um^3,Surface,2,1000195915,245324,
80896.1,um^3,Surface,2,1000195915,245325,
116.983,um^3,Surface,2,1000206340,245326,
27609.5,um^3,Surface,2,1000206340,245327,
27024.1,um^3,Surface,2,1000206977,245328,
594.913,um^3,Surface,2,1000206340,245329,
18021.8,um^3,Surface,2,1000209032,245330,
24719,um^3,Surface,2,1000210450,245331,
833.217,um^3,Surface,2,1000195915,245332,
11541.4,um^3,Surface,2,1000195915,245333,
27054.3,um^3,Surface,2,1000195915,245334,
31842.1,um^3,Surface,2,1000215281,245335,
81.0253,um^3,Surface,2,1000195915,245336,
11306.8,um^3,Surface,2,1000215281,245337,
26757.8,um^3,Surface,2,1000195915,245338,
38409.3,um^3,Surface,2,1000195915,245339,
37455.7,um^3,Surface,2,1000221774,245340,
357.025,um^3,Surface,2,1000224278,245341,
65406.6,um^3,Surface,2,1000224278,245342,
141.347,um^3,Surface,2,1000228125,245343,
198.692,um^3,Surface,2,1000228125,245344,
270.9,um^3,Surface,2,1000228125,245345,
83654.2,um^3,Surface,2,1000228125,245346,
1082.37,um^3,Surface,2,1000228125,245347,
22692.9,um^3,Surface,2,1000235535,245348,
4723.28,um^3,Surface,2,1000235535,245349,
40670.9,um^3,Surface,2,1000228125,245350,
35762.3,um^3,Surface,2,1000228125,245351,
2301.76,um^3,Surface,2,1000235535,245352,
10840.1,um^3,Surface,2,1000244591,245353,
3491.66,um^3,Surface,2,1000245316,245354,
2483.3,um^3,Surface,3,1000190301,245355,
86176.8,um^3,Surface,3,1000190301,245356,
2856.87,um^3,Surface,3,1000193132,245357,
50387.1,um^3,Surface,3,1000193132,245358,
195809,um^3,Surface,3,1000195915,245359,
339.027,um^3,Surface,3,1000195915,245360,
267.928,um^3,Surface,3,1000195915,245361,
135.062,um^3,Surface,3,1000195915,245362,
80020,um^3,Surface,3,1000195915,245363,
97.466,um^3,Surface,3,1000206340,245364,
27766,um^3,Surface,3,1000206340,245365,
26802,um^3,Surface,3,1000206977,245366,
571.237,um^3,Surface,3,1000206340,245367,
17903.1,um^3,Surface,3,1000209032,245368,
24343.9,um^3,Surface,3,1000210450,245369,
825.476,um^3,Surface,3,1000195915,245370,
12007.4,um^3,Surface,3,1000195915,245371,
27423.8,um^3,Surface,3,1000195915,245372,
33047.5,um^3,Surface,3,1000215281,245373,
259.64,um^3,Surface,3,1000195915,245374,
10815.5,um^3,Surface,3,1000215281,245375,
26492.9,um^3,Surface,3,1000195915,245376,
36440.1,um^3,Surface,3,1000195915,245377,
191.745,um^3,Surface,3,1000195915,245378,
37327.1,um^3,Surface,3,1000221774,245379,
113.079,um^3,Surface,3,1000224278,245380,
389.331,um^3,Surface,3,1000224278,245381,
65346.4,um^3,Surface,3,1000224278,245382,
1130.24,um^3,Surface,3,1000228125,245383,
197.075,um^3,Surface,3,1000228125,245384,
84281,um^3,Surface,3,1000228125,245385,
1049.21,um^3,Surface,3,1000228125,245386,
22913.6,um^3,Surface,3,1000235535,245387,
6334.06,um^3,Surface,3,1000235535,245388,
41371.6,um^3,Surface,3,1000228125,245389,
35175,um^3,Surface,3,1000228125,245390,
2429.91,um^3,Surface,3,1000235535,245391,
10405.8,um^3,Surface,3,1000244591,245392,
2973.77,um^3,Surface,3,1000245316,245393,
2458.12,um^3,Surface,4,1000190301,245394,
87811.7,um^3,Surface,4,1000190301,245395,
2673.96,um^3,Surface,4,1000193132,245396,
49396.8,um^3,Surface,4,1000193132,245397,
196434,um^3,Surface,4,1000195915,245398,
630.032,um^3,Surface,4,1000195915,245399,
281.736,um^3,Surface,4,1000195915,245400,
79948.3,um^3,Surface,4,1000195915,245401,
104.896,um^3,Surface,4,1000206340,245402,
71.623,um^3,Surface,4,1000206340,245403,
27374.3,um^3,Surface,4,1000206340,245404,
26730.5,um^3,Surface,4,1000206977,245405,
580.742,um^3,Surface,4,1000206340,245406,
18031.3,um^3,Surface,4,1000209032,245407,
24110.5,um^3,Surface,4,1000210450,245408,
862.022,um^3,Surface,4,1000195915,245409,
11193.2,um^3,Surface,4,1000195915,245410,
28326.2,um^3,Surface,4,1000195915,245411,
31027.3,um^3,Surface,4,1000215281,245412,
157.036,um^3,Surface,4,1000195915,245413,
10918.5,um^3,Surface,4,1000215281,245414,
26222.4,um^3,Surface,4,1000195915,245415,
37141.7,um^3,Surface,4,1000195915,245416,
97.1992,um^3,Surface,4,1000195915,245417,
38099,um^3,Surface,4,1000221774,245418,
296.064,um^3,Surface,4,1000224278,245419,
386.548,um^3,Surface,4,1000224278,245420,
61602.6,um^3,Surface,4,1000224278,245421,
227.082,um^3,Surface,4,1000228125,245422,
3880.07,um^3,Surface,4,1000228125,245423,
402.846,um^3,Surface,4,1000228125,245424,
81490.2,um^3,Surface,4,1000228125,245425,
1166.89,um^3,Surface,4,1000228125,245426,
396.273,um^3,Surface,4,1000235535,245427,
23176.9,um^3,Surface,4,1000235535,245428,
6267.02,um^3,Surface,4,1000235535,245429,
40696.1,um^3,Surface,4,1000228125,245430,
35530.2,um^3,Surface,4,1000228125,245431,
2823.74,um^3,Surface,4,1000235535,245432,
10699.1,um^3,Surface,4,1000244591,245433,
