
Area
 ==================== 
Area,Unit,Category,Time,TrackID,ID,
918.365,um^2,Surface,1,1000190301,190301,
13432.4,um^2,Surface,1,1000190301,190302,
1264.88,um^2,Surface,1,1000193132,193132,
12084.6,um^2,Surface,1,1000193132,193133,
27743,um^2,Surface,1,1000195915,195915,
163.161,um^2,Surface,1,1000195915,200340,
129.73,um^2,Surface,1,1000195915,200341,
16205.3,um^2,Surface,1,1000195915,200342,
136.469,um^2,Surface,1,1000206340,206340,
5022.38,um^2,Surface,1,1000206340,206341,
116.745,um^2,Surface,1,1000206977,206977,
6584.56,um^2,Surface,1,1000206977,206978,
355.224,um^2,Surface,1,1000206340,206979,
4319.24,um^2,Surface,1,1000209032,209032,
6433.88,um^2,Surface,1,1000210450,210450,
447.995,um^2,Surface,1,1000195915,212300,
3368.39,um^2,Surface,1,1000195915,212301,
5074.52,um^2,Surface,1,1000195915,212302,
117.362,um^2,Surface,1,1000195915,215280,
8288.5,um^2,Surface,1,1000215281,215281,
3637,um^2,Surface,1,1000215281,215282,
7738.74,um^2,Surface,1,1000195915,215283,
8968.69,um^2,Surface,1,1000195915,218902,
116.863,um^2,Surface,1,1000195915,218903,
8989.12,um^2,Surface,1,1000221774,221774,
277.67,um^2,Surface,1,1000224278,224278,
16110.4,um^2,Surface,1,1000224278,224279,
84.5644,um^2,Surface,1,1000228125,228125,
178.693,um^2,Surface,1,1000228125,228126,
21602.2,um^2,Surface,1,1000228125,228127,
540.293,um^2,Surface,1,1000228125,228128,
1761.62,um^2,Surface,1,1000235535,235535,
5846.63,um^2,Surface,1,1000235535,235536,
11299.2,um^2,Surface,1,1000228125,238413,
7284.63,um^2,Surface,1,1000228125,238414,
1214.42,um^2,Surface,1,1000235535,238415,
3093.23,um^2,Surface,1,1000244591,244591,
1598.7,um^2,Surface,1,1000245316,245316,
945.182,um^2,Surface,2,1000190301,245317,
13711.5,um^2,Surface,2,1000190301,245318,
1296.65,um^2,Surface,2,1000193132,245319,
12199.6,um^2,Surface,2,1000193132,245320,
28009.9,um^2,Surface,2,1000195915,245321,
225.43,um^2,Surface,2,1000195915,245322,
144.811,um^2,Surface,2,1000195915,245323,
223.921,um^2,Surface,2,1000195915,245324,
15950.1,um^2,Surface,2,1000195915,245325,
137.929,um^2,Surface,2,1000206340,245326,
5048.98,um^2,Surface,2,1000206340,245327,
6637.12,um^2,Surface,2,1000206977,245328,
362.898,um^2,Surface,2,1000206340,245329,
4131.86,um^2,Surface,2,1000209032,245330,
6301.17,um^2,Surface,2,1000210450,245331,
449.988,um^2,Surface,2,1000195915,245332,
3381.8,um^2,Surface,2,1000195915,245333,
5114.26,um^2,Surface,2,1000195915,245334,
7775.72,um^2,Surface,2,1000215281,245335,
123.109,um^2,Surface,2,1000195915,245336,
3567.23,um^2,Surface,2,1000215281,245337,
7359.43,um^2,Surface,2,1000195915,245338,
8746.19,um^2,Surface,2,1000195915,245339,
9154.46,um^2,Surface,2,1000221774,245340,
270.448,um^2,Surface,2,1000224278,245341,
17443.4,um^2,Surface,2,1000224278,245342,
143.967,um^2,Surface,2,1000228125,245343,
201.764,um^2,Surface,2,1000228125,245344,
230.098,um^2,Surface,2,1000228125,245345,
21376,um^2,Surface,2,1000228125,245346,
557.405,um^2,Surface,2,1000228125,245347,
5923.64,um^2,Surface,2,1000235535,245348,
1994.74,um^2,Surface,2,1000235535,245349,
10944,um^2,Surface,2,1000228125,245350,
7145.12,um^2,Surface,2,1000228125,245351,
1009.33,um^2,Surface,2,1000235535,245352,
3036.78,um^2,Surface,2,1000244591,245353,
1588.44,um^2,Surface,2,1000245316,245354,
976.049,um^2,Surface,3,1000190301,245355,
13196.5,um^2,Surface,3,1000190301,245356,
1269.37,um^2,Surface,3,1000193132,245357,
11608.3,um^2,Surface,3,1000193132,245358,
28025,um^2,Surface,3,1000195915,245359,
256.754,um^2,Surface,3,1000195915,245360,
212.326,um^2,Surface,3,1000195915,245361,
151.162,um^2,Surface,3,1000195915,245362,
16604.6,um^2,Surface,3,1000195915,245363,
124.543,um^2,Surface,3,1000206340,245364,
5099.58,um^2,Surface,3,1000206340,245365,
6394.47,um^2,Surface,3,1000206977,245366,
356.586,um^2,Surface,3,1000206340,245367,
4179.13,um^2,Surface,3,1000209032,245368,
6082.32,um^2,Surface,3,1000210450,245369,
450.131,um^2,Surface,3,1000195915,245370,
3544.3,um^2,Surface,3,1000195915,245371,
5200.48,um^2,Surface,3,1000195915,245372,
8051.72,um^2,Surface,3,1000215281,245373,
253.678,um^2,Surface,3,1000195915,245374,
3456.93,um^2,Surface,3,1000215281,245375,
7340.46,um^2,Surface,3,1000195915,245376,
8720.1,um^2,Surface,3,1000195915,245377,
193.581,um^2,Surface,3,1000195915,245378,
9121.39,um^2,Surface,3,1000221774,245379,
124.221,um^2,Surface,3,1000224278,245380,
290.595,um^2,Surface,3,1000224278,245381,
17625.6,um^2,Surface,3,1000224278,245382,
680.933,um^2,Surface,3,1000228125,245383,
197.483,um^2,Surface,3,1000228125,245384,
20796.4,um^2,Surface,3,1000228125,245385,
562.135,um^2,Surface,3,1000228125,245386,
6176.85,um^2,Surface,3,1000235535,245387,
2389.53,um^2,Surface,3,1000235535,245388,
11518.2,um^2,Surface,3,1000228125,245389,
6830.34,um^2,Surface,3,1000228125,245390,
1001.7,um^2,Surface,3,1000235535,245391,
2949.19,um^2,Surface,3,1000244591,245392,
1357.36,um^2,Surface,3,1000245316,245393,
966.165,um^2,Surface,4,1000190301,245394,
13466.9,um^2,Surface,4,1000190301,245395,
1226.82,um^2,Surface,4,1000193132,245396,
11491.2,um^2,Surface,4,1000193132,245397,
28288.8,um^2,Surface,4,1000195915,245398,
387.582,um^2,Surface,4,1000195915,245399,
219.892,um^2,Surface,4,1000195915,245400,
16701.8,um^2,Surface,4,1000195915,245401,
128.425,um^2,Surface,4,1000206340,245402,
97.0349,um^2,Surface,4,1000206340,245403,
5055.18,um^2,Surface,4,1000206340,245404,
6468.53,um^2,Surface,4,1000206977,245405,
357.013,um^2,Surface,4,1000206340,245406,
4105.11,um^2,Surface,4,1000209032,245407,
6090,um^2,Surface,4,1000210450,245408,
467.684,um^2,Surface,4,1000195915,245409,
3484.42,um^2,Surface,4,1000195915,245410,
5286.83,um^2,Surface,4,1000195915,245411,
7809.86,um^2,Surface,4,1000215281,245412,
168.124,um^2,Surface,4,1000195915,245413,
3480,um^2,Surface,4,1000215281,245414,
7310.22,um^2,Surface,4,1000195915,245415,
8816.97,um^2,Surface,4,1000195915,245416,
124.663,um^2,Surface,4,1000195915,245417,
9130.69,um^2,Surface,4,1000221774,245418,
251.291,um^2,Surface,4,1000224278,245419,
279.783,um^2,Surface,4,1000224278,245420,
17073.4,um^2,Surface,4,1000224278,245421,
211.206,um^2,Surface,4,1000228125,245422,
1494.47,um^2,Surface,4,1000228125,245423,
283.236,um^2,Surface,4,1000228125,245424,
19901.9,um^2,Surface,4,1000228125,245425,
586.628,um^2,Surface,4,1000228125,245426,
303.532,um^2,Surface,4,1000235535,245427,
6215.59,um^2,Surface,4,1000235535,245428,
2421.84,um^2,Surface,4,1000235535,245429,
11094.5,um^2,Surface,4,1000228125,245430,
7324.63,um^2,Surface,4,1000228125,245431,
1095.57,um^2,Surface,4,1000235535,245432,
2943.76,um^2,Surface,4,1000244591,245433,
1401.19,um^2,Surface,4,1000245316,245434,
959.043,um^2,Surface,5,1000190301,245435,
13322.3,um^2,Surface,5,1000190301,245436,
1247.02,um^2,Surface,5,1000193132,245437,
12266.4,um^2,Surface,5,1000193132,245438,
28624.3,um^2,Surface,5,1000195915,245439,
264.993,um^2,Surface,5,1000195915,245440,
139.102,um^2,Surface,5,1000195915,245441,
227.771,um^2,Surface,5,1000195915,245442,
252.417,um^2,Surface,5,1000195915,245443,
16365.8,um^2,Surface,5,1000195915,245444,
150.11,um^2,Surface,5,1000206340,245445,
127.486,um^2,Surface,5,1000206340,245446,
5063.14,um^2,Surface,5,1000206340,245447,
6860.28,um^2,Surface,5,1000206977,245448,
362.966,um^2,Surface,5,1000206340,245449,
4134.44,um^2,Surface,5,1000209032,245450,
6142.5,um^2,Surface,5,1000210450,245451,
425.781,um^2,Surface,5,1000195915,245452,
3452.65,um^2,Surface,5,1000195915,245453,
5277.59,um^2,Surface,5,1000195915,245454,
7617.33,um^2,Surface,5,1000215281,245455,
134.99,um^2,Surface,5,1000195915,245456,
3536.07,um^2,Surface,5,1000215281,245457,
7438.41,um^2,Surface,5,1000195915,245458,
8612.49,um^2,Surface,5,1000195915,245459,
132.014,um^2,Surface,5,1000195915,245460,
9058.76,um^2,Surface,5,1000221774,245461,
160.438,um^2,Surface,5,1000224278,245462,
