
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.229638,,Surface,1,Image 1,1,54565,
0.296599,,Surface,1,Image 1,1,54566,
0.283076,,Surface,1,Image 1,1,54567,
0.27907,,Surface,1,Image 1,1,54568,
0.155642,,Surface,1,Image 1,1,54569,
0.232051,,Surface,1,Image 1,1,54570,
0.264208,,Surface,1,Image 1,1,54571,
0.148208,,Surface,1,Image 1,1,54572,
0.245864,,Surface,1,Image 1,1,54573,
0.387168,,Surface,1,Image 1,1,54574,
0.181541,,Surface,1,Image 1,1,54575,
0.246637,,Surface,1,Image 1,1,54576,
0.231681,,Surface,1,Image 1,1,54577,
0.310718,,Surface,1,Image 1,1,54578,
0.201207,,Surface,1,Image 1,1,54579,
0.285962,,Surface,1,Image 1,1,54580,
0.516168,,Surface,1,Image 1,1,54581,
0.321331,,Surface,1,Image 1,1,54582,
0.158273,,Surface,1,Image 1,1,54583,
0.187097,,Surface,1,Image 1,1,54584,
0.237274,,Surface,1,Image 1,1,54585,
0.140773,,Surface,1,Image 1,1,54586,
0.178344,,Surface,1,Image 1,1,54587,
0.170635,,Surface,1,Image 1,1,54588,
0.192834,,Surface,1,Image 1,1,54589,
0.223061,,Surface,1,Image 1,1,54590,
0.202767,,Surface,1,Image 1,1,54591,
0.356742,,Surface,1,Image 1,1,54592,
0.195822,,Surface,1,Image 1,1,54593,
0.215962,,Surface,1,Image 1,1,54594,
0.274603,,Surface,1,Image 1,1,54595,
0.202001,,Surface,1,Image 1,1,54596,
0.178532,,Surface,1,Image 1,1,54597,
0.229256,,Surface,1,Image 1,1,54598,
0.208738,,Surface,1,Image 1,1,54599,
0.223204,,Surface,1,Image 1,1,54600,
0.0778443,,Surface,1,Image 1,1,54601,
0.186183,,Surface,1,Image 1,1,54602,
0.201429,,Surface,1,Image 1,1,54603,
0.0697674,,Surface,1,Image 1,1,54604,
0.262439,,Surface,1,Image 1,1,54605,
0.263001,,Surface,1,Image 1,1,54606,
0.263439,,Surface,1,Image 1,2,54607,
0.300913,,Surface,1,Image 1,2,54608,
0.263669,,Surface,1,Image 1,2,54609,
0.208333,,Surface,1,Image 1,2,54610,
0.250667,,Surface,1,Image 1,2,54611,
0.266939,,Surface,1,Image 1,2,54612,
0.233857,,Surface,1,Image 1,2,54613,
0.459639,,Surface,1,Image 1,2,54614,
0.195186,,Surface,1,Image 1,2,54615,
0.171244,,Surface,1,Image 1,2,54616,
0.205619,,Surface,1,Image 1,2,54617,
0.252567,,Surface,1,Image 1,2,54618,
0.254582,,Surface,1,Image 1,2,54619,
0.24086,,Surface,1,Image 1,2,54620,
0.532295,,Surface,1,Image 1,2,54621,
0.315978,,Surface,1,Image 1,2,54622,
0.392593,,Surface,1,Image 1,2,54623,
0.36108,,Surface,1,Image 1,2,54624,
0.275374,,Surface,1,Image 1,2,54625,
0.158633,,Surface,1,Image 1,2,54626,
0.175587,,Surface,1,Image 1,2,54627,
0.172494,,Surface,1,Image 1,2,54628,
0.194139,,Surface,1,Image 1,2,54629,
0.233016,,Surface,1,Image 1,2,54630,
0.349734,,Surface,1,Image 1,2,54631,
0.217275,,Surface,1,Image 1,2,54632,
0.166777,,Surface,1,Image 1,2,54633,
0.231548,,Surface,1,Image 1,2,54634,
0.212318,,Surface,1,Image 1,2,54635,
0.207101,,Surface,1,Image 1,2,54636,
0.177365,,Surface,1,Image 1,2,54637,
0.210833,,Surface,1,Image 1,2,54638,
0.166667,,Surface,1,Image 1,2,54639,
0.167644,,Surface,1,Image 1,2,54640,
0.153439,,Surface,1,Image 1,2,54641,
0.157195,,Surface,1,Image 1,2,54642,
0.196925,,Surface,1,Image 1,2,54643,
0.205304,,Surface,1,Image 1,2,54644,
0.695876,,Surface,1,Image 1,2,54645,
0.261446,,Surface,1,Image 1,3,54646,
0.356682,,Surface,1,Image 1,3,54647,
0.309353,,Surface,1,Image 1,3,54648,
0.285809,,Surface,1,Image 1,3,54649,
0.181467,,Surface,1,Image 1,3,54650,
0.225225,,Surface,1,Image 1,3,54651,
0.223606,,Surface,1,Image 1,3,54652,
0.229806,,Surface,1,Image 1,3,54653,
0.193252,,Surface,1,Image 1,3,54654,
0.13289,,Surface,1,Image 1,3,54655,
0.220137,,Surface,1,Image 1,3,54656,
0.444939,,Surface,1,Image 1,3,54657,
0.254037,,Surface,1,Image 1,3,54658,
0.254369,,Surface,1,Image 1,3,54659,
0.132325,,Surface,1,Image 1,3,54660,
0.206957,,Surface,1,Image 1,3,54661,
0.320134,,Surface,1,Image 1,3,54662,
0.13986,,Surface,1,Image 1,3,54663,
0.0785714,,Surface,1,Image 1,3,54664,
0.225473,,Surface,1,Image 1,3,54665,
0.280353,,Surface,1,Image 1,3,54666,
0.178727,,Surface,1,Image 1,3,54667,
0.135849,,Surface,1,Image 1,3,54668,
0.225352,,Surface,1,Image 1,3,54669,
0.156721,,Surface,1,Image 1,3,54670,
0.153005,,Surface,1,Image 1,3,54671,
0.368707,,Surface,1,Image 1,3,54672,
0.190083,,Surface,1,Image 1,3,54673,
0.2128,,Surface,1,Image 1,3,54674,
0.234896,,Surface,1,Image 1,3,54675,
0.188934,,Surface,1,Image 1,3,54676,
0.194561,,Surface,1,Image 1,3,54677,
0.215859,,Surface,1,Image 1,3,54678,
0.216586,,Surface,1,Image 1,3,54679,
0.112821,,Surface,1,Image 1,3,54680,
0.225983,,Surface,1,Image 1,3,54681,
0.0627803,,Surface,1,Image 1,3,54682,
0.0775194,,Surface,1,Image 1,3,54683,
0.170468,,Surface,1,Image 1,3,54684,
0.201379,,Surface,1,Image 1,3,54685,
0.225765,,Surface,1,Image 1,3,54686,
0.444607,,Surface,1,Image 1,3,54687,
0.255368,,Surface,1,Image 1,4,54688,
0.206221,,Surface,1,Image 1,4,54689,
0.262566,,Surface,1,Image 1,4,54690,
0.246324,,Surface,1,Image 1,4,54691,
0.274711,,Surface,1,Image 1,4,54692,
0.248848,,Surface,1,Image 1,4,54693,
0.227502,,Surface,1,Image 1,4,54694,
0.183226,,Surface,1,Image 1,4,54695,
0.2128,,Surface,1,Image 1,4,54696,
0.309195,,Surface,1,Image 1,4,54697,
0.316274,,Surface,1,Image 1,4,54698,
0.179832,,Surface,1,Image 1,4,54699,
0.208606,,Surface,1,Image 1,4,54700,
0.185039,,Surface,1,Image 1,4,54701,
0.359218,,Surface,1,Image 1,4,54702,
0.276292,,Surface,1,Image 1,4,54703,
0.341667,,Surface,1,Image 1,4,54704,
0.34,,Surface,1,Image 1,4,54705,
0.223892,,Surface,1,Image 1,4,54706,
0.141766,,Surface,1,Image 1,4,54707,
0.122744,,Surface,1,Image 1,4,54708,
0.163648,,Surface,1,Image 1,4,54709,
0.193816,,Surface,1,Image 1,4,54710,
0.291349,,Surface,1,Image 1,4,54711,
