
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
12193.7,um^3,Surface,1,54565,
31459.1,um^3,Surface,1,54566,
41852.1,um^3,Surface,1,54567,
1679.28,um^3,Surface,1,54568,
3494.72,um^3,Surface,1,54569,
10763.9,um^3,Surface,1,54570,
32186.4,um^3,Surface,1,54571,
8532.26,um^3,Surface,1,54572,
25019,um^3,Surface,1,54573,
25425.5,um^3,Surface,1,54574,
41834.6,um^3,Surface,1,54575,
12575.4,um^3,Surface,1,54576,
33686.3,um^3,Surface,1,54577,
14537.5,um^3,Surface,1,54578,
7143.91,um^3,Surface,1,54579,
8049.63,um^3,Surface,1,54580,
23495.6,um^3,Surface,1,54581,
25913.8,um^3,Surface,1,54582,
1821.76,um^3,Surface,1,54583,
2096.88,um^3,Surface,1,54584,
16229.4,um^3,Surface,1,54585,
16406.3,um^3,Surface,1,54586,
17850.8,um^3,Surface,1,54587,
3537.72,um^3,Surface,1,54588,
21273.5,um^3,Surface,1,54589,
20381.4,um^3,Surface,1,54590,
26531.5,um^3,Surface,1,54591,
9839.69,um^3,Surface,1,54592,
10785.3,um^3,Surface,1,54593,
21217.9,um^3,Surface,1,54594,
8655.34,um^3,Surface,1,54595,
22789.6,um^3,Surface,1,54596,
64089.8,um^3,Surface,1,54597,
16490.1,um^3,Surface,1,54598,
2748.22,um^3,Surface,1,54599,
12666.5,um^3,Surface,1,54600,
2256.41,um^3,Surface,1,54601,
11921.7,um^3,Surface,1,54602,
29522.6,um^3,Surface,1,54603,
1771.05,um^3,Surface,1,54604,
32065.9,um^3,Surface,1,54605,
19078.1,um^3,Surface,1,54606,
41784.2,um^3,Surface,2,54607,
31300.2,um^3,Surface,2,54608,
11456.8,um^3,Surface,2,54609,
3596.2,um^3,Surface,2,54610,
10257,um^3,Surface,2,54611,
24690.3,um^3,Surface,2,54612,
32405.9,um^3,Surface,2,54613,
23782.3,um^3,Surface,2,54614,
42679.6,um^3,Surface,2,54615,
8580.98,um^3,Surface,2,54616,
34818.5,um^3,Surface,2,54617,
13690.5,um^3,Surface,2,54618,
14085.8,um^3,Surface,2,54619,
6473.45,um^3,Surface,2,54620,
24390.7,um^3,Surface,2,54621,
7750.59,um^3,Surface,2,54622,
1880.48,um^3,Surface,2,54623,
25482.8,um^3,Surface,2,54624,
16830.8,um^3,Surface,2,54625,
16049.6,um^3,Surface,2,54626,
21310.5,um^3,Surface,2,54627,
18065.9,um^3,Surface,2,54628,
3785.53,um^3,Surface,2,54629,
20500.7,um^3,Surface,2,54630,
10478.3,um^3,Surface,2,54631,
26639.4,um^3,Surface,2,54632,
21573.2,um^3,Surface,2,54633,
9660.05,um^3,Surface,2,54634,
8678.9,um^3,Surface,2,54635,
21715.2,um^3,Surface,2,54636,
64119.3,um^3,Surface,2,54637,
16880.4,um^3,Surface,2,54638,
2752.61,um^3,Surface,2,54639,
11946.9,um^3,Surface,2,54640,
2525.55,um^3,Surface,2,54641,
11405.3,um^3,Surface,2,54642,
28976.5,um^3,Surface,2,54643,
30798.8,um^3,Surface,2,54644,
18951.3,um^3,Surface,2,54645,
11458.6,um^3,Surface,3,54646,
30947.3,um^3,Surface,3,54647,
1760.07,um^3,Surface,3,54648,
41892.1,um^3,Surface,3,54649,
3521.84,um^3,Surface,3,54650,
10792.1,um^3,Surface,3,54651,
24368.1,um^3,Surface,3,54652,
32873.2,um^3,Surface,3,54653,
41015.7,um^3,Surface,3,54654,
8301.3,um^3,Surface,3,54655,
