
Intensity Sum Ch=6 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
93177,,Surface,6,Image 1,1,54565,
226355,,Surface,6,Image 1,1,54566,
353149,,Surface,6,Image 1,1,54567,
11495,,Surface,6,Image 1,1,54568,
28530,,Surface,6,Image 1,1,54569,
102619,,Surface,6,Image 1,1,54570,
223966,,Surface,6,Image 1,1,54571,
90596,,Surface,6,Image 1,1,54572,
192065,,Surface,6,Image 1,1,54573,
216963,,Surface,6,Image 1,1,54574,
260583,,Surface,6,Image 1,1,54575,
130620,,Surface,6,Image 1,1,54576,
232412,,Surface,6,Image 1,1,54577,
128106,,Surface,6,Image 1,1,54578,
61210,,Surface,6,Image 1,1,54579,
82056,,Surface,6,Image 1,1,54580,
188699,,Surface,6,Image 1,1,54581,
213655,,Surface,6,Image 1,1,54582,
13756,,Surface,6,Image 1,1,54583,
19702,,Surface,6,Image 1,1,54584,
132269,,Surface,6,Image 1,1,54585,
125669,,Surface,6,Image 1,1,54586,
148839,,Surface,6,Image 1,1,54587,
29458,,Surface,6,Image 1,1,54588,
210318,,Surface,6,Image 1,1,54589,
179616,,Surface,6,Image 1,1,54590,
227318,,Surface,6,Image 1,1,54591,
73947,,Surface,6,Image 1,1,54592,
89527,,Surface,6,Image 1,1,54593,
168594,,Surface,6,Image 1,1,54594,
89965,,Surface,6,Image 1,1,54595,
158113,,Surface,6,Image 1,1,54596,
470232,,Surface,6,Image 1,1,54597,
134743,,Surface,6,Image 1,1,54598,
26410,,Surface,6,Image 1,1,54599,
102728,,Surface,6,Image 1,1,54600,
19036,,Surface,6,Image 1,1,54601,
114013,,Surface,6,Image 1,1,54602,
215948,,Surface,6,Image 1,1,54603,
19472,,Surface,6,Image 1,1,54604,
252700,,Surface,6,Image 1,1,54605,
167075,,Surface,6,Image 1,1,54606,
352595,,Surface,6,Image 1,2,54607,
226825,,Surface,6,Image 1,2,54608,
86700,,Surface,6,Image 1,2,54609,
31043,,Surface,6,Image 1,2,54610,
93889,,Surface,6,Image 1,2,54611,
187430,,Surface,6,Image 1,2,54612,
227289,,Surface,6,Image 1,2,54613,
194014,,Surface,6,Image 1,2,54614,
264648,,Surface,6,Image 1,2,54615,
92039,,Surface,6,Image 1,2,54616,
243109,,Surface,6,Image 1,2,54617,
140966,,Surface,6,Image 1,2,54618,
121883,,Surface,6,Image 1,2,54619,
57829,,Surface,6,Image 1,2,54620,
195198,,Surface,6,Image 1,2,54621,
78145,,Surface,6,Image 1,2,54622,
17512,,Surface,6,Image 1,2,54623,
201909,,Surface,6,Image 1,2,54624,
140451,,Surface,6,Image 1,2,54625,
123539,,Surface,6,Image 1,2,54626,
212661,,Surface,6,Image 1,2,54627,
154919,,Surface,6,Image 1,2,54628,
33609,,Surface,6,Image 1,2,54629,
177775,,Surface,6,Image 1,2,54630,
81496,,Surface,6,Image 1,2,54631,
231476,,Surface,6,Image 1,2,54632,
173649,,Surface,6,Image 1,2,54633,
77227,,Surface,6,Image 1,2,54634,
87637,,Surface,6,Image 1,2,54635,
151702,,Surface,6,Image 1,2,54636,
471495,,Surface,6,Image 1,2,54637,
139893,,Surface,6,Image 1,2,54638,
26032,,Surface,6,Image 1,2,54639,
98513,,Surface,6,Image 1,2,54640,
20592,,Surface,6,Image 1,2,54641,
113696,,Surface,6,Image 1,2,54642,
207634,,Surface,6,Image 1,2,54643,
240193,,Surface,6,Image 1,2,54644,
169213,,Surface,6,Image 1,2,54645,
86359,,Surface,6,Image 1,3,54646,
225844,,Surface,6,Image 1,3,54647,
11986,,Surface,6,Image 1,3,54648,
354724,,Surface,6,Image 1,3,54649,
30715,,Surface,6,Image 1,3,54650,
103942,,Surface,6,Image 1,3,54651,
186531,,Surface,6,Image 1,3,54652,
227271,,Surface,6,Image 1,3,54653,
258697,,Surface,6,Image 1,3,54654,
88742,,Surface,6,Image 1,3,54655,
233779,,Surface,6,Image 1,3,54656,
213618,,Surface,6,Image 1,3,54657,
133163,,Surface,6,Image 1,3,54658,
128907,,Surface,6,Image 1,3,54659,
66805,,Surface,6,Image 1,3,54660,
80922,,Surface,6,Image 1,3,54661,
208441,,Surface,6,Image 1,3,54662,
20181,,Surface,6,Image 1,3,54663,
12308,,Surface,6,Image 1,3,54664,
137725,,Surface,6,Image 1,3,54665,
205234,,Surface,6,Image 1,3,54666,
124706,,Surface,6,Image 1,3,54667,
31402,,Surface,6,Image 1,3,54668,
179500,,Surface,6,Image 1,3,54669,
205933,,Surface,6,Image 1,3,54670,
150909,,Surface,6,Image 1,3,54671,
80326,,Surface,6,Image 1,3,54672,
211364,,Surface,6,Image 1,3,54673,
87578,,Surface,6,Image 1,3,54674,
435021,,Surface,6,Image 1,3,54675,
88585,,Surface,6,Image 1,3,54676,
156270,,Surface,6,Image 1,3,54677,
162250,,Surface,6,Image 1,3,54678,
149027,,Surface,6,Image 1,3,54679,
24784,,Surface,6,Image 1,3,54680,
103942,,Surface,6,Image 1,3,54681,
26135,,Surface,6,Image 1,3,54682,
18715,,Surface,6,Image 1,3,54683,
115544,,Surface,6,Image 1,3,54684,
208238,,Surface,6,Image 1,3,54685,
260382,,Surface,6,Image 1,3,54686,
172363,,Surface,6,Image 1,3,54687,
224577,,Surface,6,Image 1,4,54688,
90062,,Surface,6,Image 1,4,54689,
358045,,Surface,6,Image 1,4,54690,
32672,,Surface,6,Image 1,4,54691,
101998,,Surface,6,Image 1,4,54692,
191173,,Surface,6,Image 1,4,54693,
