
Intensity Min Ch=5 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
34,,Surface,5,Image 1,1,54565,
35,,Surface,5,Image 1,1,54566,
33,,Surface,5,Image 1,1,54567,
42,,Surface,5,Image 1,1,54568,
36,,Surface,5,Image 1,1,54569,
32,,Surface,5,Image 1,1,54570,
30,,Surface,5,Image 1,1,54571,
29,,Surface,5,Image 1,1,54572,
36,,Surface,5,Image 1,1,54573,
29,,Surface,5,Image 1,1,54574,
26,,Surface,5,Image 1,1,54575,
39,,Surface,5,Image 1,1,54576,
29,,Surface,5,Image 1,1,54577,
29,,Surface,5,Image 1,1,54578,
23,,Surface,5,Image 1,1,54579,
31,,Surface,5,Image 1,1,54580,
31,,Surface,5,Image 1,1,54581,
29,,Surface,5,Image 1,1,54582,
39,,Surface,5,Image 1,1,54583,
29,,Surface,5,Image 1,1,54584,
31,,Surface,5,Image 1,1,54585,
36,,Surface,5,Image 1,1,54586,
27,,Surface,5,Image 1,1,54587,
30,,Surface,5,Image 1,1,54588,
34,,Surface,5,Image 1,1,54589,
33,,Surface,5,Image 1,1,54590,
28,,Surface,5,Image 1,1,54591,
33,,Surface,5,Image 1,1,54592,
17,,Surface,5,Image 1,1,54593,
31,,Surface,5,Image 1,1,54594,
26,,Surface,5,Image 1,1,54595,
27,,Surface,5,Image 1,1,54596,
27,,Surface,5,Image 1,1,54597,
32,,Surface,5,Image 1,1,54598,
34,,Surface,5,Image 1,1,54599,
28,,Surface,5,Image 1,1,54600,
35,,Surface,5,Image 1,1,54601,
23,,Surface,5,Image 1,1,54602,
26,,Surface,5,Image 1,1,54603,
31,,Surface,5,Image 1,1,54604,
29,,Surface,5,Image 1,1,54605,
32,,Surface,5,Image 1,1,54606,
30,,Surface,5,Image 1,2,54607,
30,,Surface,5,Image 1,2,54608,
30,,Surface,5,Image 1,2,54609,
36,,Surface,5,Image 1,2,54610,
33,,Surface,5,Image 1,2,54611,
33,,Surface,5,Image 1,2,54612,
32,,Surface,5,Image 1,2,54613,
35,,Surface,5,Image 1,2,54614,
29,,Surface,5,Image 1,2,54615,
33,,Surface,5,Image 1,2,54616,
28,,Surface,5,Image 1,2,54617,
29,,Surface,5,Image 1,2,54618,
32,,Surface,5,Image 1,2,54619,
31,,Surface,5,Image 1,2,54620,
33,,Surface,5,Image 1,2,54621,
35,,Surface,5,Image 1,2,54622,
35,,Surface,5,Image 1,2,54623,
27,,Surface,5,Image 1,2,54624,
2,,Surface,5,Image 1,2,54625,
33,,Surface,5,Image 1,2,54626,
30,,Surface,5,Image 1,2,54627,
30,,Surface,5,Image 1,2,54628,
35,,Surface,5,Image 1,2,54629,
28,,Surface,5,Image 1,2,54630,
34,,Surface,5,Image 1,2,54631,
25,,Surface,5,Image 1,2,54632,
25,,Surface,5,Image 1,2,54633,
33,,Surface,5,Image 1,2,54634,
34,,Surface,5,Image 1,2,54635,
30,,Surface,5,Image 1,2,54636,
27,,Surface,5,Image 1,2,54637,
22,,Surface,5,Image 1,2,54638,
35,,Surface,5,Image 1,2,54639,
29,,Surface,5,Image 1,2,54640,
37,,Surface,5,Image 1,2,54641,
30,,Surface,5,Image 1,2,54642,
29,,Surface,5,Image 1,2,54643,
26,,Surface,5,Image 1,2,54644,
17,,Surface,5,Image 1,2,54645,
38,,Surface,5,Image 1,3,54646,
14,,Surface,5,Image 1,3,54647,
42,,Surface,5,Image 1,3,54648,
30,,Surface,5,Image 1,3,54649,
30,,Surface,5,Image 1,3,54650,
