
Area
 ==================== 
Area,Unit,Category,Time,ID,
4268.95,um^2,Surface,1,54565,
8083.87,um^2,Surface,1,54566,
7211.8,um^2,Surface,1,54567,
974.787,um^2,Surface,1,54568,
1287.3,um^2,Surface,1,54569,
2985.62,um^2,Surface,1,54570,
9905.84,um^2,Surface,1,54571,
2250.76,um^2,Surface,1,54572,
6945.14,um^2,Surface,1,54573,
6005.65,um^2,Surface,1,54574,
15267.9,um^2,Surface,1,54575,
3145.88,um^2,Surface,1,54576,
8425.33,um^2,Surface,1,54577,
4211.78,um^2,Surface,1,54578,
2497.27,um^2,Surface,1,54579,
2180.7,um^2,Surface,1,54580,
6794.64,um^2,Surface,1,54581,
6857.47,um^2,Surface,1,54582,
1034.04,um^2,Surface,1,54583,
864.274,um^2,Surface,1,54584,
5187.32,um^2,Surface,1,54585,
4803.66,um^2,Surface,1,54586,
4578.51,um^2,Surface,1,54587,
1335.75,um^2,Surface,1,54588,
4282.57,um^2,Surface,1,54589,
5607.64,um^2,Surface,1,54590,
6296.29,um^2,Surface,1,54591,
2891.02,um^2,Surface,1,54592,
3565.36,um^2,Surface,1,54593,
5634.94,um^2,Surface,1,54594,
2352.35,um^2,Surface,1,54595,
6721.31,um^2,Surface,1,54596,
13964.9,um^2,Surface,1,54597,
4583.36,um^2,Surface,1,54598,
1050.42,um^2,Surface,1,54599,
3459.07,um^2,Surface,1,54600,
1103.5,um^2,Surface,1,54601,
3048.82,um^2,Surface,1,54602,
8719.94,um^2,Surface,1,54603,
773.512,um^2,Surface,1,54604,
7646.87,um^2,Surface,1,54605,
4731.65,um^2,Surface,1,54606,
7123.98,um^2,Surface,2,54607,
8453.68,um^2,Surface,2,54608,
4161.05,um^2,Surface,2,54609,
1310.89,um^2,Surface,2,54610,
2863.52,um^2,Surface,2,54611,
6975.41,um^2,Surface,2,54612,
9632.61,um^2,Surface,2,54613,
5757.12,um^2,Surface,2,54614,
15124.5,um^2,Surface,2,54615,
2276.56,um^2,Surface,2,54616,
8399.15,um^2,Surface,2,54617,
3213.25,um^2,Surface,2,54618,
4036.02,um^2,Surface,2,54619,
2393.93,um^2,Surface,2,54620,
6889.67,um^2,Surface,2,54621,
2120.87,um^2,Surface,2,54622,
806.213,um^2,Surface,2,54623,
7144.85,um^2,Surface,2,54624,
4822.34,um^2,Surface,2,54625,
4517.72,um^2,Surface,2,54626,
4292.79,um^2,Surface,2,54627,
4623.31,um^2,Surface,2,54628,
1456.19,um^2,Surface,2,54629,
5673.43,um^2,Surface,2,54630,
3119.04,um^2,Surface,2,54631,
6208.55,um^2,Surface,2,54632,
5558.89,um^2,Surface,2,54633,
3272.92,um^2,Surface,2,54634,
2326.36,um^2,Surface,2,54635,
6863.79,um^2,Surface,2,54636,
14157.2,um^2,Surface,2,54637,
4724.65,um^2,Surface,2,54638,
1083.86,um^2,Surface,2,54639,
3626.3,um^2,Surface,2,54640,
1145.41,um^2,Surface,2,54641,
2957.41,um^2,Surface,2,54642,
9201.16,um^2,Surface,2,54643,
7515.04,um^2,Surface,2,54644,
4784.23,um^2,Surface,2,54645,
4048.57,um^2,Surface,3,54646,
8488.02,um^2,Surface,3,54647,
1064.96,um^2,Surface,3,54648,
7144.82,um^2,Surface,3,54649,
1338.07,um^2,Surface,3,54650,
2892.11,um^2,Surface,3,54651,
6930.82,um^2,Surface,3,54652,
9803.92,um^2,Surface,3,54653,
15003.6,um^2,Surface,3,54654,
