
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,TrackID,ID,
6.40812,um,Surface,1,1000224458,224458,
6.78986,um,Surface,1,1000224459,224459,
6.21831,um,Surface,1,1000224460,224460,
7.11556,um,Surface,1,1000224461,224461,
6.4951,um,Surface,1,1000224462,224462,
7.94645,um,Surface,1,1000224463,224463,
7.29537,um,Surface,1,1000224464,224464,
7.44454,um,Surface,1,1000224465,224465,
7.1458,um,Surface,1,1000224466,224466,
7.69689,um,Surface,1,1000224467,224467,
8.25873,um,Surface,1,1000224468,224468,
6.52828,um,Surface,1,1000224469,224469,
6.28792,um,Surface,1,1000224470,224470,
7.38004,um,Surface,1,1000224471,224471,
7.83836,um,Surface,1,1000224472,224472,
6.66627,um,Surface,1,1000224473,224473,
7.35715,um,Surface,1,1000224474,224474,
6.96798,um,Surface,1,1000224475,224475,
6.32367,um,Surface,1,1000224476,224476,
6.883,um,Surface,1,1000224477,224477,
6.97797,um,Surface,1,1000224478,224478,
8.51617,um,Surface,1,1000224479,224479,
7.08293,um,Surface,1,1000224480,224480,
5.99068,um,Surface,1,1000224481,224481,
6.71303,um,Surface,1,1000224482,224482,
6.50536,um,Surface,1,1000224483,224483,
7.11616,um,Surface,1,1000224484,224484,
7.57182,um,Surface,1,1000224485,224485,
6.37756,um,Surface,1,1000224486,224486,
7.03822,um,Surface,1,1000224487,224487,
7.76172,um,Surface,1,1000224488,224488,
7.88693,um,Surface,1,1000224489,224489,
6.96036,um,Surface,1,1000224490,224490,
6.30631,um,Surface,1,1000224491,224491,
8.19114,um,Surface,1,1000224492,224492,
6.4875,um,Surface,1,1000224493,224493,
7.09106,um,Surface,1,1000224494,224494,
7.19223,um,Surface,1,1000224495,224495,
6.32996,um,Surface,1,1000224496,224496,
6.88565,um,Surface,1,1000224497,224497,
5.8747,um,Surface,1,1000224498,224498,
9.88914,um,Surface,1,1000224499,224499,
10.1955,um,Surface,1,1000224500,224500,
6.58996,um,Surface,1,1000224501,224501,
7.12978,um,Surface,1,1000224502,224502,
6.26848,um,Surface,1,1000224503,224503,
7.10084,um,Surface,1,1000224504,224504,
7.14733,um,Surface,1,1000224505,224505,
6.45326,um,Surface,1,1000224506,224506,
7.58052,um,Surface,1,1000224507,224507,
7.02074,um,Surface,1,1000224508,224508,
12.0868,um,Surface,1,1000224509,224509,
6.56614,um,Surface,1,1000224510,224510,
6.97626,um,Surface,1,1000224511,224511,
6.39548,um,Surface,1,1000224512,224512,
6.67858,um,Surface,1,1000224513,224513,
