
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,TrackID,ID,
5.47283,um,Surface,1,1000224458,224458,
4.46677,um,Surface,1,1000224459,224459,
5.36957,um,Surface,1,1000224460,224460,
4.26596,um,Surface,1,1000224461,224461,
4.46039,um,Surface,1,1000224462,224462,
5.42919,um,Surface,1,1000224463,224463,
4.99406,um,Surface,1,1000224464,224464,
5.55151,um,Surface,1,1000224465,224465,
4.27412,um,Surface,1,1000224466,224466,
6.19221,um,Surface,1,1000224467,224467,
6.41888,um,Surface,1,1000224468,224468,
4.1831,um,Surface,1,1000224469,224469,
5.45786,um,Surface,1,1000224470,224470,
5.63884,um,Surface,1,1000224471,224471,
5.50221,um,Surface,1,1000224472,224472,
4.30686,um,Surface,1,1000224473,224473,
5.89352,um,Surface,1,1000224474,224474,
5.44893,um,Surface,1,1000224475,224475,
5.75983,um,Surface,1,1000224476,224476,
4.22451,um,Surface,1,1000224477,224477,
5.63928,um,Surface,1,1000224478,224478,
7.31968,um,Surface,1,1000224479,224479,
4.25898,um,Surface,1,1000224480,224480,
4.77025,um,Surface,1,1000224481,224481,
5.35782,um,Surface,1,1000224482,224482,
4.81485,um,Surface,1,1000224483,224483,
5.09441,um,Surface,1,1000224484,224484,
4.96465,um,Surface,1,1000224485,224485,
4.67498,um,Surface,1,1000224486,224486,
5.57584,um,Surface,1,1000224487,224487,
5.58238,um,Surface,1,1000224488,224488,
4.14305,um,Surface,1,1000224489,224489,
5.80116,um,Surface,1,1000224490,224490,
5.3748,um,Surface,1,1000224491,224491,
5.60382,um,Surface,1,1000224492,224492,
4.26574,um,Surface,1,1000224493,224493,
4.57029,um,Surface,1,1000224494,224494,
4.49448,um,Surface,1,1000224495,224495,
4.32113,um,Surface,1,1000224496,224496,
5.59323,um,Surface,1,1000224497,224497,
4.18655,um,Surface,1,1000224498,224498,
6.1394,um,Surface,1,1000224499,224499,
5.67287,um,Surface,1,1000224500,224500,
5.5377,um,Surface,1,1000224501,224501,
5.55002,um,Surface,1,1000224502,224502,
5.6703,um,Surface,1,1000224503,224503,
5.3804,um,Surface,1,1000224504,224504,
5.95416,um,Surface,1,1000224505,224505,
5.29686,um,Surface,1,1000224506,224506,
4.2941,um,Surface,1,1000224507,224507,
5.83712,um,Surface,1,1000224508,224508,
5.13093,um,Surface,1,1000224509,224509,
5.43681,um,Surface,1,1000224510,224510,
5.40072,um,Surface,1,1000224511,224511,
5.31089,um,Surface,1,1000224512,224512,
5.18194,um,Surface,1,1000224513,224513,
5.17311,um,Surface,1,1000224514,224514,
5.58309,um,Surface,1,1000224515,224515,
5.46211,um,Surface,1,1000224516,224516,
5.17042,um,Surface,1,1000224517,224517,
5.65072,um,Surface,1,1000224518,224518,
4.23731,um,Surface,1,1000224519,224519,
5.00393,um,Surface,1,1000224520,224520,
5.45546,um,Surface,1,1000224521,224521,
5.41643,um,Surface,1,1000224522,224522,
5.41591,um,Surface,1,1000224523,224523,
4.44035,um,Surface,1,1000224524,224524,
5.89883,um,Surface,1,1000224525,224525,
4.18421,um,Surface,1,1000224526,224526,
4.60555,um,Surface,1,1000224527,224527,
6.70319,um,Surface,1,1000224528,224528,
5.89399,um,Surface,1,1000224529,224529,
4.15975,um,Surface,1,1000224530,224530,
4.88981,um,Surface,1,1000224531,224531,
4.30277,um,Surface,1,1000224532,224532,
5.17275,um,Surface,1,1000224533,224533,
5.61424,um,Surface,1,1000224534,224534,
4.27543,um,Surface,1,1000224535,224535,
5.09969,um,Surface,1,1000224536,224536,
5.64498,um,Surface,1,1000224537,224537,
4.54428,um,Surface,1,1000224538,224538,
5.26042,um,Surface,1,1000224539,224539,
4.29481,um,Surface,1,1000224540,224540,
4.28053,um,Surface,1,1000224541,224541,
5.16574,um,Surface,1,1000224542,224542,
5.0379,um,Surface,1,1000224543,224543,
4.0984,um,Surface,1,1000224544,224544,
5.02043,um,Surface,1,1000224545,224545,
4.27558,um,Surface,1,1000224546,224546,
5.14615,um,Surface,1,1000224547,224547,
1.9803,um,Surface,1,1000224548,224548,
5.15732,um,Surface,1,1000224549,224549,
5.006,um,Surface,1,1000224550,224550,
4.21232,um,Surface,1,1000224551,224551,
4.68149,um,Surface,1,1000224552,224552,
4.8049,um,Surface,1,1000224553,224553,
4.80973,um,Surface,1,1000224554,224554,
6.1428,um,Surface,1,1000224555,224555,
4.30803,um,Surface,1,1000224556,224556,
5.28805,um,Surface,1,1000224557,224557,
5.16035,um,Surface,1,1000224558,224558,
