
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,TrackID,ID,
12.7286,13.0948,19.444,um,Surface,BoundingBoxOO Length,1,1000224529,224529,
10.4766,11.7749,15.4408,um,Surface,BoundingBoxOO Length,1,1000224530,224530,
11.5373,11.9023,13.8227,um,Surface,BoundingBoxOO Length,1,1000224531,224531,
10.4065,11.7015,14.4398,um,Surface,BoundingBoxOO Length,1,1000224532,224532,
12.5222,14.4354,14.7068,um,Surface,BoundingBoxOO Length,1,1000224533,224533,
12.5647,12.9605,13.4919,um,Surface,BoundingBoxOO Length,1,1000224534,224534,
10.6017,10.5613,12.0613,um,Surface,BoundingBoxOO Length,1,1000224535,224535,
12.4895,13.6362,14.5277,um,Surface,BoundingBoxOO Length,1,1000224536,224536,
13.0791,14.0616,14.5937,um,Surface,BoundingBoxOO Length,1,1000224537,224537,
10.8839,11.3042,12.7483,um,Surface,BoundingBoxOO Length,1,1000224538,224538,
12.3946,12.3375,15.2054,um,Surface,BoundingBoxOO Length,1,1000224539,224539,
10.494,12.7372,13.9415,um,Surface,BoundingBoxOO Length,1,1000224540,224540,
10.3009,10.8352,11.6501,um,Surface,BoundingBoxOO Length,1,1000224541,224541,
10.613,11.4192,13.0154,um,Surface,BoundingBoxOO Length,1,1000224542,224542,
10.9065,11.1884,13.0881,um,Surface,BoundingBoxOO Length,1,1000224543,224543,
10.7372,12.438,13.5001,um,Surface,BoundingBoxOO Length,1,1000224544,224544,
10.6165,10.9855,12.5854,um,Surface,BoundingBoxOO Length,1,1000224545,224545,
10.7706,12.4097,14.4778,um,Surface,BoundingBoxOO Length,1,1000224546,224546,
12.2497,12.4148,13.2703,um,Surface,BoundingBoxOO Length,1,1000224547,224547,
6.29701,8.34501,10.7493,um,Surface,BoundingBoxOO Length,1,1000224548,224548,
11.9005,13.5667,13.4623,um,Surface,BoundingBoxOO Length,1,1000224549,224549,
11.0828,11.6027,13.928,um,Surface,BoundingBoxOO Length,1,1000224550,224550,
10.2683,11.3941,11.1358,um,Surface,BoundingBoxOO Length,1,1000224551,224551,
11.0446,12.3751,13.0581,um,Surface,BoundingBoxOO Length,1,1000224552,224552,
9.93481,12.4335,11.9553,um,Surface,BoundingBoxOO Length,1,1000224553,224553,
10.7369,11.7522,13.9905,um,Surface,BoundingBoxOO Length,1,1000224554,224554,
13.9647,14.1231,14.6304,um,Surface,BoundingBoxOO Length,1,1000224555,224555,
11.2649,13.4315,12.8508,um,Surface,BoundingBoxOO Length,1,1000224556,224556,
12.6097,13.6641,14.1097,um,Surface,BoundingBoxOO Length,1,1000224557,224557,
11.7364,12.5864,14.9249,um,Surface,BoundingBoxOO Length,1,1000224558,224558,
11.8349,13.0408,20.0973,um,Surface,BoundingBoxOO Length,1,1000224559,224559,
11.6372,11.9543,12.3306,um,Surface,BoundingBoxOO Length,1,1000224560,224560,
10.7974,11.7843,13.0778,um,Surface,BoundingBoxOO Length,1,1000224561,224561,
13.5691,14.336,16.0251,um,Surface,BoundingBoxOO Length,1,1000224562,224562,
9.77436,10.3917,12.6022,um,Surface,BoundingBoxOO Length,1,1000224563,224563,
9.43956,15.267,20.408,um,Surface,BoundingBoxOO Length,1,1000224564,224564,
10.515,12.2373,13.2844,um,Surface,BoundingBoxOO Length,1,1000224565,224565,
11.193,11.8467,12.9131,um,Surface,BoundingBoxOO Length,1,1000224566,224566,
11.5919,12.9016,13.5735,um,Surface,BoundingBoxOO Length,1,1000224567,224567,
13.7196,15.3897,15.7271,um,Surface,BoundingBoxOO Length,1,1000224568,224568,
13.8874,14.3632,15.3879,um,Surface,BoundingBoxOO Length,1,1000224569,224569,
11.1692,13.1124,13.8008,um,Surface,BoundingBoxOO Length,1,1000224570,224570,
11.2177,10.5137,12.3733,um,Surface,BoundingBoxOO Length,1,1000224571,224571,
10.9363,11.0735,11.6223,um,Surface,BoundingBoxOO Length,1,1000224572,224572,
6.81105,10.4472,12.7415,um,Surface,BoundingBoxOO Length,1,1000224573,224573,
6.72816,11.8839,13.6367,um,Surface,BoundingBoxOO Length,1,1000224574,224574,
13.032,12.2708,13.6753,um,Surface,BoundingBoxOO Length,1,1000224575,224575,
10.2082,11.2978,13.2343,um,Surface,BoundingBoxOO Length,2,1000224466,224576,
12.9445,14.4727,14.1649,um,Surface,BoundingBoxOO Length,2,1000224467,224577,
11.0071,11.8962,12.428,um,Surface,BoundingBoxOO Length,2,1000224458,224578,
11.4536,12.9007,12.1196,um,Surface,BoundingBoxOO Length,2,1000224459,224579,
11.5632,12.2858,14.7773,um,Surface,BoundingBoxOO Length,2,1000224461,224580,
10.2385,12.2843,12.3288,um,Surface,BoundingBoxOO Length,2,1000224460,224581,
11.8645,10.4846,13.2935,um,Surface,BoundingBoxOO Length,2,1000224462,224582,
14.3988,14.2779,22.5563,um,Surface,BoundingBoxOO Length,2,1000224463,224583,
14.5601,15.3834,16.59,um,Surface,BoundingBoxOO Length,2,1000224468,224584,
10.9521,12.6897,13.8777,um,Surface,BoundingBoxOO Length,2,1000224470,224585,
12.9255,13.338,12.4924,um,Surface,BoundingBoxOO Length,2,1000224464,224586,
13.7564,13.9296,14.7848,um,Surface,BoundingBoxOO Length,2,1000224465,224587,
11.4018,11.7916,12.9132,um,Surface,BoundingBoxOO Length,2,1000224471,224588,
10.581,12.3115,14.2796,um,Surface,BoundingBoxOO Length,2,1000224473,224589,
10.1398,11.6492,12.7936,um,Surface,BoundingBoxOO Length,2,1000224469,224590,
12.6656,13.8872,14.572,um,Surface,BoundingBoxOO Length,2,1000224474,224591,
11.4179,13.9481,14.8847,um,Surface,BoundingBoxOO Length,2,1000224475,224592,
12.4023,13.6723,15.1148,um,Surface,BoundingBoxOO Length,2,1000224472,224593,
11.4233,12.4822,14.6536,um,Surface,BoundingBoxOO Length,2,1000224477,224594,
11.6103,13.1907,12.3391,um,Surface,BoundingBoxOO Length,2,1000224478,224595,
14.2806,17.7343,18.1968,um,Surface,BoundingBoxOO Length,2,1000224479,224596,
10.7986,12.5424,12.4762,um,Surface,BoundingBoxOO Length,2,1000224480,224597,
13.3316,13.2247,13.0415,um,Surface,BoundingBoxOO Length,2,1000224476,224598,
12.3494,12.8856,18.5559,um,Surface,BoundingBoxOO Length,2,1000224482,224599,
9.81243,11.2342,11.8125,um,Surface,BoundingBoxOO Length,2,1000224483,224600,
11.8052,13.2871,13.5242,um,Surface,BoundingBoxOO Length,2,1000224484,224601,
10.157,11.1291,12.2266,um,Surface,BoundingBoxOO Length,2,1000224481,224602,
10.7281,12.7846,12.4047,um,Surface,BoundingBoxOO Length,2,1000224486,224603,
13.2173,13.4623,13.5091,um,Surface,BoundingBoxOO Length,2,1000224485,224604,
10.743,11.4197,13.2145,um,Surface,BoundingBoxOO Length,2,1000224491,224605,
10.1837,11.4962,18.6152,um,Surface,BoundingBoxOO Length,2,1000224489,224606,
13.5995,15.8603,15.325,um,Surface,BoundingBoxOO Length,2,1000224488,224607,
