
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,TrackID,ID,
10.6274,14.1699,16.8,um,Surface,BoundingBoxAA Length,1,1000224530,224530,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,1,1000224531,224531,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224532,224532,
14.1698,14.1699,14.7,um,Surface,BoundingBoxAA Length,1,1000224533,224533,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,1,1000224534,224534,
10.6274,10.6274,13.65,um,Surface,BoundingBoxAA Length,1,1000224535,224535,
14.1699,14.1698,14.7,um,Surface,BoundingBoxAA Length,1,1000224536,224536,
17.7123,14.1698,15.75,um,Surface,BoundingBoxAA Length,1,1000224537,224537,
14.1699,14.1699,11.55,um,Surface,BoundingBoxAA Length,1,1000224538,224538,
14.1698,14.1699,14.7,um,Surface,BoundingBoxAA Length,1,1000224539,224539,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224540,224540,
10.6274,10.6274,12.6,um,Surface,BoundingBoxAA Length,1,1000224541,224541,
14.1699,14.1698,11.55,um,Surface,BoundingBoxAA Length,1,1000224542,224542,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,1,1000224543,224543,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224544,224544,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,1,1000224545,224545,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224546,224546,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224547,224547,
7.08493,14.1699,10.5,um,Surface,BoundingBoxAA Length,1,1000224548,224548,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,1,1000224549,224549,
14.1699,14.1698,13.65,um,Surface,BoundingBoxAA Length,1,1000224550,224550,
10.6274,14.1698,12.6,um,Surface,BoundingBoxAA Length,1,1000224551,224551,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224552,224552,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224553,224553,
14.1699,14.1698,12.6,um,Surface,BoundingBoxAA Length,1,1000224554,224554,
17.7123,17.7123,14.7,um,Surface,BoundingBoxAA Length,1,1000224555,224555,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224556,224556,
17.7123,14.1698,14.7,um,Surface,BoundingBoxAA Length,1,1000224557,224557,
14.1699,17.7123,14.7,um,Surface,BoundingBoxAA Length,1,1000224558,224558,
17.7123,14.1698,18.9,um,Surface,BoundingBoxAA Length,1,1000224559,224559,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,1,1000224560,224560,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224561,224561,
14.1699,17.7123,14.7,um,Surface,BoundingBoxAA Length,1,1000224562,224562,
10.6274,10.6274,13.65,um,Surface,BoundingBoxAA Length,1,1000224563,224563,
10.6274,21.2548,17.85,um,Surface,BoundingBoxAA Length,1,1000224564,224564,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,1,1000224565,224565,
14.1698,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224566,224566,
14.1699,17.7123,14.7,um,Surface,BoundingBoxAA Length,1,1000224567,224567,
17.7123,14.1699,15.75,um,Surface,BoundingBoxAA Length,1,1000224568,224568,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,1,1000224569,224569,
14.1699,17.7123,14.7,um,Surface,BoundingBoxAA Length,1,1000224570,224570,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,1,1000224571,224571,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,1,1000224572,224572,
10.6274,7.08493,13.65,um,Surface,BoundingBoxAA Length,1,1000224573,224573,
7.08493,14.1699,12.6,um,Surface,BoundingBoxAA Length,1,1000224574,224574,
14.1699,17.7123,13.65,um,Surface,BoundingBoxAA Length,1,1000224575,224575,
