
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,TrackID,ID,
-13.6802,-25.2766,999.587,um,Surface,Ellipsoid Axis C,1,1000224530,224530,
-142.173,594.446,-791.467,um,Surface,Ellipsoid Axis C,1,1000224531,224531,
-2.3305,529.052,848.586,um,Surface,Ellipsoid Axis C,1,1000224532,224532,
188.203,163.62,968.405,um,Surface,Ellipsoid Axis C,1,1000224533,224533,
444.552,149.623,883.168,um,Surface,Ellipsoid Axis C,1,1000224534,224534,
-33.7364,33.7364,998.861,um,Surface,Ellipsoid Axis C,1,1000224535,224535,
-252.57,157.439,954.684,um,Surface,Ellipsoid Axis C,1,1000224536,224536,
-100.406,106.215,989.261,um,Surface,Ellipsoid Axis C,1,1000224537,224537,
-36.8811,-932.18,360.112,um,Surface,Ellipsoid Axis C,1,1000224538,224538,
-186.857,-202.612,961.266,um,Surface,Ellipsoid Axis C,1,1000224539,224539,
46.5529,-276.026,960.022,um,Surface,Ellipsoid Axis C,1,1000224540,224540,
53.928,61.1738,996.669,um,Surface,Ellipsoid Axis C,1,1000224541,224541,
-287.281,941.357,176.964,um,Surface,Ellipsoid Axis C,1,1000224542,224542,
147.044,326.834,933.573,um,Surface,Ellipsoid Axis C,1,1000224543,224543,
-59.2709,255.239,965.059,um,Surface,Ellipsoid Axis C,1,1000224544,224544,
737.006,-663.905,-126.701,um,Surface,Ellipsoid Axis C,1,1000224545,224545,
-46.9495,638.577,768.124,um,Surface,Ellipsoid Axis C,1,1000224546,224546,
-68.4086,-84.9616,994.033,um,Surface,Ellipsoid Axis C,1,1000224547,224547,
4.19971e-11,-798.812,601.581,um,Surface,Ellipsoid Axis C,1,1000224548,224548,
-244.345,148.018,958.325,um,Surface,Ellipsoid Axis C,1,1000224549,224549,
-256.007,-54.5434,965.135,um,Surface,Ellipsoid Axis C,1,1000224550,224550,
-34.7933,-80.1383,996.176,um,Surface,Ellipsoid Axis C,1,1000224551,224551,
114.9,648.206,752.746,um,Surface,Ellipsoid Axis C,1,1000224552,224552,
117.556,-119.524,985.847,um,Surface,Ellipsoid Axis C,1,1000224553,224553,
-81.0026,-931.842,353.707,um,Surface,Ellipsoid Axis C,1,1000224554,224554,
266.469,-253.497,929.91,um,Surface,Ellipsoid Axis C,1,1000224555,224555,
