
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
4,,Surface,4,Image 1,1,1000224458,224458,
8,,Surface,4,Image 1,1,1000224459,224459,
14,,Surface,4,Image 1,1,1000224460,224460,
4,,Surface,4,Image 1,1,1000224461,224461,
6,,Surface,4,Image 1,1,1000224462,224462,
4,,Surface,4,Image 1,1,1000224463,224463,
7,,Surface,4,Image 1,1,1000224464,224464,
7,,Surface,4,Image 1,1,1000224465,224465,
5,,Surface,4,Image 1,1,1000224466,224466,
5,,Surface,4,Image 1,1,1000224467,224467,
8,,Surface,4,Image 1,1,1000224468,224468,
10,,Surface,4,Image 1,1,1000224469,224469,
7,,Surface,4,Image 1,1,1000224470,224470,
8,,Surface,4,Image 1,1,1000224471,224471,
5,,Surface,4,Image 1,1,1000224472,224472,
10,,Surface,4,Image 1,1,1000224473,224473,
5,,Surface,4,Image 1,1,1000224474,224474,
13,,Surface,4,Image 1,1,1000224475,224475,
16,,Surface,4,Image 1,1,1000224476,224476,
7,,Surface,4,Image 1,1,1000224477,224477,
3,,Surface,4,Image 1,1,1000224478,224478,
13,,Surface,4,Image 1,1,1000224479,224479,
6,,Surface,4,Image 1,1,1000224480,224480,
6,,Surface,4,Image 1,1,1000224481,224481,
8,,Surface,4,Image 1,1,1000224482,224482,
15,,Surface,4,Image 1,1,1000224483,224483,
12,,Surface,4,Image 1,1,1000224484,224484,
3,,Surface,4,Image 1,1,1000224485,224485,
8,,Surface,4,Image 1,1,1000224486,224486,
8,,Surface,4,Image 1,1,1000224487,224487,
6,,Surface,4,Image 1,1,1000224488,224488,
2,,Surface,4,Image 1,1,1000224489,224489,
6,,Surface,4,Image 1,1,1000224490,224490,
10,,Surface,4,Image 1,1,1000224491,224491,
11,,Surface,4,Image 1,1,1000224492,224492,
7,,Surface,4,Image 1,1,1000224493,224493,
8,,Surface,4,Image 1,1,1000224494,224494,
5,,Surface,4,Image 1,1,1000224495,224495,
8,,Surface,4,Image 1,1,1000224496,224496,
3,,Surface,4,Image 1,1,1000224497,224497,
16,,Surface,4,Image 1,1,1000224498,224498,
4,,Surface,4,Image 1,1,1000224499,224499,
3,,Surface,4,Image 1,1,1000224500,224500,
8,,Surface,4,Image 1,1,1000224501,224501,
6,,Surface,4,Image 1,1,1000224502,224502,
7,,Surface,4,Image 1,1,1000224503,224503,
4,,Surface,4,Image 1,1,1000224504,224504,
10,,Surface,4,Image 1,1,1000224505,224505,
5,,Surface,4,Image 1,1,1000224506,224506,
4,,Surface,4,Image 1,1,1000224507,224507,
5,,Surface,4,Image 1,1,1000224508,224508,
6,,Surface,4,Image 1,1,1000224509,224509,
10,,Surface,4,Image 1,1,1000224510,224510,
10,,Surface,4,Image 1,1,1000224511,224511,
9,,Surface,4,Image 1,1,1000224512,224512,
4,,Surface,4,Image 1,1,1000224513,224513,
10,,Surface,4,Image 1,1,1000224514,224514,
4,,Surface,4,Image 1,1,1000224515,224515,
6,,Surface,4,Image 1,1,1000224516,224516,
10,,Surface,4,Image 1,1,1000224517,224517,
8,,Surface,4,Image 1,1,1000224518,224518,
6,,Surface,4,Image 1,1,1000224519,224519,
6,,Surface,4,Image 1,1,1000224520,224520,
5,,Surface,4,Image 1,1,1000224521,224521,
3,,Surface,4,Image 1,1,1000224522,224522,
8,,Surface,4,Image 1,1,1000224523,224523,
7,,Surface,4,Image 1,1,1000224524,224524,
5,,Surface,4,Image 1,1,1000224525,224525,
7,,Surface,4,Image 1,1,1000224526,224526,
7,,Surface,4,Image 1,1,1000224527,224527,
4,,Surface,4,Image 1,1,1000224528,224528,
8,,Surface,4,Image 1,1,1000224529,224529,
3,,Surface,4,Image 1,1,1000224530,224530,
7,,Surface,4,Image 1,1,1000224531,224531,
3,,Surface,4,Image 1,1,1000224532,224532,
4,,Surface,4,Image 1,1,1000224533,224533,
5,,Surface,4,Image 1,1,1000224534,224534,
4,,Surface,4,Image 1,1,1000224535,224535,
6,,Surface,4,Image 1,1,1000224536,224536,
3,,Surface,4,Image 1,1,1000224537,224537,
7,,Surface,4,Image 1,1,1000224538,224538,
5,,Surface,4,Image 1,1,1000224539,224539,
7,,Surface,4,Image 1,1,1000224540,224540,
8,,Surface,4,Image 1,1,1000224541,224541,
4,,Surface,4,Image 1,1,1000224542,224542,
7,,Surface,4,Image 1,1,1000224543,224543,
4,,Surface,4,Image 1,1,1000224544,224544,
6,,Surface,4,Image 1,1,1000224545,224545,
10,,Surface,4,Image 1,1,1000224546,224546,
6,,Surface,4,Image 1,1,1000224547,224547,
8,,Surface,4,Image 1,1,1000224548,224548,
5,,Surface,4,Image 1,1,1000224549,224549,
6,,Surface,4,Image 1,1,1000224550,224550,
5,,Surface,4,Image 1,1,1000224551,224551,
4,,Surface,4,Image 1,1,1000224552,224552,
6,,Surface,4,Image 1,1,1000224553,224553,
7,,Surface,4,Image 1,1,1000224554,224554,
8,,Surface,4,Image 1,1,1000224555,224555,
9,,Surface,4,Image 1,1,1000224556,224556,
4,,Surface,4,Image 1,1,1000224557,224557,
5,,Surface,4,Image 1,1,1000224558,224558,
5,,Surface,4,Image 1,1,1000224559,224559,
13,,Surface,4,Image 1,1,1000224560,224560,
10,,Surface,4,Image 1,1,1000224561,224561,
6,,Surface,4,Image 1,1,1000224562,224562,
7,,Surface,4,Image 1,1,1000224563,224563,
8,,Surface,4,Image 1,1,1000224564,224564,
6,,Surface,4,Image 1,1,1000224565,224565,
3,,Surface,4,Image 1,1,1000224566,224566,
4,,Surface,4,Image 1,1,1000224567,224567,
7,,Surface,4,Image 1,1,1000224568,224568,
5,,Surface,4,Image 1,1,1000224569,224569,
5,,Surface,4,Image 1,1,1000224570,224570,
4,,Surface,4,Image 1,1,1000224571,224571,
6,,Surface,4,Image 1,1,1000224572,224572,
6,,Surface,4,Image 1,1,1000224573,224573,
3,,Surface,4,Image 1,1,1000224574,224574,
5,,Surface,4,Image 1,1,1000224575,224575,
4,,Surface,4,Image 1,2,1000224466,224576,
10,,Surface,4,Image 1,2,1000224467,224577,
6,,Surface,4,Image 1,2,1000224458,224578,
11,,Surface,4,Image 1,2,1000224459,224579,
3,,Surface,4,Image 1,2,1000224461,224580,
12,,Surface,4,Image 1,2,1000224460,224581,
5,,Surface,4,Image 1,2,1000224462,224582,
3,,Surface,4,Image 1,2,1000224463,224583,
7,,Surface,4,Image 1,2,1000224468,224584,
8,,Surface,4,Image 1,2,1000224470,224585,
6,,Surface,4,Image 1,2,1000224464,224586,
4,,Surface,4,Image 1,2,1000224465,224587,
10,,Surface,4,Image 1,2,1000224471,224588,
8,,Surface,4,Image 1,2,1000224473,224589,
9,,Surface,4,Image 1,2,1000224469,224590,
5,,Surface,4,Image 1,2,1000224474,224591,
8,,Surface,4,Image 1,2,1000224475,224592,
5,,Surface,4,Image 1,2,1000224472,224593,
5,,Surface,4,Image 1,2,1000224477,224594,
5,,Surface,4,Image 1,2,1000224478,224595,
10,,Surface,4,Image 1,2,1000224479,224596,
8,,Surface,4,Image 1,2,1000224480,224597,
13,,Surface,4,Image 1,2,1000224476,224598,
8,,Surface,4,Image 1,2,1000224482,224599,
9,,Surface,4,Image 1,2,1000224483,224600,
10,,Surface,4,Image 1,2,1000224484,224601,
11,,Surface,4,Image 1,2,1000224481,224602,
5,,Surface,4,Image 1,2,1000224486,224603,
4,,Surface,4,Image 1,2,1000224485,224604,
10,,Surface,4,Image 1,2,1000224491,224605,
5,,Surface,4,Image 1,2,1000224489,224606,
6,,Surface,4,Image 1,2,1000224488,224607,
11,,Surface,4,Image 1,2,1000224493,224608,
3,,Surface,4,Image 1,2,1000224490,224609,
8,,Surface,4,Image 1,2,1000224487,224610,
5,,Surface,4,Image 1,2,1000224494,224611,
6,,Surface,4,Image 1,2,1000224495,224612,
12,,Surface,4,Image 1,2,1000224496,224613,
7,,Surface,4,Image 1,2,1000224492,224614,
5,,Surface,4,Image 1,2,1000224502,224615,
3,,Surface,4,Image 1,2,1000224497,224616,
4,,Surface,4,Image 1,2,1000224499,224617,
6,,Surface,4,Image 1,2,1000224501,224618,
8,,Surface,4,Image 1,2,1000224500,224619,
6,,Surface,4,Image 1,2,1000224498,224620,
4,,Surface,4,Image 1,2,1000224504,224621,
4,,Surface,4,Image 1,2,1000224506,224622,
11,,Surface,4,Image 1,2,1000224503,224623,
11,,Surface,4,Image 1,2,1000224505,224624,
3,,Surface,4,Image 1,2,1000224507,224625,
4,,Surface,4,Image 1,2,1000224509,224626,
3,,Surface,4,Image 1,2,1000224508,224627,
7,,Surface,4,Image 1,2,1000224510,224628,
8,,Surface,4,Image 1,2,1000224512,224629,
6,,Surface,4,Image 1,2,1000224511,224630,
7,,Surface,4,Image 1,2,1000224519,224631,
7,,Surface,4,Image 1,2,1000224515,224632,
6,,Surface,4,Image 1,2,1000224517,224633,
7,,Surface,4,Image 1,2,1000224513,224634,
4,,Surface,4,Image 1,2,1000224514,224635,
6,,Surface,4,Image 1,2,1000224521,224636,
12,,Surface,4,Image 1,2,1000224520,224637,
8,,Surface,4,Image 1,2,1000224516,224638,
9,,Surface,4,Image 1,2,1000224518,224639,
10,,Surface,4,Image 1,2,1000224523,224640,
4,,Surface,4,Image 1,2,1000224525,224641,
10,,Surface,4,Image 1,2,1000224524,224642,
1,,Surface,4,Image 1,2,1000224522,224643,
9,,Surface,4,Image 1,2,1000224526,224644,
6,,Surface,4,Image 1,2,1000224527,224645,
5,,Surface,4,Image 1,2,1000224528,224646,
6,,Surface,4,Image 1,2,1000224531,224647,
7,,Surface,4,Image 1,2,1000224530,224648,
6,,Surface,4,Image 1,2,1000224532,224649,
6,,Surface,4,Image 1,2,1000224534,224650,
9,,Surface,4,Image 1,2,1000224529,224651,
7,,Surface,4,Image 1,2,1000224535,224652,
4,,Surface,4,Image 1,2,1000224533,224653,
10,,Surface,4,Image 1,2,1000224538,224654,
2,,Surface,4,Image 1,2,1000224537,224655,
11,,Surface,4,Image 1,2,1000224539,224656,
6,,Surface,4,Image 1,2,1000224541,224657,
5,,Surface,4,Image 1,2,1000224536,224658,
9,,Surface,4,Image 1,2,1000224542,224659,
3,,Surface,4,Image 1,2,1000224543,224660,
7,,Surface,4,Image 1,2,1000224540,224661,
18,,Surface,4,Image 1,2,1000224548,224662,
6,,Surface,4,Image 1,2,1000224545,224663,
6,,Surface,4,Image 1,2,1000224546,224664,
6,,Surface,4,Image 1,2,1000224552,224665,
7,,Surface,4,Image 1,2,1000224547,224666,
7,,Surface,4,Image 1,2,1000224549,224667,
4,,Surface,4,Image 1,2,1000224544,224668,
7,,Surface,4,Image 1,2,1000224550,224669,
10,,Surface,4,Image 1,2,1000224551,224670,
8,,Surface,4,Image 1,2,1000224553,224671,
5,,Surface,4,Image 1,2,1000224558,224672,
6,,Surface,4,Image 1,2,1000224554,224673,
4,,Surface,4,Image 1,2,1000224674,224674,
6,,Surface,4,Image 1,2,1000224557,224675,
6,,Surface,4,Image 1,2,1000224555,224676,
3,,Surface,4,Image 1,2,1000224563,224677,
5,,Surface,4,Image 1,2,1000224559,224678,
6,,Surface,4,Image 1,2,1000224556,224679,
5,,Surface,4,Image 1,2,1000224561,224680,
8,,Surface,4,Image 1,2,1000224560,224681,
8,,Surface,4,Image 1,2,1000224562,224682,
6,,Surface,4,Image 1,2,1000224565,224683,
5,,Surface,4,Image 1,2,1000224564,224684,
4,,Surface,4,Image 1,2,1000224566,224685,
3,,Surface,4,Image 1,2,1000224567,224686,
6,,Surface,4,Image 1,2,1000224569,224687,
4,,Surface,4,Image 1,2,1000224570,224688,
4,,Surface,4,Image 1,2,1000224571,224689,
10,,Surface,4,Image 1,2,1000224572,224690,
9,,Surface,4,Image 1,2,1000224573,224691,
7,,Surface,4,Image 1,2,1000224568,224692,
9,,Surface,4,Image 1,2,1000224693,224693,
8,,Surface,4,Image 1,2,1000224574,224694,
5,,Surface,4,Image 1,2,1000224575,224695,
12,,Surface,4,Image 1,3,1000224470,224696,
9,,Surface,4,Image 1,3,1000224464,224697,
7,,Surface,4,Image 1,3,1000224465,224698,
6,,Surface,4,Image 1,3,1000224466,224699,
