
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,TrackID,ID,
-947.552,-318.91,-21.0323,um,Surface,Ellipsoid Axis A,1,1000224530,224530,
875.099,-298.194,-381.159,um,Surface,Ellipsoid Axis A,1,1000224531,224531,
999.866,-12.4998,10.539,um,Surface,Ellipsoid Axis A,1,1000224532,224532,
959.035,-243.192,-145.293,um,Surface,Ellipsoid Axis A,1,1000224533,224533,
708.194,-662.422,-244.252,um,Surface,Ellipsoid Axis A,1,1000224534,224534,
706.306,-706.297,47.7105,um,Surface,Ellipsoid Axis A,1,1000224535,224535,
960.241,-80.4968,267.315,um,Surface,Ellipsoid Axis A,1,1000224536,224536,
985.787,-123.984,113.366,um,Surface,Ellipsoid Axis A,1,1000224537,224537,
-986.456,-23.6735,-162.309,um,Surface,Ellipsoid Axis A,1,1000224538,224538,
-980.861,92.9933,-171.065,um,Surface,Ellipsoid Axis A,1,1000224539,224539,
996.177,83.9522,-24.1681,um,Surface,Ellipsoid Axis A,1,1000224540,224540,
836.694,-547.547,-11.6645,um,Surface,Ellipsoid Axis A,1,1000224541,224541,
957.828,281.2,59.0852,um,Surface,Ellipsoid Axis A,1,1000224542,224542,
-649.241,743.95,-158.19,um,Surface,Ellipsoid Axis A,1,1000224543,224543,
958.512,284.579,-16.3969,um,Surface,Ellipsoid Axis A,1,1000224544,224544,
-650.728,-747.663,132.49,um,Surface,Ellipsoid Axis A,1,1000224545,224545,
992.524,-56.9029,107.971,um,Surface,Ellipsoid Axis A,1,1000224546,224546,
100.777,-991.859,-77.8404,um,Surface,Ellipsoid Axis A,1,1000224547,224547,
1000,8.13395e-11,3.81957e-11,um,Surface,Ellipsoid Axis A,1,1000224548,224548,
911.845,-301.152,279.008,um,Surface,Ellipsoid Axis A,1,1000224549,224549,
-257.406,966.206,-13.6744,um,Surface,Ellipsoid Axis A,1,1000224550,224550,
-929.606,-363.353,-61.6985,um,Surface,Ellipsoid Axis A,1,1000224551,224551,
978.914,54.9516,-196.742,um,Surface,Ellipsoid Axis A,1,1000224552,224552,
742.632,669.659,-7.36477,um,Surface,Ellipsoid Axis A,1,1000224553,224553,
996.611,-70.6359,42.1438,um,Surface,Ellipsoid Axis A,1,1000224554,224554,
598.792,799.561,46.3778,um,Surface,Ellipsoid Axis A,1,1000224555,224555,
997.883,-28.8381,58.2938,um,Surface,Ellipsoid Axis A,1,1000224556,224556,
-959.41,-156.507,234.601,um,Surface,Ellipsoid Axis A,1,1000224557,224557,
984.116,-177.193,-10.8734,um,Surface,Ellipsoid Axis A,1,1000224558,224558,
-249.577,884.781,393.54,um,Surface,Ellipsoid Axis A,1,1000224559,224559,
153.209,-835.708,-527.37,um,Surface,Ellipsoid Axis A,1,1000224560,224560,
994.701,-98.8426,28.2681,um,Surface,Ellipsoid Axis A,1,1000224561,224561,
876.182,356.693,-324.152,um,Surface,Ellipsoid Axis A,1,1000224562,224562,
866.219,-499.633,5.56077,um,Surface,Ellipsoid Axis A,1,1000224563,224563,
998.889,-16.8594,-44.0132,um,Surface,Ellipsoid Axis A,1,1000224564,224564,
236.601,857.162,-457.487,um,Surface,Ellipsoid Axis A,1,1000224565,224565,
778.652,-613.842,-129.992,um,Surface,Ellipsoid Axis A,1,1000224566,224566,
-658.63,-621.856,423.676,um,Surface,Ellipsoid Axis A,1,1000224567,224567,
972.451,226.285,-55.992,um,Surface,Ellipsoid Axis A,1,1000224568,224568,
954.017,-288.672,80.7493,um,Surface,Ellipsoid Axis A,1,1000224569,224569,
958.538,-280.118,52.3343,um,Surface,Ellipsoid Axis A,1,1000224570,224570,
-878.525,461.076,-124.913,um,Surface,Ellipsoid Axis A,1,1000224571,224571,
535.136,-844.321,27.4314,um,Surface,Ellipsoid Axis A,1,1000224572,224572,
-6.53078e-14,-1000,-5.99496e-13,um,Surface,Ellipsoid Axis A,1,1000224573,224573,
1000,6.21566e-12,-5.16951e-12,um,Surface,Ellipsoid Axis A,1,1000224574,224574,
377.999,896.745,-230.141,um,Surface,Ellipsoid Axis A,1,1000224575,224575,
751.621,-659.332,-18.6352,um,Surface,Ellipsoid Axis A,2,1000224466,224576,
559.274,809.828,177.177,um,Surface,Ellipsoid Axis A,2,1000224467,224577,
629.273,-672.836,-388.982,um,Surface,Ellipsoid Axis A,2,1000224458,224578,
288.507,933.611,-212.446,um,Surface,Ellipsoid Axis A,2,1000224459,224579,
585.074,-749.975,-308.587,um,Surface,Ellipsoid Axis A,2,1000224461,224580,
605.48,795.547,-22.3417,um,Surface,Ellipsoid Axis A,2,1000224460,224581,
-957.576,147.723,247.439,um,Surface,Ellipsoid Axis A,2,1000224462,224582,
402.392,914.855,-33.4778,um,Surface,Ellipsoid Axis A,2,1000224463,224583,
930.536,-282.469,-233.052,um,Surface,Ellipsoid Axis A,2,1000224468,224584,
187.212,801.848,567.443,um,Surface,Ellipsoid Axis A,2,1000224470,224585,
957.192,234.828,-169.234,um,Surface,Ellipsoid Axis A,2,1000224464,224586,
741.619,-661.606,-110.806,um,Surface,Ellipsoid Axis A,2,1000224465,224587,
785.561,-534.356,312.021,um,Surface,Ellipsoid Axis A,2,1000224471,224588,
-900.153,-223.334,373.961,um,Surface,Ellipsoid Axis A,2,1000224473,224589,
-939.854,-329.921,-88.4749,um,Surface,Ellipsoid Axis A,2,1000224469,224590,
684.122,-654.526,321.828,um,Surface,Ellipsoid Axis A,2,1000224474,224591,
988.358,127.077,83.6693,um,Surface,Ellipsoid Axis A,2,1000224475,224592,
735.167,-631.421,-246.652,um,Surface,Ellipsoid Axis A,2,1000224472,224593,
-744.319,-234.999,625.111,um,Surface,Ellipsoid Axis A,2,1000224477,224594,
985.443,-169.994,-1.95602,um,Surface,Ellipsoid Axis A,2,1000224478,224595,
-628.689,-312.668,712.032,um,Surface,Ellipsoid Axis A,2,1000224479,224596,
