
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.227993,,Surface,1,75172,
0.366373,,Surface,1,75173,
0.412582,,Surface,1,75174,
0.229153,,Surface,1,75175,
0.273286,,Surface,1,75176,
0.271397,,Surface,1,75177,
0.513479,,Surface,1,75178,
0.407145,,Surface,1,75179,
0.40154,,Surface,1,75180,
0.259764,,Surface,1,75181,
0.275891,,Surface,1,75182,
0.256933,,Surface,1,75183,
0.3857,,Surface,1,75184,
0.517181,,Surface,1,75185,
0.244864,,Surface,1,75186,
0.344388,,Surface,1,75187,
0.317688,,Surface,1,75188,
0.292413,,Surface,1,75189,
0.428291,,Surface,1,75190,
0.732076,,Surface,1,75191,
0.328143,,Surface,1,75192,
0.576382,,Surface,1,75193,
0.288197,,Surface,1,75194,
0.308315,,Surface,1,75195,
0.265347,,Surface,1,75196,
0.415097,,Surface,1,75197,
0.32717,,Surface,1,75198,
0.402879,,Surface,1,75199,
0.49097,,Surface,1,75200,
0.417959,,Surface,1,75201,
0.420299,,Surface,1,75202,
0.258012,,Surface,1,75203,
0.42197,,Surface,1,75204,
0.215402,,Surface,1,75205,
0.341439,,Surface,2,75206,
0.303114,,Surface,2,75207,
0.483284,,Surface,2,75208,
0.263414,,Surface,2,75209,
0.229547,,Surface,2,75210,
0.373814,,Surface,2,75211,
0.398252,,Surface,2,75212,
0.258779,,Surface,2,75213,
0.387092,,Surface,2,75214,
0.224124,,Surface,2,75215,
0.294934,,Surface,2,75216,
0.253661,,Surface,2,75217,
0.537647,,Surface,2,75218,
0.406945,,Surface,2,75219,
0.242352,,Surface,2,75220,
0.314755,,Surface,2,75221,
0.344494,,Surface,2,75222,
0.334386,,Surface,2,75223,
0.470488,,Surface,2,75224,
0.724097,,Surface,2,75225,
0.327185,,Surface,2,75226,
0.360224,,Surface,2,75227,
0.55174,,Surface,2,75228,
0.36692,,Surface,2,75229,
0.365206,,Surface,2,75230,
0.250933,,Surface,2,75231,
0.307676,,Surface,2,75232,
0.419979,,Surface,2,75233,
0.480027,,Surface,2,75234,
0.427771,,Surface,2,75235,
0.406608,,Surface,2,75236,
0.260862,,Surface,2,75237,
0.406152,,Surface,2,75238,
0.218257,,Surface,2,75239,
0.526257,,Surface,3,75240,
0.377393,,Surface,3,75241,
0.50811,,Surface,3,75242,
0.240233,,Surface,3,75243,
0.212636,,Surface,3,75244,
0.376833,,Surface,3,75245,
0.434927,,Surface,3,75246,
0.28606,,Surface,3,75247,
0.405,,Surface,3,75248,
0.206041,,Surface,3,75249,
0.220214,,Surface,3,75250,
0.329749,,Surface,3,75251,
0.446279,,Surface,3,75252,
0.53188,,Surface,3,75253,
0.242056,,Surface,3,75254,
0.325716,,Surface,3,75255,
0.361525,,Surface,3,75256,
0.308954,,Surface,3,75257,
0.473926,,Surface,3,75258,
0.352008,,Surface,3,75259,
0.289117,,Surface,3,75260,
0.727691,,Surface,3,75261,
0.536174,,Surface,3,75262,
0.360566,,Surface,3,75263,
0.288218,,Surface,3,75264,
0.255483,,Surface,3,75265,
0.304237,,Surface,3,75266,
0.36412,,Surface,3,75267,
0.494867,,Surface,3,75268,
0.393621,,Surface,3,75269,
0.409481,,Surface,3,75270,
0.42456,,Surface,3,75271,
0.25654,,Surface,3,75272,
0.198677,,Surface,3,75273,
0.238876,,Surface,4,75274,
0.387058,,Surface,4,75275,
0.417213,,Surface,4,75276,
0.307675,,Surface,4,75277,
0.325016,,Surface,4,75278,
0.184815,,Surface,4,75279,
0.426298,,Surface,4,75280,
0.241838,,Surface,4,75281,
0.477025,,Surface,4,75282,
0.271697,,Surface,4,75283,
0.397671,,Surface,4,75284,
0.236028,,Surface,4,75285,
0.310797,,Surface,4,75286,
0.432195,,Surface,4,75287,
0.227967,,Surface,4,75288,
0.498878,,Surface,4,75289,
0.261112,,Surface,4,75290,
0.341835,,Surface,4,75291,
0.353067,,Surface,4,75292,
0.345486,,Surface,4,75293,
0.499389,,Surface,4,75294,
0.687631,,Surface,4,75295,
0.232782,,Surface,4,75296,
0.549838,,Surface,4,75297,
0.327007,,Surface,4,75298,
0.327975,,Surface,4,75299,
0.304788,,Surface,4,75300,
0.29703,,Surface,4,75301,
0.27458,,Surface,4,75302,
0.387847,,Surface,4,75303,
0.484522,,Surface,4,75304,
0.389735,,Surface,4,75305,
0.395672,,Surface,4,75306,
0.395774,,Surface,4,75307,
0.252101,,Surface,4,75308,
0.193436,,Surface,4,75309,
0.461212,,Surface,5,75310,
0.294955,,Surface,5,75311,
0.260276,,Surface,5,75312,
0.328838,,Surface,5,75313,
0.347345,,Surface,5,75314,
0.285012,,Surface,5,75315,
0.369189,,Surface,5,75316,
0.454761,,Surface,5,75317,
0.35273,,Surface,5,75318,
0.37509,,Surface,5,75319,
0.249824,,Surface,5,75320,
0.251226,,Surface,5,75321,
0.344594,,Surface,5,75322,
0.452077,,Surface,5,75323,
0.51914,,Surface,5,75324,
0.232745,,Surface,5,75325,
0.347346,,Surface,5,75326,
0.340453,,Surface,5,75327,
0.321149,,Surface,5,75328,
0.453512,,Surface,5,75329,
0.6839,,Surface,5,75330,
0.218604,,Surface,5,75331,
0.343747,,Surface,5,75332,
0.587658,,Surface,5,75333,
0.347563,,Surface,5,75334,
0.352124,,Surface,5,75335,
0.312443,,Surface,5,75336,
0.273098,,Surface,5,75337,
0.410936,,Surface,5,75338,
0.481529,,Surface,5,75339,
0.399824,,Surface,5,75340,
0.404241,,Surface,5,75341,
0.28413,,Surface,5,75342,
0.418838,,Surface,5,75343,
0.182713,,Surface,5,75344,
0.264267,,Surface,6,75345,
0.361868,,Surface,6,75346,
0.220815,,Surface,6,75347,
0.61419,,Surface,6,75348,
0.280102,,Surface,6,75349,
0.368958,,Surface,6,75350,
0.465876,,Surface,6,75351,
0.29151,,Surface,6,75352,
0.350836,,Surface,6,75353,
0.682569,,Surface,6,75354,
0.280249,,Surface,6,75355,
0.364853,,Surface,6,75356,
0.318925,,Surface,6,75357,
0.237543,,Surface,6,75358,
0.702119,,Surface,6,75359,
0.249764,,Surface,6,75360,
0.321485,,Surface,6,75361,
0.355335,,Surface,6,75362,
0.332388,,Surface,6,75363,
0.439305,,Surface,6,75364,
0.198293,,Surface,6,75365,
0.682812,,Surface,6,75366,
0.294669,,Surface,6,75367,
0.579341,,Surface,6,75368,
0.309828,,Surface,6,75369,
0.305118,,Surface,6,75370,
0.293504,,Surface,6,75371,
0.2922,,Surface,6,75372,
0.376961,,Surface,6,75373,
0.394107,,Surface,6,75374,
0.463911,,Surface,6,75375,
0.327744,,Surface,6,75376,
0.384715,,Surface,6,75377,
0.252517,,Surface,6,75378,
0.187615,,Surface,6,75379,
0.247331,,Surface,7,75380,
0.350073,,Surface,7,75381,
0.514626,,Surface,7,75382,
0.283302,,Surface,7,75383,
0.228205,,Surface,7,75384,
0.497988,,Surface,7,75385,
0.289299,,Surface,7,75386,
0.422469,,Surface,7,75387,
0.35383,,Surface,7,75388,
0.290777,,Surface,7,75389,
0.318505,,Surface,7,75390,
0.422118,,Surface,7,75391,
0.247905,,Surface,7,75392,
0.512075,,Surface,7,75393,
0.217344,,Surface,7,75394,
0.311998,,Surface,7,75395,
0.307148,,Surface,7,75396,
0.332492,,Surface,7,75397,
0.41722,,Surface,7,75398,
0.319601,,Surface,7,75399,
0.3074,,Surface,7,75400,
0.665883,,Surface,7,75401,
0.563482,,Surface,7,75402,
0.332264,,Surface,7,75403,
0.288228,,Surface,7,75404,
0.27514,,Surface,7,75405,
0.30393,,Surface,7,75406,
0.370073,,Surface,7,75407,
0.37976,,Surface,7,75408,
0.479352,,Surface,7,75409,
0.318146,,Surface,7,75410,
0.33905,,Surface,7,75411,
0.440757,,Surface,7,75412,
0.186361,,Surface,7,75413,
0.233932,,Surface,8,75414,
0.35074,,Surface,8,75415,
0.497283,,Surface,8,75416,
0.317898,,Surface,8,75417,
0.514254,,Surface,8,75418,
0.28605,,Surface,8,75419,
0.249209,,Surface,8,75420,
0.551213,,Surface,8,75421,
0.348221,,Surface,8,75422,
0.304404,,Surface,8,75423,
0.400854,,Surface,8,75424,
0.270335,,Surface,8,75425,
0.376978,,Surface,8,75426,
0.511442,,Surface,8,75427,
0.223799,,Surface,8,75428,
0.360379,,Surface,8,75429,
0.335721,,Surface,8,75430,
0.33968,,Surface,8,75431,
0.403713,,Surface,8,75432,
0.710672,,Surface,8,75433,
0.246365,,Surface,8,75434,
0.29837,,Surface,8,75435,
0.55979,,Surface,8,75436,
0.335669,,Surface,8,75437,
0.292233,,Surface,8,75438,
0.28894,,Surface,8,75439,
0.319184,,Surface,8,75440,
0.372141,,Surface,8,75441,
0.483573,,Surface,8,75442,
0.478805,,Surface,8,75443,
0.363444,,Surface,8,75444,
0.411327,,Surface,8,75445,
0.283817,,Surface,8,75446,
0.185332,,Surface,8,75447,
0.221247,,Surface,9,75448,
0.357772,,Surface,9,75449,
0.449587,,Surface,9,75450,
0.291926,,Surface,9,75451,
0.461102,,Surface,9,75452,
0.250575,,Surface,9,75453,
0.474701,,Surface,9,75454,
0.300947,,Surface,9,75455,
0.35461,,Surface,9,75456,
0.267302,,Surface,9,75457,
0.27194,,Surface,9,75458,
0.307916,,Surface,9,75459,
0.253134,,Surface,9,75460,
0.493825,,Surface,9,75461,
0.215943,,Surface,9,75462,
0.358575,,Surface,9,75463,
0.325832,,Surface,9,75464,
0.312259,,Surface,9,75465,
0.396508,,Surface,9,75466,
