
Area
 ==================== 
Area,Unit,Category,Time,ID,
11511.7,um^2,Surface,5,75339,
6081.39,um^2,Surface,5,75340,
8691.95,um^2,Surface,5,75341,
7477.34,um^2,Surface,5,75342,
12291.9,um^2,Surface,5,75343,
21649.3,um^2,Surface,5,75344,
1891.39,um^2,Surface,6,75345,
1555.35,um^2,Surface,6,75346,
6999.84,um^2,Surface,6,75347,
1282.44,um^2,Surface,6,75348,
9845.1,um^2,Surface,6,75349,
7650.18,um^2,Surface,6,75350,
4561.34,um^2,Surface,6,75351,
1651.01,um^2,Surface,6,75352,
10283.8,um^2,Surface,6,75353,
1232.03,um^2,Surface,6,75354,
5834.67,um^2,Surface,6,75355,
9085.84,um^2,Surface,6,75356,
1117.63,um^2,Surface,6,75357,
6872.01,um^2,Surface,6,75358,
7301.2,um^2,Surface,6,75359,
7279.77,um^2,Surface,6,75360,
11612.1,um^2,Surface,6,75361,
5853.47,um^2,Surface,6,75362,
5152.78,um^2,Surface,6,75363,
8602.83,um^2,Surface,6,75364,
2153.27,um^2,Surface,6,75365,
10119.5,um^2,Surface,6,75366,
3073.19,um^2,Surface,6,75367,
5133,um^2,Surface,6,75368,
1314.8,um^2,Surface,6,75369,
2231.62,um^2,Surface,6,75370,
4511.72,um^2,Surface,6,75371,
3813.35,um^2,Surface,6,75372,
18696.3,um^2,Surface,6,75373,
5694.51,um^2,Surface,6,75374,
11330.9,um^2,Surface,6,75375,
8358.19,um^2,Surface,6,75376,
11838.8,um^2,Surface,6,75377,
7391.34,um^2,Surface,6,75378,
21645.1,um^2,Surface,6,75379,
9789.21,um^2,Surface,7,75380,
7721.24,um^2,Surface,7,75381,
4499.07,um^2,Surface,7,75382,
1580.03,um^2,Surface,7,75383,
6831.37,um^2,Surface,7,75384,
1774.94,um^2,Surface,7,75385,
1645.09,um^2,Surface,7,75386,
3014.89,um^2,Surface,7,75387,
10340.4,um^2,Surface,7,75388,
5574.67,um^2,Surface,7,75389,
1097.75,um^2,Surface,7,75390,
8522.57,um^2,Surface,7,75391,
7029.99,um^2,Surface,7,75392,
8509.42,um^2,Surface,7,75393,
7629.46,um^2,Surface,7,75394,
11775.3,um^2,Surface,7,75395,
5785.98,um^2,Surface,7,75396,
4948.18,um^2,Surface,7,75397,
9017.49,um^2,Surface,7,75398,
2982.6,um^2,Surface,7,75399,
1983.25,um^2,Surface,7,75400,
10288,um^2,Surface,7,75401,
5186.91,um^2,Surface,7,75402,
1209.89,um^2,Surface,7,75403,
4595.85,um^2,Surface,7,75404,
2299.34,um^2,Surface,7,75405,
3822.68,um^2,Surface,7,75406,
19959.1,um^2,Surface,7,75407,
5832.05,um^2,Surface,7,75408,
11363.5,um^2,Surface,7,75409,
9012.87,um^2,Surface,7,75410,
8154.02,um^2,Surface,7,75411,
11921.5,um^2,Surface,7,75412,
21256.8,um^2,Surface,7,75413,
9507.07,um^2,Surface,8,75414,
7307.61,um^2,Surface,8,75415,
4393.08,um^2,Surface,8,75416,
1550.78,um^2,Surface,8,75417,
1316.47,um^2,Surface,8,75418,
1744.15,um^2,Surface,8,75419,
6948.83,um^2,Surface,8,75420,
1692.94,um^2,Surface,8,75421,
10166.3,um^2,Surface,8,75422,
5697.46,um^2,Surface,8,75423,
8802.15,um^2,Surface,8,75424,
6864.74,um^2,Surface,8,75425,
1094.96,um^2,Surface,8,75426,
8374.56,um^2,Surface,8,75427,
7499.33,um^2,Surface,8,75428,
11637.6,um^2,Surface,8,75429,
6113.73,um^2,Surface,8,75430,
5064.16,um^2,Surface,8,75431,
9376.61,um^2,Surface,8,75432,
10293.3,um^2,Surface,8,75433,
2066.33,um^2,Surface,8,75434,
2962.68,um^2,Surface,8,75435,
5056.29,um^2,Surface,8,75436,
1292.69,um^2,Surface,8,75437,
2300.9,um^2,Surface,8,75438,
4554.56,um^2,Surface,8,75439,
3791.5,um^2,Surface,8,75440,
19746,um^2,Surface,8,75441,
11418.7,um^2,Surface,8,75442,
5653.88,um^2,Surface,8,75443,
8545.42,um^2,Surface,8,75444,
11661.2,um^2,Surface,8,75445,
7732.01,um^2,Surface,8,75446,
21714.1,um^2,Surface,8,75447,
9696.77,um^2,Surface,9,75448,
7315.78,um^2,Surface,9,75449,
4332.96,um^2,Surface,9,75450,
1461.92,um^2,Surface,9,75451,
2316.55,um^2,Surface,9,75452,
6927.7,um^2,Surface,9,75453,
1624.71,um^2,Surface,9,75454,
1732.21,um^2,Surface,9,75455,
10290.6,um^2,Surface,9,75456,
5623.55,um^2,Surface,9,75457,
1184.92,um^2,Surface,9,75458,
9500.83,um^2,Surface,9,75459,
7087.19,um^2,Surface,9,75460,
8208.26,um^2,Surface,9,75461,
7331.5,um^2,Surface,9,75462,
11284.6,um^2,Surface,9,75463,
5930.95,um^2,Surface,9,75464,
4931.08,um^2,Surface,9,75465,
9168.01,um^2,Surface,9,75466,
2078.77,um^2,Surface,9,75467,
3042.56,um^2,Surface,9,75468,
10461.1,um^2,Surface,9,75469,
5205,um^2,Surface,9,75470,
1199.06,um^2,Surface,9,75471,
2477.66,um^2,Surface,9,75472,
4488.27,um^2,Surface,9,75473,
3810.86,um^2,Surface,9,75474,
19632.1,um^2,Surface,9,75475,
11284.7,um^2,Surface,9,75476,
5850.33,um^2,Surface,9,75477,
8818.03,um^2,Surface,9,75478,
11624.9,um^2,Surface,9,75479,
7423.57,um^2,Surface,9,75480,
21476,um^2,Surface,9,75481,
1785.41,um^2,Surface,10,75482,
2097.49,um^2,Surface,10,75483,
7167.57,um^2,Surface,10,75484,
9760.53,um^2,Surface,10,75485,
7044.3,um^2,Surface,10,75486,
4187.8,um^2,Surface,10,75487,
1521.67,um^2,Surface,10,75488,
1686.01,um^2,Surface,10,75489,
10509.3,um^2,Surface,10,75490,
5706,um^2,Surface,10,75491,
7133.33,um^2,Surface,10,75492,
