
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.506883,,Surface,1,75172,
0.568702,,Surface,1,75173,
0.699034,,Surface,1,75174,
0.643311,,Surface,1,75175,
0.514032,,Surface,1,75176,
0.657295,,Surface,1,75177,
0.554596,,Surface,1,75178,
0.70103,,Surface,1,75179,
0.560471,,Surface,1,75180,
0.800592,,Surface,1,75181,
0.814361,,Surface,1,75182,
0.632496,,Surface,1,75183,
0.610463,,Surface,1,75184,
0.579782,,Surface,1,75185,
0.531154,,Surface,1,75186,
0.474126,,Surface,1,75187,
0.624624,,Surface,1,75188,
0.639979,,Surface,1,75189,
0.601249,,Surface,1,75190,
0.522956,,Surface,1,75191,
0.786177,,Surface,1,75192,
0.718584,,Surface,1,75193,
0.758347,,Surface,1,75194,
0.826143,,Surface,1,75195,
0.582244,,Surface,1,75196,
0.623224,,Surface,1,75197,
0.786973,,Surface,1,75198,
0.391207,,Surface,1,75199,
0.587659,,Surface,1,75200,
0.671018,,Surface,1,75201,
0.64503,,Surface,1,75202,
0.574333,,Surface,1,75203,
0.44949,,Surface,1,75204,
0.395217,,Surface,1,75205,
0.699252,,Surface,2,75206,
0.655867,,Surface,2,75207,
0.749542,,Surface,2,75208,
0.522262,,Surface,2,75209,
0.509823,,Surface,2,75210,
0.553803,,Surface,2,75211,
0.633762,,Surface,2,75212,
0.551454,,Surface,2,75213,
0.570126,,Surface,2,75214,
0.764342,,Surface,2,75215,
0.79678,,Surface,2,75216,
0.65298,,Surface,2,75217,
0.576176,,Surface,2,75218,
0.619883,,Surface,2,75219,
0.515897,,Surface,2,75220,
0.458386,,Surface,2,75221,
0.606976,,Surface,2,75222,
0.62447,,Surface,2,75223,
0.586698,,Surface,2,75224,
0.510095,,Surface,2,75225,
0.765766,,Surface,2,75226,
0.848944,,Surface,2,75227,
0.753313,,Surface,2,75228,
0.642638,,Surface,2,75229,
0.773587,,Surface,2,75230,
0.566772,,Surface,2,75231,
0.807557,,Surface,2,75232,
0.395341,,Surface,2,75233,
0.574559,,Surface,2,75234,
0.668938,,Surface,2,75235,
0.640387,,Surface,2,75236,
0.534139,,Surface,2,75237,
0.455646,,Surface,2,75238,
0.408297,,Surface,2,75239,
0.684026,,Surface,3,75240,
0.630807,,Surface,3,75241,
0.803627,,Surface,3,75242,
0.537263,,Surface,3,75243,
0.512478,,Surface,3,75244,
0.573,,Surface,3,75245,
0.621578,,Surface,3,75246,
0.589747,,Surface,3,75247,
0.577264,,Surface,3,75248,
0.782078,,Surface,3,75249,
0.635023,,Surface,3,75250,
0.802018,,Surface,3,75251,
0.627044,,Surface,3,75252,
0.5864,,Surface,3,75253,
0.527336,,Surface,3,75254,
0.452938,,Surface,3,75255,
0.63355,,Surface,3,75256,
0.634743,,Surface,3,75257,
0.602512,,Surface,3,75258,
