
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
29,,Surface,3,Image 1,1,75172,
30,,Surface,3,Image 1,1,75173,
38,,Surface,3,Image 1,1,75174,
41,,Surface,3,Image 1,1,75175,
32,,Surface,3,Image 1,1,75176,
23,,Surface,3,Image 1,1,75177,
31,,Surface,3,Image 1,1,75178,
36,,Surface,3,Image 1,1,75179,
0,,Surface,3,Image 1,1,75180,
7,,Surface,3,Image 1,1,75181,
31,,Surface,3,Image 1,1,75182,
35,,Surface,3,Image 1,1,75183,
24,,Surface,3,Image 1,1,75184,
0,,Surface,3,Image 1,1,75185,
24,,Surface,3,Image 1,1,75186,
32,,Surface,3,Image 1,1,75187,
32,,Surface,3,Image 1,1,75188,
26,,Surface,3,Image 1,1,75189,
31,,Surface,3,Image 1,1,75190,
23,,Surface,3,Image 1,1,75191,
0,,Surface,3,Image 1,1,75192,
0,,Surface,3,Image 1,1,75193,
0,,Surface,3,Image 1,1,75194,
33,,Surface,3,Image 1,1,75195,
27,,Surface,3,Image 1,1,75196,
41,,Surface,3,Image 1,1,75197,
28,,Surface,3,Image 1,1,75198,
28,,Surface,3,Image 1,1,75199,
23,,Surface,3,Image 1,1,75200,
30,,Surface,3,Image 1,1,75201,
28,,Surface,3,Image 1,1,75202,
24,,Surface,3,Image 1,1,75203,
0,,Surface,3,Image 1,1,75204,
0,,Surface,3,Image 1,1,75205,
36,,Surface,3,Image 1,2,75206,
38,,Surface,3,Image 1,2,75207,
33,,Surface,3,Image 1,2,75208,
26,,Surface,3,Image 1,2,75209,
25,,Surface,3,Image 1,2,75210,
34,,Surface,3,Image 1,2,75211,
30,,Surface,3,Image 1,2,75212,
40,,Surface,3,Image 1,2,75213,
0,,Surface,3,Image 1,2,75214,
12,,Surface,3,Image 1,2,75215,
30,,Surface,3,Image 1,2,75216,
30,,Surface,3,Image 1,2,75217,
0,,Surface,3,Image 1,2,75218,
29,,Surface,3,Image 1,2,75219,
27,,Surface,3,Image 1,2,75220,
33,,Surface,3,Image 1,2,75221,
26,,Surface,3,Image 1,2,75222,
28,,Surface,3,Image 1,2,75223,
32,,Surface,3,Image 1,2,75224,
26,,Surface,3,Image 1,2,75225,
0,,Surface,3,Image 1,2,75226,
28,,Surface,3,Image 1,2,75227,
23,,Surface,3,Image 1,2,75228,
39,,Surface,3,Image 1,2,75229,
41,,Surface,3,Image 1,2,75230,
28,,Surface,3,Image 1,2,75231,
30,,Surface,3,Image 1,2,75232,
20,,Surface,3,Image 1,2,75233,
27,,Surface,3,Image 1,2,75234,
35,,Surface,3,Image 1,2,75235,
15,,Surface,3,Image 1,2,75236,
29,,Surface,3,Image 1,2,75237,
0,,Surface,3,Image 1,2,75238,
0,,Surface,3,Image 1,2,75239,
33,,Surface,3,Image 1,3,75240,
32,,Surface,3,Image 1,3,75241,
31,,Surface,3,Image 1,3,75242,
29,,Surface,3,Image 1,3,75243,
21,,Surface,3,Image 1,3,75244,
24,,Surface,3,Image 1,3,75245,
38,,Surface,3,Image 1,3,75246,
42,,Surface,3,Image 1,3,75247,
0,,Surface,3,Image 1,3,75248,
8,,Surface,3,Image 1,3,75249,
35,,Surface,3,Image 1,3,75250,
29,,Surface,3,Image 1,3,75251,
32,,Surface,3,Image 1,3,75252,
0,,Surface,3,Image 1,3,75253,
23,,Surface,3,Image 1,3,75254,
36,,Surface,3,Image 1,3,75255,
25,,Surface,3,Image 1,3,75256,
29,,Surface,3,Image 1,3,75257,
35,,Surface,3,Image 1,3,75258,
