
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
23516.3,um^3,Surface,5,75340,
39032.4,um^3,Surface,5,75341,
25101.6,um^3,Surface,5,75342,
41029.4,um^3,Surface,5,75343,
82179.2,um^3,Surface,5,75344,
3852.4,um^3,Surface,6,75345,
3586.87,um^3,Surface,6,75346,
19984.6,um^3,Surface,6,75347,
2945.04,um^3,Surface,6,75348,
36584.6,um^3,Surface,6,75349,
26813.3,um^3,Surface,6,75350,
13812.5,um^3,Surface,6,75351,
2650.88,um^3,Surface,6,75352,
38060.9,um^3,Surface,6,75353,
2724.08,um^3,Surface,6,75354,
29072.8,um^3,Surface,6,75355,
38424.4,um^3,Surface,6,75356,
2537.03,um^3,Surface,6,75357,
26582.3,um^3,Surface,6,75358,
31886.8,um^3,Surface,6,75359,
24205.9,um^3,Surface,6,75360,
39841.3,um^3,Surface,6,75361,
22353.3,um^3,Surface,6,75362,
17502.2,um^3,Surface,6,75363,
41714.5,um^3,Surface,6,75364,
6210.73,um^3,Surface,6,75365,
34189.7,um^3,Surface,6,75366,
10421,um^3,Surface,6,75367,
21268.3,um^3,Surface,6,75368,
2733.33,um^3,Surface,6,75369,
7058.18,um^3,Surface,6,75370,
11658.5,um^3,Surface,6,75371,
16350.6,um^3,Surface,6,75372,
58161.5,um^3,Surface,6,75373,
23405.1,um^3,Surface,6,75374,
48377.7,um^3,Surface,6,75375,
36706.4,um^3,Surface,6,75376,
38797.4,um^3,Surface,6,75377,
24235.4,um^3,Surface,6,75378,
83050.6,um^3,Surface,6,75379,
37163.4,um^3,Surface,7,75380,
26348.1,um^3,Surface,7,75381,
12844,um^3,Surface,7,75382,
2467.55,um^3,Surface,7,75383,
20143,um^3,Surface,7,75384,
4197.68,um^3,Surface,7,75385,
3674.83,um^3,Surface,7,75386,
6576.95,um^3,Surface,7,75387,
39602.2,um^3,Surface,7,75388,
29362.2,um^3,Surface,7,75389,
2495.35,um^3,Surface,7,75390,
37493.8,um^3,Surface,7,75391,
26945.2,um^3,Surface,7,75392,
34513.4,um^3,Surface,7,75393,
24538.1,um^3,Surface,7,75394,
41500.3,um^3,Surface,7,75395,
22245.3,um^3,Surface,7,75396,
16732,um^3,Surface,7,75397,
41999.9,um^3,Surface,7,75398,
10448.9,um^3,Surface,7,75399,
5522.07,um^3,Surface,7,75400,
34873,um^3,Surface,7,75401,
21030.5,um^3,Surface,7,75402,
2614.22,um^3,Surface,7,75403,
11984.9,um^3,Surface,7,75404,
7062.42,um^3,Surface,7,75405,
16518.5,um^3,Surface,7,75406,
59329.1,um^3,Surface,7,75407,
23799.5,um^3,Surface,7,75408,
49450.4,um^3,Surface,7,75409,
36381,um^3,Surface,7,75410,
24677,um^3,Surface,7,75411,
40051.3,um^3,Surface,7,75412,
82101.7,um^3,Surface,7,75413,
37591.9,um^3,Surface,8,75414,
26395.8,um^3,Surface,8,75415,
12764.2,um^3,Surface,8,75416,
2326.15,um^3,Surface,8,75417,
3187.63,um^3,Surface,8,75418,
3723.56,um^3,Surface,8,75419,
20271.6,um^3,Surface,8,75420,
4390.36,um^3,Surface,8,75421,
39322.5,um^3,Surface,8,75422,
28990.4,um^3,Surface,8,75423,
38296.7,um^3,Surface,8,75424,
27301.7,um^3,Surface,8,75425,
2458.69,um^3,Surface,8,75426,
34111.1,um^3,Surface,8,75427,
24382.9,um^3,Surface,8,75428,
39571.3,um^3,Surface,8,75429,
22945.4,um^3,Surface,8,75430,
16853.2,um^3,Surface,8,75431,
40477.1,um^3,Surface,8,75432,
33538.6,um^3,Surface,8,75433,
5799.04,um^3,Surface,8,75434,
10233.3,um^3,Surface,8,75435,
20567.8,um^3,Surface,8,75436,
2605.77,um^3,Surface,8,75437,
7247.89,um^3,Surface,8,75438,
12188.8,um^3,Surface,8,75439,
16384.4,um^3,Surface,8,75440,
59315.5,um^3,Surface,8,75441,
49121.2,um^3,Surface,8,75442,
23914.1,um^3,Surface,8,75443,
37017.1,um^3,Surface,8,75444,
39064.1,um^3,Surface,8,75445,
24002.2,um^3,Surface,8,75446,
82605.5,um^3,Surface,8,75447,
38025,um^3,Surface,9,75448,
26503.6,um^3,Surface,9,75449,
12871.7,um^3,Surface,9,75450,
2137.26,um^3,Surface,9,75451,
4433.13,um^3,Surface,9,75452,
20093.8,um^3,Surface,9,75453,
4232.39,um^3,Surface,9,75454,
3532.97,um^3,Surface,9,75455,
38255.1,um^3,Surface,9,75456,
29463.5,um^3,Surface,9,75457,
2778.16,um^3,Surface,9,75458,
39346.4,um^3,Surface,9,75459,
27134.7,um^3,Surface,9,75460,
33329.9,um^3,Surface,9,75461,
24365.2,um^3,Surface,9,75462,
