
Time Index
 ==================== 
Time Index,Unit,Category,Time,ID,
8,,Surface,8,75415,
8,,Surface,8,75416,
8,,Surface,8,75417,
8,,Surface,8,75418,
8,,Surface,8,75419,
8,,Surface,8,75420,
8,,Surface,8,75421,
8,,Surface,8,75422,
8,,Surface,8,75423,
8,,Surface,8,75424,
8,,Surface,8,75425,
8,,Surface,8,75426,
8,,Surface,8,75427,
8,,Surface,8,75428,
8,,Surface,8,75429,
8,,Surface,8,75430,
8,,Surface,8,75431,
8,,Surface,8,75432,
8,,Surface,8,75433,
8,,Surface,8,75434,
8,,Surface,8,75435,
8,,Surface,8,75436,
8,,Surface,8,75437,
8,,Surface,8,75438,
8,,Surface,8,75439,
8,,Surface,8,75440,
8,,Surface,8,75441,
8,,Surface,8,75442,
8,,Surface,8,75443,
8,,Surface,8,75444,
8,,Surface,8,75445,
8,,Surface,8,75446,
8,,Surface,8,75447,
9,,Surface,9,75448,
9,,Surface,9,75449,
9,,Surface,9,75450,
9,,Surface,9,75451,
9,,Surface,9,75452,
9,,Surface,9,75453,
9,,Surface,9,75454,
9,,Surface,9,75455,
9,,Surface,9,75456,
9,,Surface,9,75457,
9,,Surface,9,75458,
9,,Surface,9,75459,
9,,Surface,9,75460,
9,,Surface,9,75461,
9,,Surface,9,75462,
9,,Surface,9,75463,
9,,Surface,9,75464,
9,,Surface,9,75465,
9,,Surface,9,75466,
9,,Surface,9,75467,
9,,Surface,9,75468,
9,,Surface,9,75469,
9,,Surface,9,75470,
9,,Surface,9,75471,
9,,Surface,9,75472,
9,,Surface,9,75473,
9,,Surface,9,75474,
9,,Surface,9,75475,
9,,Surface,9,75476,
9,,Surface,9,75477,
9,,Surface,9,75478,
9,,Surface,9,75479,
9,,Surface,9,75480,
9,,Surface,9,75481,
10,,Surface,10,75482,
10,,Surface,10,75483,
10,,Surface,10,75484,
10,,Surface,10,75485,
10,,Surface,10,75486,
10,,Surface,10,75487,
10,,Surface,10,75488,
10,,Surface,10,75489,
10,,Surface,10,75490,
10,,Surface,10,75491,
10,,Surface,10,75492,
10,,Surface,10,75493,
10,,Surface,10,75494,
10,,Surface,10,75495,
10,,Surface,10,75496,
10,,Surface,10,75497,
10,,Surface,10,75498,
10,,Surface,10,75499,
10,,Surface,10,75500,
10,,Surface,10,75501,
10,,Surface,10,75502,
10,,Surface,10,75503,
10,,Surface,10,75504,
10,,Surface,10,75505,
10,,Surface,10,75506,
10,,Surface,10,75507,
10,,Surface,10,75508,
10,,Surface,10,75509,
10,,Surface,10,75510,
10,,Surface,10,75511,
10,,Surface,10,75512,
10,,Surface,10,75513,
10,,Surface,10,75514,
10,,Surface,10,75515,
11,,Surface,11,75516,
11,,Surface,11,75517,
11,,Surface,11,75518,
11,,Surface,11,75519,
11,,Surface,11,75520,
11,,Surface,11,75521,
11,,Surface,11,75522,
11,,Surface,11,75523,
11,,Surface,11,75524,
11,,Surface,11,75525,
11,,Surface,11,75526,
11,,Surface,11,75527,
11,,Surface,11,75528,
11,,Surface,11,75529,
11,,Surface,11,75530,
11,,Surface,11,75531,
11,,Surface,11,75532,
11,,Surface,11,75533,
11,,Surface,11,75534,
11,,Surface,11,75535,
11,,Surface,11,75536,
11,,Surface,11,75537,
11,,Surface,11,75538,
11,,Surface,11,75539,
11,,Surface,11,75540,
11,,Surface,11,75541,
11,,Surface,11,75542,
11,,Surface,11,75543,
11,,Surface,11,75544,
11,,Surface,11,75545,
11,,Surface,11,75546,
11,,Surface,11,75547,
11,,Surface,11,75548,
11,,Surface,11,75549,
11,,Surface,11,75550,
12,,Surface,12,75551,
12,,Surface,12,75552,
12,,Surface,12,75553,
12,,Surface,12,75554,
12,,Surface,12,75555,
12,,Surface,12,75556,
12,,Surface,12,75557,
12,,Surface,12,75558,
12,,Surface,12,75559,
12,,Surface,12,75560,
12,,Surface,12,75561,
12,,Surface,12,75562,
12,,Surface,12,75563,
12,,Surface,12,75564,
12,,Surface,12,75565,
12,,Surface,12,75566,
12,,Surface,12,75567,
12,,Surface,12,75568,
12,,Surface,12,75569,
12,,Surface,12,75570,
12,,Surface,12,75571,
12,,Surface,12,75572,
12,,Surface,12,75573,
12,,Surface,12,75574,
12,,Surface,12,75575,
12,,Surface,12,75576,
12,,Surface,12,75577,
12,,Surface,12,75578,
12,,Surface,12,75579,
12,,Surface,12,75580,
12,,Surface,12,75581,
12,,Surface,12,75582,
12,,Surface,12,75583,
12,,Surface,12,75584,
12,,Surface,12,75585,
13,,Surface,13,75586,
13,,Surface,13,75587,
13,,Surface,13,75588,
13,,Surface,13,75589,
13,,Surface,13,75590,
13,,Surface,13,75591,
13,,Surface,13,75592,
13,,Surface,13,75593,
13,,Surface,13,75594,
13,,Surface,13,75595,
13,,Surface,13,75596,
13,,Surface,13,75597,
13,,Surface,13,75598,
13,,Surface,13,75599,
13,,Surface,13,75600,
13,,Surface,13,75601,
13,,Surface,13,75602,
13,,Surface,13,75603,
13,,Surface,13,75604,
13,,Surface,13,75605,
13,,Surface,13,75606,
13,,Surface,13,75607,
13,,Surface,13,75608,
13,,Surface,13,75609,
13,,Surface,13,75610,
13,,Surface,13,75611,
13,,Surface,13,75612,
13,,Surface,13,75613,
13,,Surface,13,75614,
13,,Surface,13,75615,
13,,Surface,13,75616,
13,,Surface,13,75617,
13,,Surface,13,75618,
13,,Surface,13,75619,
13,,Surface,13,75620,
14,,Surface,14,75621,
14,,Surface,14,75622,
14,,Surface,14,75623,
14,,Surface,14,75624,
14,,Surface,14,75625,
14,,Surface,14,75626,
14,,Surface,14,75627,
14,,Surface,14,75628,
14,,Surface,14,75629,
14,,Surface,14,75630,
14,,Surface,14,75631,
14,,Surface,14,75632,
14,,Surface,14,75633,
14,,Surface,14,75634,
14,,Surface,14,75635,
14,,Surface,14,75636,
14,,Surface,14,75637,
14,,Surface,14,75638,
14,,Surface,14,75639,
14,,Surface,14,75640,
14,,Surface,14,75641,
14,,Surface,14,75642,
14,,Surface,14,75643,
14,,Surface,14,75644,
14,,Surface,14,75645,
14,,Surface,14,75646,
14,,Surface,14,75647,
14,,Surface,14,75648,
14,,Surface,14,75649,
14,,Surface,14,75650,
14,,Surface,14,75651,
14,,Surface,14,75652,
14,,Surface,14,75653,
14,,Surface,14,75654,
14,,Surface,14,75655,
15,,Surface,15,75656,
15,,Surface,15,75657,
15,,Surface,15,75658,
15,,Surface,15,75659,
15,,Surface,15,75660,
15,,Surface,15,75661,
15,,Surface,15,75662,
15,,Surface,15,75663,
15,,Surface,15,75664,
15,,Surface,15,75665,
15,,Surface,15,75666,
15,,Surface,15,75667,
15,,Surface,15,75668,
15,,Surface,15,75669,
15,,Surface,15,75670,
15,,Surface,15,75671,
15,,Surface,15,75672,
15,,Surface,15,75673,
15,,Surface,15,75674,
15,,Surface,15,75675,
15,,Surface,15,75676,
15,,Surface,15,75677,
15,,Surface,15,75678,
15,,Surface,15,75679,
15,,Surface,15,75680,
15,,Surface,15,75681,
15,,Surface,15,75682,
15,,Surface,15,75683,
15,,Surface,15,75684,
15,,Surface,15,75685,
15,,Surface,15,75686,
15,,Surface,15,75687,
15,,Surface,15,75688,
15,,Surface,15,75689,
15,,Surface,15,75690,
15,,Surface,15,75691,
16,,Surface,16,75692,
16,,Surface,16,75693,
16,,Surface,16,75694,
16,,Surface,16,75695,
16,,Surface,16,75696,
16,,Surface,16,75697,
16,,Surface,16,75698,
16,,Surface,16,75699,
16,,Surface,16,75700,
16,,Surface,16,75701,
16,,Surface,16,75702,
16,,Surface,16,75703,
16,,Surface,16,75704,
16,,Surface,16,75705,
16,,Surface,16,75706,
16,,Surface,16,75707,
16,,Surface,16,75708,
16,,Surface,16,75709,
16,,Surface,16,75710,
16,,Surface,16,75711,
16,,Surface,16,75712,
16,,Surface,16,75713,
16,,Surface,16,75714,
16,,Surface,16,75715,
16,,Surface,16,75716,
16,,Surface,16,75717,
16,,Surface,16,75718,
16,,Surface,16,75719,
16,,Surface,16,75720,
16,,Surface,16,75721,
16,,Surface,16,75722,
16,,Surface,16,75723,
16,,Surface,16,75724,
16,,Surface,16,75725,
16,,Surface,16,75726,
17,,Surface,17,75727,
17,,Surface,17,75728,
17,,Surface,17,75729,
17,,Surface,17,75730,
17,,Surface,17,75731,
17,,Surface,17,75732,
17,,Surface,17,75733,
17,,Surface,17,75734,
17,,Surface,17,75735,
17,,Surface,17,75736,
17,,Surface,17,75737,
17,,Surface,17,75738,
17,,Surface,17,75739,
17,,Surface,17,75740,
17,,Surface,17,75741,
17,,Surface,17,75742,
17,,Surface,17,75743,
17,,Surface,17,75744,
17,,Surface,17,75745,
17,,Surface,17,75746,
17,,Surface,17,75747,
17,,Surface,17,75748,
17,,Surface,17,75749,
17,,Surface,17,75750,
17,,Surface,17,75751,
17,,Surface,17,75752,
17,,Surface,17,75753,
17,,Surface,17,75754,
17,,Surface,17,75755,
17,,Surface,17,75756,
17,,Surface,17,75757,
17,,Surface,17,75758,
17,,Surface,17,75759,
17,,Surface,17,75760,
17,,Surface,17,75761,
18,,Surface,18,75762,
18,,Surface,18,75763,
18,,Surface,18,75764,
18,,Surface,18,75765,
18,,Surface,18,75766,
18,,Surface,18,75767,
18,,Surface,18,75768,
18,,Surface,18,75769,
18,,Surface,18,75770,
18,,Surface,18,75771,
18,,Surface,18,75772,
18,,Surface,18,75773,
18,,Surface,18,75774,
18,,Surface,18,75775,
18,,Surface,18,75776,
18,,Surface,18,75777,
18,,Surface,18,75778,
18,,Surface,18,75779,
18,,Surface,18,75780,
18,,Surface,18,75781,
18,,Surface,18,75782,
18,,Surface,18,75783,
18,,Surface,18,75784,
18,,Surface,18,75785,
18,,Surface,18,75786,
18,,Surface,18,75787,
18,,Surface,18,75788,
18,,Surface,18,75789,
18,,Surface,18,75790,
18,,Surface,18,75791,
18,,Surface,18,75792,
18,,Surface,18,75793,
18,,Surface,18,75794,
18,,Surface,18,75795,
18,,Surface,18,75796,
19,,Surface,19,75797,
19,,Surface,19,75798,
19,,Surface,19,75799,
19,,Surface,19,75800,
19,,Surface,19,75801,
19,,Surface,19,75802,
19,,Surface,19,75803,
19,,Surface,19,75804,
19,,Surface,19,75805,
19,,Surface,19,75806,
19,,Surface,19,75807,
19,,Surface,19,75808,
19,,Surface,19,75809,
19,,Surface,19,75810,
19,,Surface,19,75811,
19,,Surface,19,75812,
19,,Surface,19,75813,
19,,Surface,19,75814,
19,,Surface,19,75815,
19,,Surface,19,75816,
19,,Surface,19,75817,
19,,Surface,19,75818,
19,,Surface,19,75819,
19,,Surface,19,75820,
19,,Surface,19,75821,
19,,Surface,19,75822,
19,,Surface,19,75823,
19,,Surface,19,75824,
19,,Surface,19,75825,
19,,Surface,19,75826,
19,,Surface,19,75827,
19,,Surface,19,75828,
19,,Surface,19,75829,
19,,Surface,19,75830,
19,,Surface,19,75831,
20,,Surface,20,75832,
20,,Surface,20,75833,
20,,Surface,20,75834,
20,,Surface,20,75835,
20,,Surface,20,75836,
20,,Surface,20,75837,
20,,Surface,20,75838,
20,,Surface,20,75839,
20,,Surface,20,75840,
20,,Surface,20,75841,
20,,Surface,20,75842,
20,,Surface,20,75843,
20,,Surface,20,75844,
20,,Surface,20,75845,
20,,Surface,20,75846,
20,,Surface,20,75847,
20,,Surface,20,75848,
20,,Surface,20,75849,
20,,Surface,20,75850,
20,,Surface,20,75851,
20,,Surface,20,75852,
20,,Surface,20,75853,
20,,Surface,20,75854,
20,,Surface,20,75855,
20,,Surface,20,75856,
20,,Surface,20,75857,
20,,Surface,20,75858,
20,,Surface,20,75859,
20,,Surface,20,75860,
20,,Surface,20,75861,
20,,Surface,20,75862,
20,,Surface,20,75863,
20,,Surface,20,75864,
20,,Surface,20,75865,
20,,Surface,20,75866,
20,,Surface,20,75867,
21,,Surface,21,75868,
21,,Surface,21,75869,
21,,Surface,21,75870,
21,,Surface,21,75871,
21,,Surface,21,75872,
21,,Surface,21,75873,
21,,Surface,21,75874,
21,,Surface,21,75875,
21,,Surface,21,75876,
21,,Surface,21,75877,
21,,Surface,21,75878,
21,,Surface,21,75879,
21,,Surface,21,75880,
21,,Surface,21,75881,
21,,Surface,21,75882,
21,,Surface,21,75883,
21,,Surface,21,75884,
21,,Surface,21,75885,
21,,Surface,21,75886,
21,,Surface,21,75887,
21,,Surface,21,75888,
21,,Surface,21,75889,
21,,Surface,21,75890,
21,,Surface,21,75891,
21,,Surface,21,75892,
21,,Surface,21,75893,
21,,Surface,21,75894,
21,,Surface,21,75895,
21,,Surface,21,75896,
21,,Surface,21,75897,
21,,Surface,21,75898,
21,,Surface,21,75899,
21,,Surface,21,75900,
21,,Surface,21,75901,
21,,Surface,21,75902,
22,,Surface,22,75903,
22,,Surface,22,75904,
22,,Surface,22,75905,
22,,Surface,22,75906,
22,,Surface,22,75907,
22,,Surface,22,75908,
22,,Surface,22,75909,
22,,Surface,22,75910,
22,,Surface,22,75911,
22,,Surface,22,75912,
22,,Surface,22,75913,
22,,Surface,22,75914,
22,,Surface,22,75915,
22,,Surface,22,75916,
22,,Surface,22,75917,
22,,Surface,22,75918,
22,,Surface,22,75919,
22,,Surface,22,75920,
22,,Surface,22,75921,
22,,Surface,22,75922,
22,,Surface,22,75923,
22,,Surface,22,75924,
22,,Surface,22,75925,
22,,Surface,22,75926,
22,,Surface,22,75927,
22,,Surface,22,75928,
22,,Surface,22,75929,
22,,Surface,22,75930,
22,,Surface,22,75931,
22,,Surface,22,75932,
22,,Surface,22,75933,
22,,Surface,22,75934,
22,,Surface,22,75935,
22,,Surface,22,75936,
22,,Surface,22,75937,
23,,Surface,23,75938,
23,,Surface,23,75939,
23,,Surface,23,75940,
23,,Surface,23,75941,
23,,Surface,23,75942,
23,,Surface,23,75943,
23,,Surface,23,75944,
23,,Surface,23,75945,
23,,Surface,23,75946,
23,,Surface,23,75947,
23,,Surface,23,75948,
23,,Surface,23,75949,
23,,Surface,23,75950,
23,,Surface,23,75951,
23,,Surface,23,75952,
23,,Surface,23,75953,
23,,Surface,23,75954,
23,,Surface,23,75955,
23,,Surface,23,75956,
23,,Surface,23,75957,
23,,Surface,23,75958,
23,,Surface,23,75959,
23,,Surface,23,75960,
23,,Surface,23,75961,
23,,Surface,23,75962,
23,,Surface,23,75963,
23,,Surface,23,75964,
23,,Surface,23,75965,
23,,Surface,23,75966,
23,,Surface,23,75967,
23,,Surface,23,75968,
23,,Surface,23,75969,
23,,Surface,23,75970,
23,,Surface,23,75971,
24,,Surface,24,75972,
24,,Surface,24,75973,
24,,Surface,24,75974,
24,,Surface,24,75975,
24,,Surface,24,75976,
24,,Surface,24,75977,
24,,Surface,24,75978,
24,,Surface,24,75979,
24,,Surface,24,75980,
24,,Surface,24,75981,
24,,Surface,24,75982,
24,,Surface,24,75983,
24,,Surface,24,75984,
24,,Surface,24,75985,
24,,Surface,24,75986,
24,,Surface,24,75987,
24,,Surface,24,75988,
24,,Surface,24,75989,
24,,Surface,24,75990,
24,,Surface,24,75991,
24,,Surface,24,75992,
24,,Surface,24,75993,
24,,Surface,24,75994,
24,,Surface,24,75995,
24,,Surface,24,75996,
24,,Surface,24,75997,
24,,Surface,24,75998,
24,,Surface,24,75999,
24,,Surface,24,76000,
24,,Surface,24,76001,
24,,Surface,24,76002,
24,,Surface,24,76003,
24,,Surface,24,76004,
24,,Surface,24,76005,
24,,Surface,24,76006,
25,,Surface,25,76007,
25,,Surface,25,76008,
25,,Surface,25,76009,
25,,Surface,25,76010,
25,,Surface,25,76011,
25,,Surface,25,76012,
25,,Surface,25,76013,
25,,Surface,25,76014,
25,,Surface,25,76015,
25,,Surface,25,76016,
25,,Surface,25,76017,
25,,Surface,25,76018,
25,,Surface,25,76019,
25,,Surface,25,76020,
25,,Surface,25,76021,
25,,Surface,25,76022,
25,,Surface,25,76023,
25,,Surface,25,76024,
25,,Surface,25,76025,
25,,Surface,25,76026,
25,,Surface,25,76027,
25,,Surface,25,76028,
25,,Surface,25,76029,
25,,Surface,25,76030,
25,,Surface,25,76031,
25,,Surface,25,76032,
25,,Surface,25,76033,
25,,Surface,25,76034,
25,,Surface,25,76035,
25,,Surface,25,76036,
25,,Surface,25,76037,
25,,Surface,25,76038,
25,,Surface,25,76039,
25,,Surface,25,76040,
25,,Surface,25,76041,
26,,Surface,26,76042,
26,,Surface,26,76043,
26,,Surface,26,76044,
26,,Surface,26,76045,
26,,Surface,26,76046,
26,,Surface,26,76047,
26,,Surface,26,76048,
26,,Surface,26,76049,
26,,Surface,26,76050,
26,,Surface,26,76051,
26,,Surface,26,76052,
26,,Surface,26,76053,
26,,Surface,26,76054,
26,,Surface,26,76055,
26,,Surface,26,76056,
26,,Surface,26,76057,
26,,Surface,26,76058,
26,,Surface,26,76059,
26,,Surface,26,76060,
26,,Surface,26,76061,
26,,Surface,26,76062,
26,,Surface,26,76063,
26,,Surface,26,76064,
26,,Surface,26,76065,
26,,Surface,26,76066,
26,,Surface,26,76067,
26,,Surface,26,76068,
26,,Surface,26,76069,
26,,Surface,26,76070,
26,,Surface,26,76071,
26,,Surface,26,76072,
26,,Surface,26,76073,
26,,Surface,26,76074,
26,,Surface,26,76075,
26,,Surface,26,76076,
26,,Surface,26,76077,
27,,Surface,27,76078,
27,,Surface,27,76079,
27,,Surface,27,76080,
27,,Surface,27,76081,
27,,Surface,27,76082,
27,,Surface,27,76083,
27,,Surface,27,76084,
27,,Surface,27,76085,
27,,Surface,27,76086,
27,,Surface,27,76087,
27,,Surface,27,76088,
27,,Surface,27,76089,
27,,Surface,27,76090,
27,,Surface,27,76091,
27,,Surface,27,76092,
27,,Surface,27,76093,
27,,Surface,27,76094,
27,,Surface,27,76095,
27,,Surface,27,76096,
27,,Surface,27,76097,
27,,Surface,27,76098,
27,,Surface,27,76099,
27,,Surface,27,76100,
27,,Surface,27,76101,
27,,Surface,27,76102,
27,,Surface,27,76103,
27,,Surface,27,76104,
27,,Surface,27,76105,
27,,Surface,27,76106,
27,,Surface,27,76107,
27,,Surface,27,76108,
27,,Surface,27,76109,
27,,Surface,27,76110,
27,,Surface,27,76111,
27,,Surface,27,76112,
27,,Surface,27,76113,
28,,Surface,28,76114,
28,,Surface,28,76115,
28,,Surface,28,76116,
28,,Surface,28,76117,
28,,Surface,28,76118,
28,,Surface,28,76119,
28,,Surface,28,76120,
28,,Surface,28,76121,
28,,Surface,28,76122,
28,,Surface,28,76123,
28,,Surface,28,76124,
28,,Surface,28,76125,
28,,Surface,28,76126,
28,,Surface,28,76127,
28,,Surface,28,76128,
28,,Surface,28,76129,
28,,Surface,28,76130,
28,,Surface,28,76131,
28,,Surface,28,76132,
28,,Surface,28,76133,
28,,Surface,28,76134,
28,,Surface,28,76135,
28,,Surface,28,76136,
28,,Surface,28,76137,
28,,Surface,28,76138,
28,,Surface,28,76139,
28,,Surface,28,76140,
28,,Surface,28,76141,
28,,Surface,28,76142,
28,,Surface,28,76143,
28,,Surface,28,76144,
28,,Surface,28,76145,
28,,Surface,28,76146,
28,,Surface,28,76147,
28,,Surface,28,76148,
28,,Surface,28,76149,
29,,Surface,29,76150,
29,,Surface,29,76151,
29,,Surface,29,76152,
29,,Surface,29,76153,
29,,Surface,29,76154,
29,,Surface,29,76155,
29,,Surface,29,76156,
29,,Surface,29,76157,
29,,Surface,29,76158,
29,,Surface,29,76159,
29,,Surface,29,76160,
29,,Surface,29,76161,
29,,Surface,29,76162,
29,,Surface,29,76163,
29,,Surface,29,76164,
29,,Surface,29,76165,
29,,Surface,29,76166,
29,,Surface,29,76167,
29,,Surface,29,76168,
29,,Surface,29,76169,
29,,Surface,29,76170,
29,,Surface,29,76171,
29,,Surface,29,76172,
29,,Surface,29,76173,
29,,Surface,29,76174,
29,,Surface,29,76175,
29,,Surface,29,76176,
29,,Surface,29,76177,
29,,Surface,29,76178,
29,,Surface,29,76179,
29,,Surface,29,76180,
29,,Surface,29,76181,
29,,Surface,29,76182,
29,,Surface,29,76183,
29,,Surface,29,76184,
29,,Surface,29,76185,
29,,Surface,29,76186,
