
Intensity Min Ch=5 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
35,,Surface,5,Image 1,1,75172,
27,,Surface,5,Image 1,1,75173,
39,,Surface,5,Image 1,1,75174,
41,,Surface,5,Image 1,1,75175,
31,,Surface,5,Image 1,1,75176,
27,,Surface,5,Image 1,1,75177,
37,,Surface,5,Image 1,1,75178,
38,,Surface,5,Image 1,1,75179,
34,,Surface,5,Image 1,1,75180,
33,,Surface,5,Image 1,1,75181,
35,,Surface,5,Image 1,1,75182,
31,,Surface,5,Image 1,1,75183,
23,,Surface,5,Image 1,1,75184,
30,,Surface,5,Image 1,1,75185,
20,,Surface,5,Image 1,1,75186,
34,,Surface,5,Image 1,1,75187,
30,,Surface,5,Image 1,1,75188,
32,,Surface,5,Image 1,1,75189,
31,,Surface,5,Image 1,1,75190,
28,,Surface,5,Image 1,1,75191,
27,,Surface,5,Image 1,1,75192,
30,,Surface,5,Image 1,1,75193,
22,,Surface,5,Image 1,1,75194,
23,,Surface,5,Image 1,1,75195,
26,,Surface,5,Image 1,1,75196,
39,,Surface,5,Image 1,1,75197,
33,,Surface,5,Image 1,1,75198,
31,,Surface,5,Image 1,1,75199,
28,,Surface,5,Image 1,1,75200,
33,,Surface,5,Image 1,1,75201,
28,,Surface,5,Image 1,1,75202,
33,,Surface,5,Image 1,1,75203,
28,,Surface,5,Image 1,1,75204,
29,,Surface,5,Image 1,1,75205,
26,,Surface,5,Image 1,2,75206,
32,,Surface,5,Image 1,2,75207,
34,,Surface,5,Image 1,2,75208,
35,,Surface,5,Image 1,2,75209,
30,,Surface,5,Image 1,2,75210,
35,,Surface,5,Image 1,2,75211,
32,,Surface,5,Image 1,2,75212,
40,,Surface,5,Image 1,2,75213,
31,,Surface,5,Image 1,2,75214,
26,,Surface,5,Image 1,2,75215,
37,,Surface,5,Image 1,2,75216,
30,,Surface,5,Image 1,2,75217,
27,,Surface,5,Image 1,2,75218,
16,,Surface,5,Image 1,2,75219,
30,,Surface,5,Image 1,2,75220,
34,,Surface,5,Image 1,2,75221,
14,,Surface,5,Image 1,2,75222,
30,,Surface,5,Image 1,2,75223,
0,,Surface,5,Image 1,2,75224,
30,,Surface,5,Image 1,2,75225,
28,,Surface,5,Image 1,2,75226,
31,,Surface,5,Image 1,2,75227,
28,,Surface,5,Image 1,2,75228,
44,,Surface,5,Image 1,2,75229,
42,,Surface,5,Image 1,2,75230,
35,,Surface,5,Image 1,2,75231,
28,,Surface,5,Image 1,2,75232,
32,,Surface,5,Image 1,2,75233,
30,,Surface,5,Image 1,2,75234,
29,,Surface,5,Image 1,2,75235,
2,,Surface,5,Image 1,2,75236,
25,,Surface,5,Image 1,2,75237,
29,,Surface,5,Image 1,2,75238,
30,,Surface,5,Image 1,2,75239,
33,,Surface,5,Image 1,3,75240,
35,,Surface,5,Image 1,3,75241,
33,,Surface,5,Image 1,3,75242,
36,,Surface,5,Image 1,3,75243,
27,,Surface,5,Image 1,3,75244,
34,,Surface,5,Image 1,3,75245,
38,,Surface,5,Image 1,3,75246,
34,,Surface,5,Image 1,3,75247,
34,,Surface,5,Image 1,3,75248,
30,,Surface,5,Image 1,3,75249,
35,,Surface,5,Image 1,3,75250,
30,,Surface,5,Image 1,3,75251,
20,,Surface,5,Image 1,3,75252,
26,,Surface,5,Image 1,3,75253,
23,,Surface,5,Image 1,3,75254,
29,,Surface,5,Image 1,3,75255,
29,,Surface,5,Image 1,3,75256,
31,,Surface,5,Image 1,3,75257,
26,,Surface,5,Image 1,3,75258,
34,,Surface,5,Image 1,3,75259,
32,,Surface,5,Image 1,3,75260,
30,,Surface,5,Image 1,3,75261,
31,,Surface,5,Image 1,3,75262,
34,,Surface,5,Image 1,3,75263,
38,,Surface,5,Image 1,3,75264,
18,,Surface,5,Image 1,3,75265,
8,,Surface,5,Image 1,3,75266,
29,,Surface,5,Image 1,3,75267,
26,,Surface,5,Image 1,3,75268,
33,,Surface,5,Image 1,3,75269,
26,,Surface,5,Image 1,3,75270,
25,,Surface,5,Image 1,3,75271,
31,,Surface,5,Image 1,3,75272,
31,,Surface,5,Image 1,3,75273,
29,,Surface,5,Image 1,4,75274,
22,,Surface,5,Image 1,4,75275,
33,,Surface,5,Image 1,4,75276,
41,,Surface,5,Image 1,4,75277,
41,,Surface,5,Image 1,4,75278,
25,,Surface,5,Image 1,4,75279,
37,,Surface,5,Image 1,4,75280,
37,,Surface,5,Image 1,4,75281,
28,,Surface,5,Image 1,4,75282,
17,,Surface,5,Image 1,4,75283,
31,,Surface,5,Image 1,4,75284,
29,,Surface,5,Image 1,4,75285,
33,,Surface,5,Image 1,4,75286,
23,,Surface,5,Image 1,4,75287,
21,,Surface,5,Image 1,4,75288,
23,,Surface,5,Image 1,4,75289,
32,,Surface,5,Image 1,4,75290,
26,,Surface,5,Image 1,4,75291,
26,,Surface,5,Image 1,4,75292,
32,,Surface,5,Image 1,4,75293,
29,,Surface,5,Image 1,4,75294,
30,,Surface,5,Image 1,4,75295,
25,,Surface,5,Image 1,4,75296,
33,,Surface,5,Image 1,4,75297,
32,,Surface,5,Image 1,4,75298,
37,,Surface,5,Image 1,4,75299,
32,,Surface,5,Image 1,4,75300,
32,,Surface,5,Image 1,4,75301,
37,,Surface,5,Image 1,4,75302,
30,,Surface,5,Image 1,4,75303,
25,,Surface,5,Image 1,4,75304,
17,,Surface,5,Image 1,4,75305,
34,,Surface,5,Image 1,4,75306,
24,,Surface,5,Image 1,4,75307,
27,,Surface,5,Image 1,4,75308,
23,,Surface,5,Image 1,4,75309,
36,,Surface,5,Image 1,5,75310,
31,,Surface,5,Image 1,5,75311,
32,,Surface,5,Image 1,5,75312,
26,,Surface,5,Image 1,5,75313,
