
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,TrackID,ID,
0.301314,,Surface,1,1000052648,52648,
0.300957,,Surface,1,1000052649,52649,
0.315255,,Surface,1,1000052650,52650,
0.279218,,Surface,1,1000052651,52651,
0.330471,,Surface,1,1000052652,52652,
0.439744,,Surface,1,1000052653,52653,
0.405757,,Surface,1,1000052654,52654,
0.331996,,Surface,1,1000052655,52655,
0.332586,,Surface,1,1000052656,52656,
0.454158,,Surface,1,1000052657,52657,
0.245935,,Surface,1,1000052658,52658,
0.308855,,Surface,1,1000052659,52659,
0.325124,,Surface,1,1000052660,52660,
0.269193,,Surface,1,1000052661,52661,
0.337705,,Surface,1,1000052662,52662,
0.338281,,Surface,1,1000052663,52663,
0.371772,,Surface,1,1000052664,52664,
0.256391,,Surface,1,1000052665,52665,
0.220802,,Surface,1,1000052666,52666,
0.401004,,Surface,1,1000052667,52667,
0.429356,,Surface,1,1000052668,52668,
0.396826,,Surface,1,1000052669,52669,
0.344453,,Surface,1,1000052670,52670,
0.281365,,Surface,1,1000052671,52671,
0.23809,,Surface,1,1000052672,52672,
0.420105,,Surface,1,1000052673,52673,
0.390339,,Surface,1,1000052674,52674,
0.306035,,Surface,1,1000052675,52675,
0.314108,,Surface,1,1000052676,52676,
0.535511,,Surface,1,1000052677,52677,
0.301654,,Surface,1,1000052678,52678,
0.32428,,Surface,1,1000052679,52679,
0.302662,,Surface,1,1000052680,52680,
0.171653,,Surface,1,1000052681,52681,
0.307377,,Surface,1,1000052682,52682,
0.370632,,Surface,1,1000052683,52683,
0.443836,,Surface,1,1000052684,52684,
0.264599,,Surface,1,1000052685,52685,
0.372607,,Surface,1,1000052686,52686,
0.341108,,Surface,1,1000052687,52687,
0.245363,,Surface,1,1000052688,52688,
0.296541,,Surface,1,1000052689,52689,
0.451996,,Surface,1,1000052690,52690,
0.428477,,Surface,1,1000052691,52691,
0.315162,,Surface,1,1000052692,52692,
0.318935,,Surface,1,1000052693,52693,
0.236611,,Surface,1,1000052694,52694,
0.461934,,Surface,1,1000052695,52695,
0.234605,,Surface,1,1000052696,52696,
0.269266,,Surface,1,1000052697,52697,
0.453904,,Surface,1,1000052698,52698,
0.338027,,Surface,1,1000052699,52699,
0.232178,,Surface,1,1000052700,52700,
0.351137,,Surface,1,1000052701,52701,
0.453083,,Surface,1,1000052702,52702,
0.378339,,Surface,1,1000052703,52703,
0.42758,,Surface,1,1000052704,52704,
0.256959,,Surface,1,1000052705,52705,
0.336741,,Surface,1,1000052706,52706,
0.382473,,Surface,1,1000052707,52707,
0.394856,,Surface,1,1000052708,52708,
0.357341,,Surface,1,1000052709,52709,
0.392058,,Surface,1,1000052710,52710,
0.351829,,Surface,1,1000052711,52711,
0.266425,,Surface,1,1000052712,52712,
0.450561,,Surface,1,1000052713,52713,
0.33322,,Surface,1,1000052714,52714,
0.538585,,Surface,1,1000052715,52715,
0.593389,,Surface,1,1000052716,52716,
0.501047,,Surface,1,1000052717,52717,
0.276629,,Surface,1,1000052718,52718,
0.414346,,Surface,1,1000052719,52719,
0.338851,,Surface,1,1000052720,52720,
0.315001,,Surface,1,1000052721,52721,
0.260601,,Surface,1,1000052722,52722,
0.300842,,Surface,1,1000052723,52723,
0.337118,,Surface,1,1000052724,52724,
0.428526,,Surface,1,1000052725,52725,
0.351865,,Surface,1,1000052726,52726,
0.342629,,Surface,1,1000052727,52727,
0.343418,,Surface,1,1000052728,52728,
0.394054,,Surface,1,1000052729,52729,
0.344565,,Surface,1,1000052730,52730,
0.173904,,Surface,1,1000052731,52731,
0.218372,,Surface,1,1000052732,52732,
0.319561,,Surface,1,1000052733,52733,
0.344334,,Surface,1,1000052734,52734,
0.404706,,Surface,1,1000052735,52735,
0.465856,,Surface,1,1000052736,52736,
0.328543,,Surface,2,1000052671,52737,
0.236426,,Surface,2,1000052650,52738,
0.338482,,Surface,2,1000052649,52739,
0.262361,,Surface,2,1000052651,52740,
0.240186,,Surface,2,1000052655,52741,
0.317045,,Surface,2,1000052652,52742,
0.470962,,Surface,2,1000052653,52743,
0.264568,,Surface,2,1000052654,52744,
0.424524,,Surface,2,1000052656,52745,
0.365082,,Surface,2,1000052657,52746,
0.292344,,Surface,2,1000052658,52747,
0.242328,,Surface,2,1000052659,52748,
0.402259,,Surface,2,1000052660,52749,
0.268975,,Surface,2,1000052661,52750,
0.458508,,Surface,2,1000052663,52751,
0.343087,,Surface,2,1000052662,52752,
0.358751,,Surface,2,1000052665,52753,
0.351229,,Surface,2,1000052664,52754,
0.347879,,Surface,2,1000052666,52755,
0.409006,,Surface,2,1000052667,52756,
0.388332,,Surface,2,1000052670,52757,
0.339788,,Surface,2,1000052669,52758,
0.446556,,Surface,2,1000052673,52759,
