
Speed
 ==================== 
Speed,Unit,Category,Time,TrackID,ID,
0.0641991,um/s,Surface,1,1000052648,52648,
0.015009,um/s,Surface,1,1000052649,52649,
0.0292203,um/s,Surface,1,1000052650,52650,
0.00865588,um/s,Surface,1,1000052651,52651,
0.0183869,um/s,Surface,1,1000052652,52652,
0.00622168,um/s,Surface,1,1000052653,52653,
0.0121336,um/s,Surface,1,1000052654,52654,
0.0727837,um/s,Surface,1,1000052655,52655,
0.0199959,um/s,Surface,1,1000052656,52656,
0.0595,um/s,Surface,1,1000052657,52657,
0.0209423,um/s,Surface,1,1000052658,52658,
0.0316905,um/s,Surface,1,1000052659,52659,
0.0654576,um/s,Surface,1,1000052660,52660,
0.00774503,um/s,Surface,1,1000052661,52661,
0.0174178,um/s,Surface,1,1000052662,52662,
0.030238,um/s,Surface,1,1000052663,52663,
0.012908,um/s,Surface,1,1000052664,52664,
0.0489558,um/s,Surface,1,1000052665,52665,
0.0236991,um/s,Surface,1,1000052666,52666,
0.0159075,um/s,Surface,1,1000052667,52667,
0.035754,um/s,Surface,1,1000052668,52668,
0.0102203,um/s,Surface,1,1000052669,52669,
0.00349289,um/s,Surface,1,1000052670,52670,
0.0205751,um/s,Surface,1,1000052671,52671,
0.0619675,um/s,Surface,1,1000052672,52672,
0.00366039,um/s,Surface,1,1000052673,52673,
0.0137199,um/s,Surface,1,1000052674,52674,
0.0130039,um/s,Surface,1,1000052675,52675,
0.0352409,um/s,Surface,1,1000052676,52676,
0.0422591,um/s,Surface,1,1000052677,52677,
0.0213412,um/s,Surface,1,1000052678,52678,
0.0320427,um/s,Surface,1,1000052679,52679,
0.0230077,um/s,Surface,1,1000052680,52680,
0.0622255,um/s,Surface,1,1000052681,52681,
0.0180139,um/s,Surface,1,1000052682,52682,
0.0113044,um/s,Surface,1,1000052683,52683,
0.00180405,um/s,Surface,1,1000052684,52684,
0.056259,um/s,Surface,1,1000052685,52685,
0.0156512,um/s,Surface,1,1000052686,52686,
0.00485748,um/s,Surface,1,1000052687,52687,
0.0144481,um/s,Surface,1,1000052688,52688,
0.0491415,um/s,Surface,1,1000052689,52689,
0.0275471,um/s,Surface,1,1000052690,52690,
0.197151,um/s,Surface,1,1000052691,52691,
0.0170626,um/s,Surface,1,1000052692,52692,
0.00651378,um/s,Surface,1,1000052693,52693,
0.0363571,um/s,Surface,1,1000052694,52694,
0.00800441,um/s,Surface,1,1000052695,52695,
0.04446,um/s,Surface,1,1000052696,52696,
0.0441201,um/s,Surface,1,1000052697,52697,
0.00442104,um/s,Surface,1,1000052698,52698,
0.0157602,um/s,Surface,1,1000052699,52699,
0.0239018,um/s,Surface,1,1000052700,52700,
0.008052,um/s,Surface,1,1000052701,52701,
0.0299898,um/s,Surface,1,1000052702,52702,
0.0313976,um/s,Surface,1,1000052703,52703,
0.013319,um/s,Surface,1,1000052704,52704,
0.045704,um/s,Surface,1,1000052705,52705,
0.0305746,um/s,Surface,1,1000052706,52706,
0.0669446,um/s,Surface,1,1000052707,52707,
0.0179293,um/s,Surface,1,1000052708,52708,
0.00899354,um/s,Surface,1,1000052709,52709,
0.019325,um/s,Surface,1,1000052710,52710,
0.0123445,um/s,Surface,1,1000052711,52711,
0.0179239,um/s,Surface,1,1000052712,52712,
0.0141711,um/s,Surface,1,1000052713,52713,
0.0125305,um/s,Surface,1,1000052714,52714,
0.063554,um/s,Surface,1,1000052715,52715,
0.0379171,um/s,Surface,1,1000052716,52716,
0.0147441,um/s,Surface,1,1000052717,52717,
0.0255198,um/s,Surface,1,1000052718,52718,
0.0219483,um/s,Surface,1,1000052719,52719,
0.00798253,um/s,Surface,1,1000052720,52720,
0.016236,um/s,Surface,1,1000052721,52721,
0.0221911,um/s,Surface,1,1000052722,52722,
0.0304991,um/s,Surface,1,1000052723,52723,
0.0148136,um/s,Surface,1,1000052724,52724,
0.0122366,um/s,Surface,1,1000052725,52725,
0.0258037,um/s,Surface,1,1000052726,52726,
0.00792643,um/s,Surface,1,1000052727,52727,
0.0470675,um/s,Surface,1,1000052728,52728,
0.110424,um/s,Surface,1,1000052729,52729,
0.0357099,um/s,Surface,1,1000052730,52730,
0.00981088,um/s,Surface,1,1000052731,52731,
0.00416513,um/s,Surface,1,1000052732,52732,
0.0185036,um/s,Surface,1,1000052733,52733,
0.0149802,um/s,Surface,1,1000052734,52734,
0.00696559,um/s,Surface,1,1000052735,52735,
0.0420042,um/s,Surface,1,1000052736,52736,
0.0173369,um/s,Surface,2,1000052671,52737,
0.0342799,um/s,Surface,2,1000052650,52738,
0.00408498,um/s,Surface,2,1000052649,52739,
0.0195998,um/s,Surface,2,1000052651,52740,
0.0407889,um/s,Surface,2,1000052655,52741,
0.0192828,um/s,Surface,2,1000052652,52742,
0.00829503,um/s,Surface,2,1000052653,52743,
0.00647673,um/s,Surface,2,1000052654,52744,
0.00414547,um/s,Surface,2,1000052656,52745,
0.0103787,um/s,Surface,2,1000052657,52746,
0.0294097,um/s,Surface,2,1000052658,52747,
0.0133245,um/s,Surface,2,1000052659,52748,
0.0304511,um/s,Surface,2,1000052660,52749,
0.00360972,um/s,Surface,2,1000052661,52750,
0.00614135,um/s,Surface,2,1000052663,52751,
0.00697716,um/s,Surface,2,1000052662,52752,
0.0263623,um/s,Surface,2,1000052665,52753,
0.00392992,um/s,Surface,2,1000052664,52754,
0.00874332,um/s,Surface,2,1000052666,52755,
0.00746724,um/s,Surface,2,1000052667,52756,
0.00390089,um/s,Surface,2,1000052670,52757,
0.0164856,um/s,Surface,2,1000052669,52758,
0.0024231,um/s,Surface,2,1000052673,52759,
0.0468101,um/s,Surface,2,1000052668,52760,
0.0317666,um/s,Surface,2,1000052672,52761,
0.0609843,um/s,Surface,2,1000052675,52762,
0.0047383,um/s,Surface,2,1000052674,52763,
0.0278855,um/s,Surface,2,1000052676,52764,
