
Area
 ==================== 
Area,Unit,Category,Time,TrackID,ID,
517.086,um^2,Surface,1,1000067170,67170,
506.604,um^2,Surface,1,1000067171,67171,
480.926,um^2,Surface,1,1000067172,67172,
618.108,um^2,Surface,1,1000067173,67173,
382.003,um^2,Surface,1,1000067174,67174,
588.083,um^2,Surface,1,1000067175,67175,
621.607,um^2,Surface,1,1000067176,67176,
536.613,um^2,Surface,1,1000067177,67177,
531.393,um^2,Surface,1,1000067178,67178,
323.089,um^2,Surface,1,1000067179,67179,
220.55,um^2,Surface,1,1000067180,67180,
130.523,um^2,Surface,1,1000067181,67181,
440.054,um^2,Surface,1,1000067182,67182,
794.917,um^2,Surface,1,1000067183,67183,
557.076,um^2,Surface,1,1000067184,67184,
128.247,um^2,Surface,1,1000067185,67185,
175.226,um^2,Surface,1,1000067186,67186,
830.102,um^2,Surface,1,1000067187,67187,
333.994,um^2,Surface,1,1000067188,67188,
219.303,um^2,Surface,1,1000067189,67189,
701.182,um^2,Surface,1,1000067190,67190,
415.846,um^2,Surface,1,1000067191,67191,
443.695,um^2,Surface,1,1000067192,67192,
520.128,um^2,Surface,1,1000067193,67193,
274.924,um^2,Surface,1,1000067194,67194,
533.525,um^2,Surface,1,1000067195,67195,
344.466,um^2,Surface,1,1000067196,67196,
342.426,um^2,Surface,1,1000067197,67197,
710.616,um^2,Surface,1,1000067198,67198,
818.303,um^2,Surface,1,1000067199,67199,
648.293,um^2,Surface,1,1000067200,67200,
299.904,um^2,Surface,1,1000067201,67201,
344.945,um^2,Surface,1,1000067202,67202,
114.494,um^2,Surface,1,1000067203,67203,
470.45,um^2,Surface,1,1000067204,67204,
147.953,um^2,Surface,1,1000067205,67205,
427.509,um^2,Surface,1,1000067206,67206,
279.157,um^2,Surface,1,1000067207,67207,
577.217,um^2,Surface,1,1000067208,67208,
486.922,um^2,Surface,1,1000067209,67209,
453.532,um^2,Surface,1,1000067210,67210,
608.414,um^2,Surface,1,1000067211,67211,
519.849,um^2,Surface,1,1000067212,67212,
346.363,um^2,Surface,1,1000067213,67213,
292.725,um^2,Surface,1,1000067214,67214,
680.133,um^2,Surface,1,1000067215,67215,
116.938,um^2,Surface,1,1000067216,67216,
919.993,um^2,Surface,1,1000067217,67217,
367.651,um^2,Surface,1,1000067218,67218,
385.356,um^2,Surface,1,1000067219,67219,
434.352,um^2,Surface,1,1000067220,67220,
388.349,um^2,Surface,1,1000067221,67221,
695.817,um^2,Surface,1,1000067222,67222,
642.002,um^2,Surface,1,1000067223,67223,
591.367,um^2,Surface,1,1000067224,67224,
406.121,um^2,Surface,1,1000067225,67225,
271.669,um^2,Surface,1,1000067226,67226,
466.019,um^2,Surface,1,1000067227,67227,
473.276,um^2,Surface,1,1000067228,67228,
559.189,um^2,Surface,1,1000067229,67229,
599.77,um^2,Surface,1,1000067230,67230,
1064,um^2,Surface,1,1000067231,67231,
520.076,um^2,Surface,1,1000067232,67232,
400.641,um^2,Surface,1,1000067233,67233,
555.671,um^2,Surface,1,1000067234,67234,
501.449,um^2,Surface,1,1000067235,67235,
434.23,um^2,Surface,1,1000067236,67236,
528.611,um^2,Surface,1,1000067237,67237,
481.51,um^2,Surface,1,1000067238,67238,
810.768,um^2,Surface,1,1000067239,67239,
520.362,um^2,Surface,1,1000067240,67240,
84.6991,um^2,Surface,1,1000067241,67241,
312.376,um^2,Surface,1,1000067242,67242,
359.72,um^2,Surface,1,1000067243,67243,
549.088,um^2,Surface,1,1000067244,67244,
607.854,um^2,Surface,1,1000067245,67245,
232.796,um^2,Surface,1,1000067246,67246,
628.536,um^2,Surface,1,1000067247,67247,
506.859,um^2,Surface,1,1000067248,67248,
483.277,um^2,Surface,1,1000067249,67249,
470.321,um^2,Surface,1,1000067250,67250,
561.402,um^2,Surface,1,1000067251,67251,
477.298,um^2,Surface,1,1000067252,67252,
421.189,um^2,Surface,1,1000067253,67253,
375.381,um^2,Surface,1,1000067254,67254,
