
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,um,Surface,Displacement Delta,1,1000067258,67258,
0,0,0,um,Surface,Displacement Delta,1,1000067259,67259,
0,0,0,um,Surface,Displacement Delta,1,1000067260,67260,
0,0,0,um,Surface,Displacement Delta,1,1000067261,67261,
0,0,0,um,Surface,Displacement Delta,1,1000067262,67262,
0,0,0,um,Surface,Displacement Delta,1,1000067263,67263,
0,0,0,um,Surface,Displacement Delta,1,1000067264,67264,
0,0,0,um,Surface,Displacement Delta,1,1000067265,67265,
0,0,0,um,Surface,Displacement Delta,1,1000067266,67266,
0,0,0,um,Surface,Displacement Delta,1,1000067267,67267,
0,0,0,um,Surface,Displacement Delta,1,1000067268,67268,
0,0,0,um,Surface,Displacement Delta,1,1000067269,67269,
0,0,0,um,Surface,Displacement Delta,1,1000067270,67270,
0,0,0,um,Surface,Displacement Delta,1,1000067271,67271,
0,0,0,um,Surface,Displacement Delta,1,1000067272,67272,
0,0,0,um,Surface,Displacement Delta,1,1000067273,67273,
0,0,0,um,Surface,Displacement Delta,1,1000067274,67274,
0,0,0,um,Surface,Displacement Delta,1,1000067275,67275,
0,0,0,um,Surface,Displacement Delta,1,1000067276,67276,
0,0,0,um,Surface,Displacement Delta,1,1000067277,67277,
0,0,0,um,Surface,Displacement Delta,1,1000067278,67278,
0,0,0,um,Surface,Displacement Delta,1,1000067279,67279,
0,0,0,um,Surface,Displacement Delta,1,1000067280,67280,
0,0,0,um,Surface,Displacement Delta,1,1000067281,67281,
0,0,0,um,Surface,Displacement Delta,1,1000067282,67282,
0,0,0,um,Surface,Displacement Delta,1,1000067283,67283,
0,0,0,um,Surface,Displacement Delta,1,1000067284,67284,
0,0,0,um,Surface,Displacement Delta,1,1000067285,67285,
0,0,0,um,Surface,Displacement Delta,1,1000067286,67286,
2.58325,-1.35916,0.720949,um,Surface,Displacement Delta,2,1000067198,67287,
1.83972,-7.02789,3.33518,um,Surface,Displacement Delta,2,1000067191,67288,
-0.723938,-0.300354,-1.19007,um,Surface,Displacement Delta,2,1000067192,67289,
1.3027,0.28186,0.497957,um,Surface,Displacement Delta,2,1000067194,67290,
2.29694,-0.0725098,0.229616,um,Surface,Displacement Delta,2,1000067171,67291,
4.11749,-11.8048,-0.863791,um,Surface,Displacement Delta,2,1000067172,67292,
3.41928,-0.0959473,0.424864,um,Surface,Displacement Delta,2,1000067170,67293,
0.246094,-0.116821,0.745028,um,Surface,Displacement Delta,2,1000067173,67294,
0.416809,-6.38602,-0.413849,um,Surface,Displacement Delta,2,1000067174,67295,
5.76172,-0.0198975,-1.17891,um,Surface,Displacement Delta,2,1000067175,67296,
1.41864,-2.04868,-0.0408821,um,Surface,Displacement Delta,2,1000067176,67297,
0.435059,-3.32489,0.125439,um,Surface,Displacement Delta,2,1000067177,67298,
0.191528,0.547485,-0.375791,um,Surface,Displacement Delta,2,1000067178,67299,
-6.57886,-5.56671,2.43571,um,Surface,Displacement Delta,2,1000067181,67300,
1.35449,-0.547028,-0.388235,um,Surface,Displacement Delta,2,1000067180,67301,
0.0690308,-0.921875,-0.00107193,um,Surface,Displacement Delta,2,1000067179,67302,
2.10291,-2.13541,0.283662,um,Surface,Displacement Delta,2,1000067182,67303,
1.65277,-9.51514,0.424909,um,Surface,Displacement Delta,2,1000067184,67304,
-6.84869,1.97937,-0.158905,um,Surface,Displacement Delta,2,1000067183,67305,
0,0,0,um,Surface,Displacement Delta,2,1000067306,67306,
2.5303,0.253052,-0.235714,um,Surface,Displacement Delta,2,1000067185,67307,
-1.15131,-0.177185,1.375,um,Surface,Displacement Delta,2,1000067186,67308,
0,0,0,um,Surface,Displacement Delta,2,1000067309,67309,
2.33032,-0.603943,-0.13915,um,Surface,Displacement Delta,2,1000067187,67310,
2.31726,0,-9.53674e-07,um,Surface,Displacement Delta,2,1000067188,67311,
1.61029,0,-0.25,um,Surface,Displacement Delta,2,1000067189,67312,
