
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,TrackID,ID,
0.453747,,Surface,1,1000067170,67170,
0.413109,,Surface,1,1000067171,67171,
0.428128,,Surface,1,1000067172,67172,
0.318211,,Surface,1,1000067173,67173,
0.464505,,Surface,1,1000067174,67174,
0.377965,,Surface,1,1000067175,67175,
0.716532,,Surface,1,1000067176,67176,
0.576286,,Surface,1,1000067177,67177,
0.397939,,Surface,1,1000067178,67178,
0.530516,,Surface,1,1000067179,67179,
0.429567,,Surface,1,1000067180,67180,
0.427375,,Surface,1,1000067181,67181,
0.569282,,Surface,1,1000067182,67182,
0.34547,,Surface,1,1000067183,67183,
0.344241,,Surface,1,1000067184,67184,
0.278253,,Surface,1,1000067185,67185,
0.222708,,Surface,1,1000067186,67186,
0.362518,,Surface,1,1000067187,67187,
0.413933,,Surface,1,1000067188,67188,
0.283883,,Surface,1,1000067189,67189,
0.703677,,Surface,1,1000067190,67190,
0.548724,,Surface,1,1000067191,67191,
0.489187,,Surface,1,1000067192,67192,
0.532427,,Surface,1,1000067193,67193,
0.519361,,Surface,1,1000067194,67194,
0.367978,,Surface,1,1000067195,67195,
0.241175,,Surface,1,1000067196,67196,
0.277282,,Surface,1,1000067197,67197,
0.522892,,Surface,1,1000067198,67198,
0.416715,,Surface,1,1000067199,67199,
0.441099,,Surface,1,1000067200,67200,
0.472662,,Surface,1,1000067201,67201,
0.292581,,Surface,1,1000067202,67202,
0.278243,,Surface,1,1000067203,67203,
0.640332,,Surface,1,1000067204,67204,
0.243147,,Surface,1,1000067205,67205,
0.665316,,Surface,1,1000067206,67206,
0.47608,,Surface,1,1000067207,67207,
0.339533,,Surface,1,1000067208,67208,
0.778319,,Surface,1,1000067209,67209,
0.458468,,Surface,1,1000067210,67210,
0.272314,,Surface,1,1000067211,67211,
0.539789,,Surface,1,1000067212,67212,
0.342172,,Surface,1,1000067213,67213,
0.659386,,Surface,1,1000067214,67214,
0.690825,,Surface,1,1000067215,67215,
0.126608,,Surface,1,1000067216,67216,
0.399263,,Surface,1,1000067217,67217,
0.416454,,Surface,1,1000067218,67218,
0.563605,,Surface,1,1000067219,67219,
0.555745,,Surface,1,1000067220,67220,
0.407571,,Surface,1,1000067221,67221,
0.816314,,Surface,1,1000067222,67222,
0.625519,,Surface,1,1000067223,67223,
0.201888,,Surface,1,1000067224,67224,
0.170119,,Surface,1,1000067225,67225,
0.542606,,Surface,1,1000067226,67226,
0.383901,,Surface,1,1000067227,67227,
0.363669,,Surface,1,1000067228,67228,
0.43297,,Surface,1,1000067229,67229,
0.372652,,Surface,1,1000067230,67230,
0.603799,,Surface,1,1000067231,67231,
0.613122,,Surface,1,1000067232,67232,
