
Displacement^2
 ==================== 
Displacement^2,Unit,Category,Time,TrackID,ID,
0,um^2,Surface,1,1000224458,224458,
0,um^2,Surface,1,1000224459,224459,
0,um^2,Surface,1,1000224460,224460,
0,um^2,Surface,1,1000224461,224461,
0,um^2,Surface,1,1000224462,224462,
0,um^2,Surface,1,1000224463,224463,
0,um^2,Surface,1,1000224464,224464,
0,um^2,Surface,1,1000224465,224465,
0,um^2,Surface,1,1000224466,224466,
0,um^2,Surface,1,1000224467,224467,
0,um^2,Surface,1,1000224468,224468,
0,um^2,Surface,1,1000224469,224469,
0,um^2,Surface,1,1000224470,224470,
0,um^2,Surface,1,1000224471,224471,
0,um^2,Surface,1,1000224472,224472,
0,um^2,Surface,1,1000224473,224473,
0,um^2,Surface,1,1000224474,224474,
0,um^2,Surface,1,1000224475,224475,
0,um^2,Surface,1,1000224476,224476,
0,um^2,Surface,1,1000224477,224477,
0,um^2,Surface,1,1000224478,224478,
0,um^2,Surface,1,1000224479,224479,
0,um^2,Surface,1,1000224480,224480,
0,um^2,Surface,1,1000224481,224481,
0,um^2,Surface,1,1000224482,224482,
0,um^2,Surface,1,1000224483,224483,
0,um^2,Surface,1,1000224484,224484,
0,um^2,Surface,1,1000224485,224485,
0,um^2,Surface,1,1000224486,224486,
0,um^2,Surface,1,1000224487,224487,
0,um^2,Surface,1,1000224488,224488,
0,um^2,Surface,1,1000224489,224489,
0,um^2,Surface,1,1000224490,224490,
0,um^2,Surface,1,1000224491,224491,
0,um^2,Surface,1,1000224492,224492,
0,um^2,Surface,1,1000224493,224493,
0,um^2,Surface,1,1000224494,224494,
0,um^2,Surface,1,1000224495,224495,
0,um^2,Surface,1,1000224496,224496,
0,um^2,Surface,1,1000224497,224497,
0,um^2,Surface,1,1000224498,224498,
0,um^2,Surface,1,1000224499,224499,
0,um^2,Surface,1,1000224500,224500,
0,um^2,Surface,1,1000224501,224501,
0,um^2,Surface,1,1000224502,224502,
0,um^2,Surface,1,1000224503,224503,
0,um^2,Surface,1,1000224504,224504,
0,um^2,Surface,1,1000224505,224505,
0,um^2,Surface,1,1000224506,224506,
0,um^2,Surface,1,1000224507,224507,
0,um^2,Surface,1,1000224508,224508,
0,um^2,Surface,1,1000224509,224509,
0,um^2,Surface,1,1000224510,224510,
0,um^2,Surface,1,1000224511,224511,
0,um^2,Surface,1,1000224512,224512,
0,um^2,Surface,1,1000224513,224513,
0,um^2,Surface,1,1000224514,224514,
0,um^2,Surface,1,1000224515,224515,
0,um^2,Surface,1,1000224516,224516,
0,um^2,Surface,1,1000224517,224517,
0,um^2,Surface,1,1000224518,224518,
0,um^2,Surface,1,1000224519,224519,
0,um^2,Surface,1,1000224520,224520,
0,um^2,Surface,1,1000224521,224521,
0,um^2,Surface,1,1000224522,224522,
0,um^2,Surface,1,1000224523,224523,
0,um^2,Surface,1,1000224524,224524,
0,um^2,Surface,1,1000224525,224525,
0,um^2,Surface,1,1000224526,224526,
0,um^2,Surface,1,1000224527,224527,
0,um^2,Surface,1,1000224528,224528,
0,um^2,Surface,1,1000224529,224529,
0,um^2,Surface,1,1000224530,224530,
0,um^2,Surface,1,1000224531,224531,
0,um^2,Surface,1,1000224532,224532,
0,um^2,Surface,1,1000224533,224533,
0,um^2,Surface,1,1000224534,224534,
0,um^2,Surface,1,1000224535,224535,
0,um^2,Surface,1,1000224536,224536,
0,um^2,Surface,1,1000224537,224537,
0,um^2,Surface,1,1000224538,224538,
0,um^2,Surface,1,1000224539,224539,
0,um^2,Surface,1,1000224540,224540,
0,um^2,Surface,1,1000224541,224541,
0,um^2,Surface,1,1000224542,224542,
0,um^2,Surface,1,1000224543,224543,
0,um^2,Surface,1,1000224544,224544,
0,um^2,Surface,1,1000224545,224545,
0,um^2,Surface,1,1000224546,224546,
0,um^2,Surface,1,1000224547,224547,
0,um^2,Surface,1,1000224548,224548,
0,um^2,Surface,1,1000224549,224549,
0,um^2,Surface,1,1000224550,224550,
0,um^2,Surface,1,1000224551,224551,
0,um^2,Surface,1,1000224552,224552,
0,um^2,Surface,1,1000224553,224553,
0,um^2,Surface,1,1000224554,224554,
0,um^2,Surface,1,1000224555,224555,
0,um^2,Surface,1,1000224556,224556,
0,um^2,Surface,1,1000224557,224557,
0,um^2,Surface,1,1000224558,224558,
0,um^2,Surface,1,1000224559,224559,
0,um^2,Surface,1,1000224560,224560,
0,um^2,Surface,1,1000224561,224561,
0,um^2,Surface,1,1000224562,224562,
0,um^2,Surface,1,1000224563,224563,
0,um^2,Surface,1,1000224564,224564,
0,um^2,Surface,1,1000224565,224565,
0,um^2,Surface,1,1000224566,224566,
0,um^2,Surface,1,1000224567,224567,
0,um^2,Surface,1,1000224568,224568,
0,um^2,Surface,1,1000224569,224569,
0,um^2,Surface,1,1000224570,224570,
0,um^2,Surface,1,1000224571,224571,
0,um^2,Surface,1,1000224572,224572,
0,um^2,Surface,1,1000224573,224573,
0,um^2,Surface,1,1000224574,224574,
0,um^2,Surface,1,1000224575,224575,
1.03779,um^2,Surface,2,1000224466,224576,
4.74964,um^2,Surface,2,1000224467,224577,
1.15451,um^2,Surface,2,1000224458,224578,
5.07803,um^2,Surface,2,1000224459,224579,
5.52502,um^2,Surface,2,1000224461,224580,
90.1243,um^2,Surface,2,1000224460,224581,
1.71458,um^2,Surface,2,1000224462,224582,
119.243,um^2,Surface,2,1000224463,224583,
1.28617,um^2,Surface,2,1000224468,224584,
1.9332,um^2,Surface,2,1000224470,224585,
8.22911,um^2,Surface,2,1000224464,224586,
6.90242,um^2,Surface,2,1000224465,224587,
10.4626,um^2,Surface,2,1000224471,224588,
26.4033,um^2,Surface,2,1000224473,224589,
27.2114,um^2,Surface,2,1000224469,224590,
42.1289,um^2,Surface,2,1000224474,224591,
9.09697,um^2,Surface,2,1000224475,224592,
0.114523,um^2,Surface,2,1000224472,224593,
70.1764,um^2,Surface,2,1000224477,224594,
2.43363,um^2,Surface,2,1000224478,224595,
4.45683,um^2,Surface,2,1000224479,224596,
0.660212,um^2,Surface,2,1000224480,224597,
2.99046,um^2,Surface,2,1000224476,224598,
15.2916,um^2,Surface,2,1000224482,224599,
11.7141,um^2,Surface,2,1000224483,224600,
3.47146,um^2,Surface,2,1000224484,224601,
2.38808,um^2,Surface,2,1000224481,224602,
1.93688,um^2,Surface,2,1000224486,224603,
1.1028,um^2,Surface,2,1000224485,224604,
9.78586,um^2,Surface,2,1000224491,224605,
2.71471,um^2,Surface,2,1000224489,224606,
20.287,um^2,Surface,2,1000224488,224607,
2.11132,um^2,Surface,2,1000224493,224608,
1.15277,um^2,Surface,2,1000224490,224609,
41.6411,um^2,Surface,2,1000224487,224610,
10.3134,um^2,Surface,2,1000224494,224611,
2.72057,um^2,Surface,2,1000224495,224612,
12.0417,um^2,Surface,2,1000224496,224613,
3.87419,um^2,Surface,2,1000224492,224614,
0.609222,um^2,Surface,2,1000224502,224615,
6.33767,um^2,Surface,2,1000224497,224616,
1.50086,um^2,Surface,2,1000224499,224617,
