
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,um,Surface,Displacement Delta,1,1000081133,81133,
0,0,0,um,Surface,Displacement Delta,1,1000081134,81134,
0,0,0,um,Surface,Displacement Delta,1,1000081135,81135,
0,0,0,um,Surface,Displacement Delta,1,1000081136,81136,
0,0,0,um,Surface,Displacement Delta,1,1000081137,81137,
0,0,0,um,Surface,Displacement Delta,1,1000081138,81138,
0,0,0,um,Surface,Displacement Delta,1,1000081139,81139,
0,0,0,um,Surface,Displacement Delta,1,1000081140,81140,
0,0,0,um,Surface,Displacement Delta,1,1000081141,81141,
0,0,0,um,Surface,Displacement Delta,1,1000081142,81142,
0,0,0,um,Surface,Displacement Delta,1,1000081143,81143,
0,0,0,um,Surface,Displacement Delta,1,1000081144,81144,
0,0,0,um,Surface,Displacement Delta,1,1000081145,81145,
0,0,0,um,Surface,Displacement Delta,1,1000081146,81146,
0,0,0,um,Surface,Displacement Delta,1,1000081147,81147,
0,0,0,um,Surface,Displacement Delta,1,1000081148,81148,
0,0,0,um,Surface,Displacement Delta,1,1000081149,81149,
0,0,0,um,Surface,Displacement Delta,1,1000081150,81150,
0,0,0,um,Surface,Displacement Delta,1,1000081151,81151,
0,0,0,um,Surface,Displacement Delta,1,1000081152,81152,
0,0,0,um,Surface,Displacement Delta,1,1000081153,81153,
0,0,0,um,Surface,Displacement Delta,1,1000081154,81154,
0,0,0,um,Surface,Displacement Delta,1,1000081155,81155,
0,0,0,um,Surface,Displacement Delta,1,1000081156,81156,
0,0,0,um,Surface,Displacement Delta,1,1000081157,81157,
0,0,0,um,Surface,Displacement Delta,1,1000081158,81158,
0,0,0,um,Surface,Displacement Delta,1,1000081159,81159,
17.7167,3.62122,0.774075,um,Surface,Displacement Delta,2,1000081053,81160,
0.151123,-0.543121,-0.171516,um,Surface,Displacement Delta,2,1000081034,81161,
3.38123,-0.136047,-0.186203,um,Surface,Displacement Delta,2,1000081035,81162,
0.13623,0.0210571,-0.119692,um,Surface,Displacement Delta,2,1000081036,81163,
4.65198,-2.21289,-4.32041,um,Surface,Displacement Delta,2,1000081038,81164,
1.03278,0.109344,0.0626783,um,Surface,Displacement Delta,2,1000081039,81165,
-0.506897,-20.6788,-2.01309,um,Surface,Displacement Delta,2,1000081042,81166,
14.449,-2.03683,1.46136,um,Surface,Displacement Delta,2,1000081037,81167,
0.899292,-6.57068,0.977735,um,Surface,Displacement Delta,2,1000081041,81168,
0.0236816,0.00396729,-0.168004,um,Surface,Displacement Delta,2,1000081040,81169,
1.12238,5.58282,4.31989,um,Surface,Displacement Delta,2,1000081043,81170,
0.63446,0.187347,0.322209,um,Surface,Displacement Delta,2,1000081044,81171,
3.83575,2.0632,0.152942,um,Surface,Displacement Delta,2,1000081045,81172,
2.35767,0.926025,0.11979,um,Surface,Displacement Delta,2,1000081047,81173,
0.809753,0.151794,0.188572,um,Surface,Displacement Delta,2,1000081048,81174,
-0.851379,-0.0966187,-0.0531254,um,Surface,Displacement Delta,2,1000081050,81175,
-0.457092,6.10352e-05,0.212903,um,Surface,Displacement Delta,2,1000081051,81176,
0.134949,-3.64374,0.251429,um,Surface,Displacement Delta,2,1000081052,81177,
-2.50647,0.622864,0.535254,um,Surface,Displacement Delta,2,1000081054,81178,
0.0333862,0.293396,0.33,um,Surface,Displacement Delta,2,1000081032,81179,
-1.28143,3.41891,0.169754,um,Surface,Displacement Delta,2,1000081033,81180,
4.97864,-0.317963,1.333,um,Surface,Displacement Delta,2,1000081057,81181,
0.354248,-0.715027,-0.0248003,um,Surface,Displacement Delta,2,1000081058,81182,
2.96863,3.69543,-1.40068,um,Surface,Displacement Delta,2,1000081055,81183,
-0.392517,-2.82877,0.542549,um,Surface,Displacement Delta,2,1000081056,81184,
1.31323,-0.280273,-1.18703,um,Surface,Displacement Delta,2,1000081060,81185,
0,0,0,um,Surface,Displacement Delta,2,1000081186,81186,
1.62189,0.31604,-0.465881,um,Surface,Displacement Delta,2,1000081061,81187,
0,0,0,um,Surface,Displacement Delta,2,1000081188,81188,
3.09641,0.166504,0.113769,um,Surface,Displacement Delta,2,1000081059,81189,
-0.964539,-2.87845,0.417254,um,Surface,Displacement Delta,2,1000081069,81190,
-0.2323,-0.11615,0.198361,um,Surface,Displacement Delta,2,1000081066,81191,
1.65707,0.0293579,0.389971,um,Surface,Displacement Delta,2,1000081062,81192,
-16.2537,0.592224,0.928019,um,Surface,Displacement Delta,2,1000081064,81193,
3.15366,-3.10184,1.31642,um,Surface,Displacement Delta,2,1000081065,81194,
0.461853,3.56628,-0.733335,um,Surface,Displacement Delta,2,1000081068,81195,
3.36624,0.175476,0.50289,um,Surface,Displacement Delta,2,1000081071,81196,
2.09589,-0.389587,0.300085,um,Surface,Displacement Delta,2,1000081067,81197,
-3.14636,-1.92719,0.101766,um,Surface,Displacement Delta,2,1000081073,81198,
0.356567,-0.515808,-1.34128,um,Surface,Displacement Delta,2,1000081074,81199,
-0.317657,0.159058,0.247776,um,Surface,Displacement Delta,2,1000081070,81200,
0.262482,0.360901,-0.175873,um,Surface,Displacement Delta,2,1000081072,81201,
0.780273,8.20966,0.378607,um,Surface,Displacement Delta,2,1000081078,81202,
-0.235535,-0.100266,0.154672,um,Surface,Displacement Delta,2,1000081080,81203,
-2.72922,2.2923,0.13703,um,Surface,Displacement Delta,2,1000081075,81204,
1.30966,-0.0290222,-0.0957603,um,Surface,Displacement Delta,2,1000081086,81205,
-0.276764,0.873291,-0.410591,um,Surface,Displacement Delta,2,1000081081,81206,
-0.465668,0.0159912,-0.335878,um,Surface,Displacement Delta,2,1000081077,81207,
-3.92021,-0.0817261,-0.194906,um,Surface,Displacement Delta,2,1000081085,81208,
-1.82152,-1.20923,-0.490009,um,Surface,Displacement Delta,2,1000081079,81209,
0.210999,0.090065,0.21414,um,Surface,Displacement Delta,2,1000081082,81210,
0.455475,-0.910889,1.12095,um,Surface,Displacement Delta,2,1000081088,81211,
1.67804,-0.405792,-0.660682,um,Surface,Displacement Delta,2,1000081084,81212,
-0.44281,-7.25092,-1.13437,um,Surface,Displacement Delta,2,1000081083,81213,
-0.472008,-0.687073,0.602882,um,Surface,Displacement Delta,2,1000081091,81214,
2.8694,-0.141724,1.067,um,Surface,Displacement Delta,2,1000081092,81215,
2.23468,0.376678,-0.0335131,um,Surface,Displacement Delta,2,1000081093,81216,
0.784424,-0.0462036,-0.0293789,um,Surface,Displacement Delta,2,1000081090,81217,
-10.1412,8.07568,1.03416,um,Surface,Displacement Delta,2,1000081087,81218,
1.58301,0.0640259,0.0569878,um,Surface,Displacement Delta,2,1000081095,81219,
-4.63717,-4.82617,0.088975,um,Surface,Displacement Delta,2,1000081089,81220,
5.04819,4.58725,0.351026,um,Surface,Displacement Delta,2,1000081096,81221,
1.71667,-0.0999146,0.0451298,um,Surface,Displacement Delta,2,1000081099,81222,
0,0,0,um,Surface,Displacement Delta,2,1000081223,81223,
4.34488,0.121063,-0.483076,um,Surface,Displacement Delta,2,1000081094,81224,
-1.96804,0,-0.244444,um,Surface,Displacement Delta,2,1000081100,81225,
-0.303101,0.203262,0.56747,um,Surface,Displacement Delta,2,1000081101,81226,
-2.46191,1.62183,0.786057,um,Surface,Displacement Delta,2,1000081098,81227,
-0.298019,18.6739,0.298572,um,Surface,Displacement Delta,2,1000081106,81228,
