
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,TrackID,ID,
0.946744,,Surface,1,1000081032,81032,
0.840131,,Surface,1,1000081033,81033,
0.911191,,Surface,1,1000081034,81034,
0.895691,,Surface,1,1000081035,81035,
0.953175,,Surface,1,1000081036,81036,
0.854371,,Surface,1,1000081037,81037,
0.895224,,Surface,1,1000081038,81038,
0.947238,,Surface,1,1000081039,81039,
0.909263,,Surface,1,1000081040,81040,
0.942254,,Surface,1,1000081041,81041,
0.845218,,Surface,1,1000081042,81042,
0.886617,,Surface,1,1000081043,81043,
0.93121,,Surface,1,1000081044,81044,
0.949376,,Surface,1,1000081045,81045,
0.874358,,Surface,1,1000081046,81046,
0.903237,,Surface,1,1000081047,81047,
0.904358,,Surface,1,1000081048,81048,
0.877513,,Surface,1,1000081049,81049,
0.938666,,Surface,1,1000081050,81050,
0.9534,,Surface,1,1000081051,81051,
0.911147,,Surface,1,1000081052,81052,
0.861459,,Surface,1,1000081053,81053,
0.879745,,Surface,1,1000081054,81054,
0.929744,,Surface,1,1000081055,81055,
0.821797,,Surface,1,1000081056,81056,
0.885957,,Surface,1,1000081057,81057,
0.894664,,Surface,1,1000081058,81058,
0.89051,,Surface,1,1000081059,81059,
0.894114,,Surface,1,1000081060,81060,
0.948444,,Surface,1,1000081061,81061,
0.928613,,Surface,1,1000081062,81062,
0.873158,,Surface,1,1000081063,81063,
0.926307,,Surface,1,1000081064,81064,
0.845453,,Surface,1,1000081065,81065,
0.925571,,Surface,1,1000081066,81066,
0.913138,,Surface,1,1000081067,81067,
0.89279,,Surface,1,1000081068,81068,
0.882685,,Surface,1,1000081069,81069,
0.882241,,Surface,1,1000081070,81070,
0.948377,,Surface,1,1000081071,81071,
0.90932,,Surface,1,1000081072,81072,
0.941799,,Surface,1,1000081073,81073,
0.875871,,Surface,1,1000081074,81074,
0.75912,,Surface,1,1000081075,81075,
0.879276,,Surface,1,1000081076,81076,
0.945936,,Surface,1,1000081077,81077,
0.887085,,Surface,1,1000081078,81078,
0.949651,,Surface,1,1000081079,81079,
0.958249,,Surface,1,1000081080,81080,
0.912629,,Surface,1,1000081081,81081,
0.909221,,Surface,1,1000081082,81082,
0.952548,,Surface,1,1000081083,81083,
0.929267,,Surface,1,1000081084,81084,
0.92037,,Surface,1,1000081085,81085,
0.952555,,Surface,1,1000081086,81086,
0.935062,,Surface,1,1000081087,81087,
0.955371,,Surface,1,1000081088,81088,
0.837626,,Surface,1,1000081089,81089,
0.951056,,Surface,1,1000081090,81090,
0.863889,,Surface,1,1000081091,81091,
0.876019,,Surface,1,1000081092,81092,
0.864606,,Surface,1,1000081093,81093,
0.928066,,Surface,1,1000081094,81094,
0.952731,,Surface,1,1000081095,81095,
0.889956,,Surface,1,1000081096,81096,
0.913929,,Surface,1,1000081097,81097,
0.905542,,Surface,1,1000081098,81098,
0.935555,,Surface,1,1000081099,81099,
0.922782,,Surface,1,1000081100,81100,
0.942225,,Surface,1,1000081101,81101,
0.894312,,Surface,1,1000081102,81102,
0.940905,,Surface,1,1000081103,81103,
0.861602,,Surface,1,1000081104,81104,
0.941895,,Surface,1,1000081105,81105,
0.903335,,Surface,1,1000081106,81106,
0.852132,,Surface,1,1000081107,81107,
0.744253,,Surface,1,1000081108,81108,
0.931465,,Surface,1,1000081109,81109,
0.905495,,Surface,1,1000081110,81110,
0.792144,,Surface,1,1000081111,81111,
0.944367,,Surface,1,1000081112,81112,
0.901642,,Surface,1,1000081113,81113,
0.784977,,Surface,1,1000081114,81114,
0.88477,,Surface,1,1000081115,81115,
0.839441,,Surface,1,1000081116,81116,
0.842648,,Surface,1,1000081117,81117,
0.885795,,Surface,1,1000081118,81118,
0.918276,,Surface,1,1000081119,81119,
0.824969,,Surface,1,1000081120,81120,
0.923827,,Surface,1,1000081121,81121,
0.909406,,Surface,1,1000081122,81122,
0.949475,,Surface,1,1000081123,81123,
0.926172,,Surface,1,1000081124,81124,
0.914689,,Surface,1,1000081125,81125,
0.839122,,Surface,1,1000081126,81126,
0.838993,,Surface,1,1000081127,81127,
0.951578,,Surface,1,1000081128,81128,
0.879686,,Surface,1,1000081129,81129,
0.942608,,Surface,1,1000081130,81130,
0.871403,,Surface,1,1000081131,81131,
0.942779,,Surface,1,1000081132,81132,
0.800809,,Surface,1,1000081133,81133,
0.882519,,Surface,1,1000081134,81134,
0.962434,,Surface,1,1000081135,81135,
0.815823,,Surface,1,1000081136,81136,
0.857823,,Surface,1,1000081137,81137,
0.913809,,Surface,1,1000081138,81138,
0.922393,,Surface,1,1000081139,81139,
0.811227,,Surface,1,1000081140,81140,
0.91674,,Surface,1,1000081141,81141,
