
Volume
 ==================== 
Volume,Unit,Category,Time,TrackID,ID,
787.1,um^3,Surface,1,1000081032,81032,
561.038,um^3,Surface,1,1000081033,81033,
844.135,um^3,Surface,1,1000081034,81034,
208.771,um^3,Surface,1,1000081035,81035,
1392.37,um^3,Surface,1,1000081036,81036,
1594.95,um^3,Surface,1,1000081037,81037,
1906.86,um^3,Surface,1,1000081038,81038,
1145.2,um^3,Surface,1,1000081039,81039,
608.544,um^3,Surface,1,1000081040,81040,
1329.24,um^3,Surface,1,1000081041,81041,
559.932,um^3,Surface,1,1000081042,81042,
904.285,um^3,Surface,1,1000081043,81043,
752.522,um^3,Surface,1,1000081044,81044,
1645.82,um^3,Surface,1,1000081045,81045,
1955.67,um^3,Surface,1,1000081046,81046,
1761.37,um^3,Surface,1,1000081047,81047,
432.15,um^3,Surface,1,1000081048,81048,
605.349,um^3,Surface,1,1000081049,81049,
424.748,um^3,Surface,1,1000081050,81050,
743.06,um^3,Surface,1,1000081051,81051,
700.222,um^3,Surface,1,1000081052,81052,
1260.73,um^3,Surface,1,1000081053,81053,
1315.3,um^3,Surface,1,1000081054,81054,
1095.78,um^3,Surface,1,1000081055,81055,
1484.31,um^3,Surface,1,1000081056,81056,
669.227,um^3,Surface,1,1000081057,81057,
756.013,um^3,Surface,1,1000081058,81058,
1765.98,um^3,Surface,1,1000081059,81059,
1475.13,um^3,Surface,1,1000081060,81060,
1184.67,um^3,Surface,1,1000081061,81061,
1250.28,um^3,Surface,1,1000081062,81062,
163.873,um^3,Surface,1,1000081063,81063,
457.856,um^3,Surface,1,1000081064,81064,
462.612,um^3,Surface,1,1000081065,81065,
897.251,um^3,Surface,1,1000081066,81066,
723.672,um^3,Surface,1,1000081067,81067,
1460.25,um^3,Surface,1,1000081068,81068,
1504.21,um^3,Surface,1,1000081069,81069,
1097.28,um^3,Surface,1,1000081070,81070,
1501.26,um^3,Surface,1,1000081071,81071,
1216.65,um^3,Surface,1,1000081072,81072,
759.681,um^3,Surface,1,1000081073,81073,
981.663,um^3,Surface,1,1000081074,81074,
1705.39,um^3,Surface,1,1000081075,81075,
151.154,um^3,Surface,1,1000081076,81076,
1156.43,um^3,Surface,1,1000081077,81077,
1021.87,um^3,Surface,1,1000081078,81078,
1156.64,um^3,Surface,1,1000081079,81079,
1521.69,um^3,Surface,1,1000081080,81080,
1152.05,um^3,Surface,1,1000081081,81081,
894.448,um^3,Surface,1,1000081082,81082,
605.615,um^3,Surface,1,1000081083,81083,
216.511,um^3,Surface,1,1000081084,81084,
828.254,um^3,Surface,1,1000081085,81085,
797.372,um^3,Surface,1,1000081086,81086,
707.723,um^3,Surface,1,1000081087,81087,
955.883,um^3,Surface,1,1000081088,81088,
1527.11,um^3,Surface,1,1000081089,81089,
1496.56,um^3,Surface,1,1000081090,81090,
862.08,um^3,Surface,1,1000081091,81091,
299.911,um^3,Surface,1,1000081092,81092,
653.761,um^3,Surface,1,1000081093,81093,
1000.41,um^3,Surface,1,1000081094,81094,
1376.7,um^3,Surface,1,1000081095,81095,
1340.28,um^3,Surface,1,1000081096,81096,
653.626,um^3,Surface,1,1000081097,81097,
1412.72,um^3,Surface,1,1000081098,81098,
863.976,um^3,Surface,1,1000081099,81099,
217.585,um^3,Surface,1,1000081100,81100,
841.869,um^3,Surface,1,1000081101,81101,
1021.7,um^3,Surface,1,1000081102,81102,
1038.62,um^3,Surface,1,1000081103,81103,
628.495,um^3,Surface,1,1000081104,81104,
1097.99,um^3,Surface,1,1000081105,81105,
893.715,um^3,Surface,1,1000081106,81106,
978.828,um^3,Surface,1,1000081107,81107,
457.404,um^3,Surface,1,1000081108,81108,
794.885,um^3,Surface,1,1000081109,81109,
550.884,um^3,Surface,1,1000081110,81110,
3144.79,um^3,Surface,1,1000081111,81111,
1240.05,um^3,Surface,1,1000081112,81112,
506.063,um^3,Surface,1,1000081113,81113,
436.37,um^3,Surface,1,1000081114,81114,
1028.41,um^3,Surface,1,1000081115,81115,
459.687,um^3,Surface,1,1000081116,81116,
1245.8,um^3,Surface,1,1000081117,81117,
1368.01,um^3,Surface,1,1000081118,81118,
484.069,um^3,Surface,1,1000081119,81119,
1840.43,um^3,Surface,1,1000081120,81120,
485.995,um^3,Surface,1,1000081121,81121,
899.551,um^3,Surface,1,1000081122,81122,
1251.74,um^3,Surface,1,1000081123,81123,
856.881,um^3,Surface,1,1000081124,81124,
401.737,um^3,Surface,1,1000081125,81125,
595.821,um^3,Surface,1,1000081126,81126,
1118.29,um^3,Surface,1,1000081127,81127,
1468.04,um^3,Surface,1,1000081128,81128,
1303.91,um^3,Surface,1,1000081129,81129,
949.603,um^3,Surface,1,1000081130,81130,
1949.25,um^3,Surface,1,1000081131,81131,
775.666,um^3,Surface,1,1000081132,81132,
1366.17,um^3,Surface,1,1000081133,81133,
934.844,um^3,Surface,1,1000081134,81134,
1557.01,um^3,Surface,1,1000081135,81135,
2327.11,um^3,Surface,1,1000081136,81136,
851.58,um^3,Surface,1,1000081137,81137,
1107.76,um^3,Surface,1,1000081138,81138,
580.135,um^3,Surface,1,1000081139,81139,
536.322,um^3,Surface,1,1000081140,81140,
981.76,um^3,Surface,1,1000081141,81141,
1053.96,um^3,Surface,1,1000081142,81142,
647.425,um^3,Surface,1,1000081143,81143,
971.504,um^3,Surface,1,1000081144,81144,
2803.32,um^3,Surface,1,1000081145,81145,
620.317,um^3,Surface,1,1000081146,81146,
848.919,um^3,Surface,1,1000081147,81147,
1308,um^3,Surface,1,1000081148,81148,
1324.93,um^3,Surface,1,1000081149,81149,
723.288,um^3,Surface,1,1000081150,81150,
2390.71,um^3,Surface,1,1000081151,81151,
1554.87,um^3,Surface,1,1000081152,81152,
1511.85,um^3,Surface,1,1000081153,81153,
785.037,um^3,Surface,1,1000081154,81154,
609.822,um^3,Surface,1,1000081155,81155,
2197.42,um^3,Surface,1,1000081156,81156,
839.44,um^3,Surface,1,1000081157,81157,
294.91,um^3,Surface,1,1000081158,81158,
815.971,um^3,Surface,1,1000081159,81159,
1088.43,um^3,Surface,2,1000081053,81160,
1250.08,um^3,Surface,2,1000081034,81161,
467.329,um^3,Surface,2,1000081035,81162,
1316.17,um^3,Surface,2,1000081036,81163,
2018.73,um^3,Surface,2,1000081038,81164,
1069.84,um^3,Surface,2,1000081039,81165,
1068.45,um^3,Surface,2,1000081042,81166,
1520.18,um^3,Surface,2,1000081037,81167,
880.906,um^3,Surface,2,1000081041,81168,
