"","cluster","engagement","frec","total_n","cluster_prop"
"1","6","never-engaged",6,13,46.1538461538462
"2","6","non-engaged",6,14,42.8571428571429
"3","7","never-engaged",4,13,30.7692307692308
"4","7","non-engaged",4,14,28.5714285714286
"5","8","never-engaged",3,13,23.0769230769231
"6","8","non-engaged",4,14,28.5714285714286
