"","cluster","engagement","frec","total_n","cluster_prop"
"1","6","never-engaged",2,9,22.2222222222222
"2","6","non-engaged",2,9,22.2222222222222
"3","8","never-engaged",6,9,66.6666666666667
"4","8","non-engaged",6,9,66.6666666666667
"5","9","engaged",1,1,100
"6","9","never-engaged",1,9,11.1111111111111
"7","9","non-engaged",1,9,11.1111111111111
"8","9","super-engaged",1,1,100
