
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
16.6481,,Surface,3,Image 1,1,1000094185,94185,
2.9619,,Surface,3,Image 1,1,1000094186,94186,
2.83333,,Surface,3,Image 1,1,1000094187,94187,
3.14286,,Surface,3,Image 1,1,1000094188,94188,
3.9759,,Surface,3,Image 1,1,1000094189,94189,
75.061,,Surface,3,Image 1,1,1000094190,94190,
19.5263,,Surface,3,Image 1,1,1000094191,94191,
6.11905,,Surface,3,Image 1,1,1000094192,94192,
2.37079,,Surface,3,Image 1,1,1000094193,94193,
2.11111,,Surface,3,Image 1,1,1000094194,94194,
3.15068,,Surface,3,Image 1,1,1000094195,94195,
7.24242,,Surface,3,Image 1,1,1000094196,94196,
7.25,,Surface,3,Image 1,1,1000094197,94197,
239.929,,Surface,3,Image 1,1,1000094198,94198,
8.80851,,Surface,3,Image 1,1,1000094199,94199,
2.49351,,Surface,3,Image 1,1,1000094200,94200,
3.11667,,Surface,3,Image 1,1,1000094201,94201,
4.36458,,Surface,3,Image 1,1,1000094202,94202,
6.43529,,Surface,3,Image 1,1,1000094203,94203,
2.30986,,Surface,3,Image 1,1,1000094204,94204,
4.15267,,Surface,3,Image 1,1,1000094205,94205,
13.25,,Surface,3,Image 1,1,1000094206,94206,
23.5854,,Surface,3,Image 1,1,1000094207,94207,
2.87143,,Surface,3,Image 1,1,1000094208,94208,
8.55435,,Surface,3,Image 1,1,1000094209,94209,
0.694656,,Surface,3,Image 1,1,1000094210,94210,
2.83333,,Surface,3,Image 1,1,1000094211,94211,
2.58182,,Surface,3,Image 1,1,1000094212,94212,
2.2561,,Surface,3,Image 1,1,1000094213,94213,
4.03191,,Surface,3,Image 1,1,1000094214,94214,
0.709302,,Surface,3,Image 1,1,1000094215,94215,
1.91026,,Surface,3,Image 1,1,1000094216,94216,
16.2353,,Surface,3,Image 1,1,1000094217,94217,
19.1951,,Surface,3,Image 1,1,1000094218,94218,
1.89535,,Surface,3,Image 1,1,1000094219,94219,
81.7193,,Surface,3,Image 1,1,1000094220,94220,
4.73684,,Surface,3,Image 1,1,1000094221,94221,
2.95181,,Surface,3,Image 1,1,1000094222,94222,
16.9901,,Surface,3,Image 1,1,1000094223,94223,
10.1494,,Surface,3,Image 1,1,1000094224,94224,
0.583333,,Surface,3,Image 1,1,1000094225,94225,
9.27679,,Surface,3,Image 1,1,1000094226,94226,
26.7031,,Surface,3,Image 1,1,1000094227,94227,
2.57377,,Surface,3,Image 1,1,1000094228,94228,
255,,Surface,3,Image 1,1,1000094229,94229,
10.1954,,Surface,3,Image 1,1,1000094230,94230,
2.89091,,Surface,3,Image 1,1,1000094231,94231,
2.03279,,Surface,3,Image 1,1,1000094232,94232,
8.26786,,Surface,3,Image 1,1,1000094233,94233,
11.5299,,Surface,3,Image 1,1,1000094234,94234,
2.39063,,Surface,3,Image 1,1,1000094235,94235,
2.95652,,Surface,3,Image 1,1,1000094236,94236,
0.647059,,Surface,3,Image 1,1,1000094237,94237,
2.07527,,Surface,3,Image 1,1,1000094238,94238,
5.06557,,Surface,3,Image 1,1,1000094239,94239,
39.8571,,Surface,3,Image 1,1,1000094240,94240,
29.6429,,Surface,3,Image 1,1,1000094241,94241,
3.07143,,Surface,3,Image 1,1,1000094242,94242,
3.07619,,Surface,3,Image 1,1,1000094243,94243,
3.14433,,Surface,3,Image 1,1,1000094244,94244,
3.34328,,Surface,3,Image 1,1,1000094245,94245,
7.11765,,Surface,3,Image 1,1,1000094246,94246,
138.75,,Surface,3,Image 1,1,1000094247,94247,
1.44776,,Surface,3,Image 1,1,1000094248,94248,
3.63636,,Surface,3,Image 1,1,1000094249,94249,
232,,Surface,3,Image 1,1,1000094250,94250,
12.6667,,Surface,3,Image 1,1,1000094251,94251,
1.93827,,Surface,3,Image 1,1,1000094252,94252,
251.789,,Surface,3,Image 1,1,1000094253,94253,
1.30769,,Surface,3,Image 1,1,1000094254,94254,
2.19608,,Surface,3,Image 1,1,1000094255,94255,
27.25,,Surface,3,Image 1,1,1000094256,94256,
2.2381,,Surface,3,Image 1,1,1000094257,94257,
2.3625,,Surface,3,Image 1,1,1000094258,94258,
1.90244,,Surface,3,Image 1,2,1000094193,94259,
13.4894,,Surface,3,Image 1,2,1000094185,94260,
2.14783,,Surface,3,Image 1,2,1000094186,94261,
2.69231,,Surface,3,Image 1,2,1000094187,94262,
6.56627,,Surface,3,Image 1,2,1000094189,94263,
36.7143,,Surface,3,Image 1,2,1000094188,94264,
64.1333,,Surface,3,Image 1,2,1000094190,94265,
27.15,,Surface,3,Image 1,2,1000094191,94266,
6.01639,,Surface,3,Image 1,2,1000094192,94267,
2.62667,,Surface,3,Image 1,2,1000094195,94268,
2.98734,,Surface,3,Image 1,2,1000094194,94269,
10.0183,,Surface,3,Image 1,2,1000094197,94270,
8.14583,,Surface,3,Image 1,2,1000094196,94271,
11.0882,,Surface,3,Image 1,2,1000094199,94272,
3.17172,,Surface,3,Image 1,2,1000094202,94273,
2.32143,,Surface,3,Image 1,2,1000094201,94274,
244.818,,Surface,3,Image 1,2,1000094198,94275,
2.48718,,Surface,3,Image 1,2,1000094200,94276,
2.05556,,Surface,3,Image 1,2,1000094205,94277,
26.186,,Surface,3,Image 1,2,1000094207,94278,
13.6697,,Surface,3,Image 1,2,1000094206,94279,
2.52727,,Surface,3,Image 1,2,1000094204,94280,
7.69444,,Surface,3,Image 1,2,1000094209,94281,
1.30709,,Surface,3,Image 1,2,1000094210,94282,
4.67073,,Surface,3,Image 1,2,1000094203,94283,
3.4,,Surface,3,Image 1,2,1000094211,94284,
2.69444,,Surface,3,Image 1,2,1000094208,94285,
3,,Surface,3,Image 1,2,1000094286,94286,
4.84058,,Surface,3,Image 1,2,1000094212,94287,
252.933,,Surface,3,Image 1,2,1000094288,94288,
255,,Surface,3,Image 1,2,1000094289,94289,
8.09091,,Surface,3,Image 1,2,1000094290,94290,
2.5618,,Surface,3,Image 1,2,1000094216,94291,
1.96667,,Surface,3,Image 1,2,1000094213,94292,
4.57647,,Surface,3,Image 1,2,1000094214,94293,
2.56566,,Surface,3,Image 1,2,1000094219,94294,
74.5,,Surface,3,Image 1,2,1000094220,94295,
3.12,,Surface,3,Image 1,2,1000094221,94296,
0.436893,,Surface,3,Image 1,2,1000094215,94297,
19.7778,,Surface,3,Image 1,2,1000094218,94298,
16.9815,,Surface,3,Image 1,2,1000094217,94299,
2.82432,,Surface,3,Image 1,2,1000094222,94300,
15.5,,Surface,3,Image 1,2,1000094223,94301,
0.356322,,Surface,3,Image 1,2,1000094302,94302,
3.29787,,Surface,3,Image 1,2,1000094224,94303,
7.39815,,Surface,3,Image 1,2,1000094226,94304,
31.3016,,Surface,3,Image 1,2,1000094227,94305,
2.12069,,Surface,3,Image 1,2,1000094228,94306,
254.643,,Surface,3,Image 1,2,1000094229,94307,
7.47059,,Surface,3,Image 1,2,1000094230,94308,
3.16923,,Surface,3,Image 1,2,1000094231,94309,
2.74576,,Surface,3,Image 1,2,1000094232,94310,
5.89935,,Surface,3,Image 1,2,1000094233,94311,
12.6452,,Surface,3,Image 1,2,1000094234,94312,
2.50877,,Surface,3,Image 1,2,1000094236,94313,
1.48864,,Surface,3,Image 1,2,1000094237,94314,
2.16471,,Surface,3,Image 1,2,1000094238,94315,
2.53425,,Surface,3,Image 1,2,1000094235,94316,
22.1282,,Surface,3,Image 1,2,1000094240,94317,
5.61225,,Surface,3,Image 1,2,1000094239,94318,
24.2308,,Surface,3,Image 1,2,1000094241,94319,
2.64706,,Surface,3,Image 1,2,1000094242,94320,
2.52,,Surface,3,Image 1,2,1000094243,94321,
5.41667,,Surface,3,Image 1,2,1000094244,94322,
3.50685,,Surface,3,Image 1,2,1000094245,94323,
204.522,,Surface,3,Image 1,2,1000094247,94324,
1.40845,,Surface,3,Image 1,2,1000094248,94325,
2.77778,,Surface,3,Image 1,2,1000094249,94326,
151.85,,Surface,3,Image 1,2,1000094250,94327,
7,,Surface,3,Image 1,2,1000094251,94328,
1.61333,,Surface,3,Image 1,2,1000094252,94329,
29.6154,,Surface,3,Image 1,2,1000094330,94330,
3,,Surface,3,Image 1,2,1000094254,94331,
2.17143,,Surface,3,Image 1,2,1000094255,94332,
34.75,,Surface,3,Image 1,2,1000094256,94333,
2.57895,,Surface,3,Image 1,2,1000094257,94334,
1.97333,,Surface,3,Image 1,2,1000094258,94335,
3.09091,,Surface,3,Image 1,3,1000094187,94336,
5.23377,,Surface,3,Image 1,3,1000094189,94337,
4.88462,,Surface,3,Image 1,3,1000094188,94338,
72.6988,,Surface,3,Image 1,3,1000094190,94339,
25.9091,,Surface,3,Image 1,3,1000094191,94340,
6.37405,,Surface,3,Image 1,3,1000094192,94341,
15.878,,Surface,3,Image 1,3,1000094185,94342,
1.23932,,Surface,3,Image 1,3,1000094186,94343,
2.33735,,Surface,3,Image 1,3,1000094193,94344,
1.98734,,Surface,3,Image 1,3,1000094194,94345,
2.46575,,Surface,3,Image 1,3,1000094195,94346,
7.48889,,Surface,3,Image 1,3,1000094196,94347,
15.4286,,Surface,3,Image 1,3,1000094197,94348,
154.214,,Surface,3,Image 1,3,1000094349,94349,
8.23077,,Surface,3,Image 1,3,1000094199,94350,
245.929,,Surface,3,Image 1,3,1000094198,94351,
2.32051,,Surface,3,Image 1,3,1000094200,94352,
2.8,,Surface,3,Image 1,3,1000094201,94353,
2.93333,,Surface,3,Image 1,3,1000094202,94354,
15.7283,,Surface,3,Image 1,3,1000094206,94355,
2.39474,,Surface,3,Image 1,3,1000094205,94356,
26.2979,,Surface,3,Image 1,3,1000094207,94357,
1.95918,,Surface,3,Image 1,3,1000094204,94358,
2.91579,,Surface,3,Image 1,3,1000094203,94359,
1.03876,,Surface,3,Image 1,3,1000094210,94360,
9.17582,,Surface,3,Image 1,3,1000094209,94361,
4.34783,,Surface,3,Image 1,3,1000094286,94362,
1.94118,,Surface,3,Image 1,3,1000094211,94363,
2.42254,,Surface,3,Image 1,3,1000094208,94364,
85.7857,,Surface,3,Image 1,3,1000094365,94365,
5.11538,,Surface,3,Image 1,3,1000094212,94366,
252.136,,Surface,3,Image 1,3,1000094289,94367,
5.25455,,Surface,3,Image 1,3,1000094214,94368,
1.83333,,Surface,3,Image 1,3,1000094213,94369,
76.5818,,Surface,3,Image 1,3,1000094220,94370,
1.20879,,Surface,3,Image 1,3,1000094215,94371,
2.67442,,Surface,3,Image 1,3,1000094216,94372,
6.36364,,Surface,3,Image 1,3,1000094290,94373,
19.4211,,Surface,3,Image 1,3,1000094218,94374,
2.74528,,Surface,3,Image 1,3,1000094219,94375,
18.9821,,Surface,3,Image 1,3,1000094217,94376,
2.33333,,Surface,3,Image 1,3,1000094222,94377,
18.4691,,Surface,3,Image 1,3,1000094223,94378,
7.27273,,Surface,3,Image 1,3,1000094379,94379,
3.01149,,Surface,3,Image 1,3,1000094224,94380,
0.180328,,Surface,3,Image 1,3,1000094302,94381,
24.1333,,Surface,3,Image 1,3,1000094227,94382,
6.67227,,Surface,3,Image 1,3,1000094226,94383,
230.636,,Surface,3,Image 1,3,1000094229,94384,
0.583333,,Surface,3,Image 1,3,1000094225,94385,
8.65217,,Surface,3,Image 1,3,1000094233,94386,
7.10843,,Surface,3,Image 1,3,1000094230,94387,
2.13235,,Surface,3,Image 1,3,1000094228,94388,
6.62712,,Surface,3,Image 1,3,1000094234,94389,
1.78261,,Surface,3,Image 1,3,1000094231,94390,
1.91525,,Surface,3,Image 1,3,1000094232,94391,
2.65625,,Surface,3,Image 1,3,1000094235,94392,
2.4375,,Surface,3,Image 1,3,1000094236,94393,
2.10989,,Surface,3,Image 1,3,1000094237,94394,
3.36585,,Surface,3,Image 1,3,1000094242,94395,
2.4,,Surface,3,Image 1,3,1000094238,94396,
2.83871,,Surface,3,Image 1,3,1000094243,94397,
28.9,,Surface,3,Image 1,3,1000094240,94398,
23.8947,,Surface,3,Image 1,3,1000094241,94399,
6.7907,,Surface,3,Image 1,3,1000094239,94400,
2.17778,,Surface,3,Image 1,3,1000094244,94401,
2.98529,,Surface,3,Image 1,3,1000094245,94402,
102.923,,Surface,3,Image 1,3,1000094246,94403,
234.421,,Surface,3,Image 1,3,1000094247,94404,
4.21429,,Surface,3,Image 1,3,1000094249,94405,
195.727,,Surface,3,Image 1,3,1000094250,94406,
1.21622,,Surface,3,Image 1,3,1000094252,94407,
18.9091,,Surface,3,Image 1,3,1000094330,94408,
2.68831,,Surface,3,Image 1,3,1000094248,94409,
2.58696,,Surface,3,Image 1,3,1000094255,94410,
33.9535,,Surface,3,Image 1,3,1000094256,94411,
2.15385,,Surface,3,Image 1,3,1000094257,94412,
180.471,,Surface,3,Image 1,3,1000094413,94413,
2.16,,Surface,3,Image 1,3,1000094258,94414,
1.36364,,Surface,3,Image 1,4,1000094187,94415,
6.91304,,Surface,3,Image 1,4,1000094189,94416,
2.38235,,Surface,3,Image 1,4,1000094188,94417,
69.2361,,Surface,3,Image 1,4,1000094190,94418,
25.7308,,Surface,3,Image 1,4,1000094191,94419,
5.68,,Surface,3,Image 1,4,1000094192,94420,
13.5741,,Surface,3,Image 1,4,1000094185,94421,
2.03614,,Surface,3,Image 1,4,1000094186,94422,
2.56716,,Surface,3,Image 1,4,1000094194,94423,
1.60274,,Surface,3,Image 1,4,1000094195,94424,
3.02913,,Surface,3,Image 1,4,1000094193,94425,
8.31496,,Surface,3,Image 1,4,1000094199,94426,
6.95918,,Surface,3,Image 1,4,1000094196,94427,
3.62264,,Surface,3,Image 1,4,1000094201,94428,
3.93396,,Surface,3,Image 1,4,1000094202,94429,
249.333,,Surface,3,Image 1,4,1000094198,94430,
0.356164,,Surface,3,Image 1,4,1000094431,94431,
2.2619,,Surface,3,Image 1,4,1000094200,94432,
28.4444,,Surface,3,Image 1,4,1000094207,94433,
8.15267,,Surface,3,Image 1,4,1000094205,94434,
2.32886,,Surface,3,Image 1,4,1000094210,94435,
2.94681,,Surface,3,Image 1,4,1000094204,94436,
2.2619,,Surface,3,Image 1,4,1000094203,94437,
10.8947,,Surface,3,Image 1,4,1000094209,94438,
4.4,,Surface,3,Image 1,4,1000094286,94439,
2.56757,,Surface,3,Image 1,4,1000094208,94440,
3.64706,,Surface,3,Image 1,4,1000094211,94441,
251.611,,Surface,3,Image 1,4,1000094289,94442,
47.7222,,Surface,3,Image 1,4,1000094365,94443,
2.17284,,Surface,3,Image 1,4,1000094213,94444,
0.41573,,Surface,3,Image 1,4,1000094215,94445,
7.22,,Surface,3,Image 1,4,1000094214,94446,
3,,Surface,3,Image 1,4,1000094216,94447,
3.52419,,Surface,3,Image 1,4,1000094212,94448,
19.0303,,Surface,3,Image 1,4,1000094218,94449,
3.41509,,Surface,3,Image 1,4,1000094219,94450,
78.8,,Surface,3,Image 1,4,1000094220,94451,
3.66667,,Surface,3,Image 1,4,1000094221,94452,
2.90244,,Surface,3,Image 1,4,1000094222,94453,
31.44,,Surface,3,Image 1,4,1000094223,94454,
20.2679,,Surface,3,Image 1,4,1000094217,94455,
20.7174,,Surface,3,Image 1,4,1000094224,94456,
6.11304,,Surface,3,Image 1,4,1000094226,94457,
2.84444,,Surface,3,Image 1,4,1000094302,94458,
26.9508,,Surface,3,Image 1,4,1000094227,94459,
233.643,,Surface,3,Image 1,4,1000094229,94460,
9.08108,,Surface,3,Image 1,4,1000094230,94461,
0,,Surface,3,Image 1,4,1000094225,94462,
2.71875,,Surface,3,Image 1,4,1000094231,94463,
7.33152,,Surface,3,Image 1,4,1000094233,94464,
3.125,,Surface,3,Image 1,4,1000094232,94465,
2.70968,,Surface,3,Image 1,4,1000094228,94466,
10.0948,,Surface,3,Image 1,4,1000094234,94467,
1.18182,,Surface,3,Image 1,4,1000094237,94468,
3.77143,,Surface,3,Image 1,4,1000094236,94469,
2.625,,Surface,3,Image 1,4,1000094238,94470,
2.31081,,Surface,3,Image 1,4,1000094235,94471,
9.53846,,Surface,3,Image 1,4,1000094239,94472,
35.1136,,Surface,3,Image 1,4,1000094240,94473,
18.1176,,Surface,3,Image 1,4,1000094241,94474,
3.97701,,Surface,3,Image 1,4,1000094242,94475,
2.17925,,Surface,3,Image 1,4,1000094243,94476,
2.04082,,Surface,3,Image 1,4,1000094244,94477,
219.556,,Surface,3,Image 1,4,1000094247,94478,
3.27273,,Surface,3,Image 1,4,1000094245,94479,
2.45455,,Surface,3,Image 1,4,1000094248,94480,
2.57143,,Surface,3,Image 1,4,1000094249,94481,
143.6,,Surface,3,Image 1,4,1000094250,94482,
250.5,,Surface,3,Image 1,4,1000094253,94483,
7.11765,,Surface,3,Image 1,4,1000094251,94484,
2.07353,,Surface,3,Image 1,4,1000094252,94485,
15,,Surface,3,Image 1,4,1000094330,94486,
3.41667,,Surface,3,Image 1,4,1000094257,94487,
2.05769,,Surface,3,Image 1,4,1000094255,94488,
30.66,,Surface,3,Image 1,4,1000094256,94489,
148.25,,Surface,3,Image 1,4,1000094413,94490,
2.01429,,Surface,3,Image 1,4,1000094258,94491,
3.47059,,Surface,3,Image 1,4,1000094254,94492,
64.8659,,Surface,3,Image 1,5,1000094190,94493,
27.2105,,Surface,3,Image 1,5,1000094191,94494,
6.12598,,Surface,3,Image 1,5,1000094192,94495,
3.08333,,Surface,3,Image 1,5,1000094187,94496,
1.5,,Surface,3,Image 1,5,1000094188,94497,
4.72619,,Surface,3,Image 1,5,1000094189,94498,
15.5745,,Surface,3,Image 1,5,1000094185,94499,
0.615385,,Surface,3,Image 1,5,1000094186,94500,
1.68116,,Surface,3,Image 1,5,1000094195,94501,
2,,Surface,3,Image 1,5,1000094193,94502,
2.31944,,Surface,3,Image 1,5,1000094194,94503,
7.67442,,Surface,3,Image 1,5,1000094196,94504,
10.4146,,Surface,3,Image 1,5,1000094199,94505,
3.20988,,Surface,3,Image 1,5,1000094202,94506,
246.786,,Surface,3,Image 1,5,1000094198,94507,
1.83529,,Surface,3,Image 1,5,1000094200,94508,
2.05556,,Surface,3,Image 1,5,1000094201,94509,
0.327586,,Surface,3,Image 1,5,1000094431,94510,
36.0526,,Surface,3,Image 1,5,1000094207,94511,
2.69672,,Surface,3,Image 1,5,1000094210,94512,
2.32479,,Surface,3,Image 1,5,1000094205,94513,
2.46512,,Surface,3,Image 1,5,1000094204,94514,
2.36782,,Surface,3,Image 1,5,1000094203,94515,
9.5812,,Surface,3,Image 1,5,1000094209,94516,
3.88235,,Surface,3,Image 1,5,1000094286,94517,
2.90278,,Surface,3,Image 1,5,1000094208,94518,
2.85714,,Surface,3,Image 1,5,1000094211,94519,
251.5,,Surface,3,Image 1,5,1000094288,94520,
2.3956,,Surface,3,Image 1,5,1000094213,94521,
254.75,,Surface,3,Image 1,5,1000094289,94522,
3.96825,,Surface,3,Image 1,5,1000094214,94523,
2.29787,,Surface,3,Image 1,5,1000094216,94524,
4.19091,,Surface,3,Image 1,5,1000094212,94525,
82.0833,,Surface,3,Image 1,5,1000094220,94526,
0.32967,,Surface,3,Image 1,5,1000094215,94527,
34.2,,Surface,3,Image 1,5,1000094223,94528,
17.75,,Surface,3,Image 1,5,1000094217,94529,
