
Speed
 ==================== 
Speed,Unit,Category,Time,TrackID,ID,
0.00631515,um/s,Surface,1,1000046961,46961,
0.0303432,um/s,Surface,1,1000046962,46962,
0.0378942,um/s,Surface,1,1000046963,46963,
0.013909,um/s,Surface,1,1000046964,46964,
0.0196268,um/s,Surface,1,1000046965,46965,
0.0106713,um/s,Surface,1,1000046966,46966,
0.0701382,um/s,Surface,1,1000046967,46967,
0.0176889,um/s,Surface,1,1000046968,46968,
0.00685335,um/s,Surface,1,1000046969,46969,
0.00738342,um/s,Surface,1,1000046970,46970,
0.0152725,um/s,Surface,1,1000046971,46971,
0.00376415,um/s,Surface,1,1000046972,46972,
0.0437018,um/s,Surface,1,1000046973,46973,
0.055308,um/s,Surface,1,1000046974,46974,
0.0615327,um/s,Surface,1,1000046975,46975,
0.00967725,um/s,Surface,1,1000046976,46976,
0.0167125,um/s,Surface,1,1000046977,46977,
0.01929,um/s,Surface,1,1000046978,46978,
0.0223663,um/s,Surface,1,1000046979,46979,
0.0308123,um/s,Surface,1,1000046980,46980,
0.0317309,um/s,Surface,1,1000046981,46981,
0.0174306,um/s,Surface,1,1000046982,46982,
0.0157646,um/s,Surface,1,1000046983,46983,
0.00732132,um/s,Surface,1,1000046984,46984,
0.00699561,um/s,Surface,1,1000046985,46985,
0.00316348,um/s,Surface,1,1000046986,46986,
0.00294383,um/s,Surface,1,1000046987,46987,
0.00584717,um/s,Surface,1,1000046988,46988,
0.105281,um/s,Surface,1,1000046989,46989,
0.0174272,um/s,Surface,1,1000046990,46990,
0.0447762,um/s,Surface,1,1000046991,46991,
0.0587195,um/s,Surface,1,1000046992,46992,
0.0539173,um/s,Surface,1,1000046993,46993,
0.00205931,um/s,Surface,1,1000046994,46994,
0.0180748,um/s,Surface,1,1000046995,46995,
0.0169876,um/s,Surface,1,1000046996,46996,
0.00398666,um/s,Surface,1,1000046997,46997,
0.00917557,um/s,Surface,1,1000046998,46998,
0.021933,um/s,Surface,1,1000046999,46999,
0.0200353,um/s,Surface,1,1000047000,47000,
0.0276977,um/s,Surface,1,1000047001,47001,
0.0163725,um/s,Surface,1,1000047002,47002,
0.00574825,um/s,Surface,1,1000047003,47003,
0.00631539,um/s,Surface,1,1000047004,47004,
0.0441064,um/s,Surface,1,1000047005,47005,
0.0337346,um/s,Surface,1,1000047006,47006,
0.0176216,um/s,Surface,1,1000047007,47007,
0.0120917,um/s,Surface,1,1000047008,47008,
0.017761,um/s,Surface,1,1000047009,47009,
0.00531047,um/s,Surface,1,1000047010,47010,
0.0352848,um/s,Surface,1,1000047011,47011,
0.0104333,um/s,Surface,1,1000047012,47012,
0.0088597,um/s,Surface,1,1000047013,47013,
0.0568712,um/s,Surface,1,1000047014,47014,
0.0240445,um/s,Surface,1,1000047015,47015,
0.00812089,um/s,Surface,1,1000047016,47016,
0.0318864,um/s,Surface,1,1000047017,47017,
0.00934239,um/s,Surface,1,1000047018,47018,
0.00953622,um/s,Surface,1,1000047019,47019,
0.0077663,um/s,Surface,1,1000047020,47020,
0.00299958,um/s,Surface,1,1000047021,47021,
0.0123659,um/s,Surface,1,1000047022,47022,
0.00816836,um/s,Surface,1,1000047023,47023,
0.00683142,um/s,Surface,1,1000047024,47024,
0.0239466,um/s,Surface,1,1000047025,47025,
0.0100619,um/s,Surface,1,1000047026,47026,
0.00207359,um/s,Surface,1,1000047027,47027,
0.00703467,um/s,Surface,1,1000047028,47028,
0.0261866,um/s,Surface,1,1000047029,47029,
0.0413731,um/s,Surface,1,1000047030,47030,
0.069896,um/s,Surface,1,1000047031,47031,
0.0556355,um/s,Surface,1,1000047032,47032,
0.0438988,um/s,Surface,1,1000047033,47033,
0.0398376,um/s,Surface,1,1000047034,47034,
0.00484505,um/s,Surface,1,1000047035,47035,
0.0049876,um/s,Surface,1,1000047036,47036,
0.00760853,um/s,Surface,1,1000047037,47037,
0.0322811,um/s,Surface,1,1000047038,47038,
0.0146821,um/s,Surface,1,1000047039,47039,
0.00273568,um/s,Surface,1,1000047040,47040,
0.0191514,um/s,Surface,1,1000047041,47041,
0.0169571,um/s,Surface,1,1000047042,47042,
0.0368123,um/s,Surface,1,1000047043,47043,
0.013739,um/s,Surface,1,1000047044,47044,
0.013702,um/s,Surface,1,1000047045,47045,
0.0191351,um/s,Surface,1,1000047046,47046,
0.0126591,um/s,Surface,1,1000047047,47047,
0.00439059,um/s,Surface,1,1000047048,47048,
0.0242137,um/s,Surface,1,1000047049,47049,
0.0112766,um/s,Surface,1,1000047050,47050,
0.0498892,um/s,Surface,1,1000047051,47051,
0.0453582,um/s,Surface,1,1000047052,47052,
0.0584028,um/s,Surface,1,1000047053,47053,
0.0170722,um/s,Surface,1,1000047054,47054,
0.021795,um/s,Surface,1,1000047055,47055,
0.0170294,um/s,Surface,1,1000047056,47056,
0.0122199,um/s,Surface,1,1000047057,47057,
0.00939398,um/s,Surface,1,1000047058,47058,
0.0203875,um/s,Surface,1,1000047059,47059,
0.0478599,um/s,Surface,1,1000047060,47060,
0.0285242,um/s,Surface,1,1000047061,47061,
0.00175144,um/s,Surface,2,1000046970,47062,
0.0160626,um/s,Surface,2,1000046971,47063,
0.00107004,um/s,Surface,2,1000046972,47064,
0.01319,um/s,Surface,2,1000046974,47065,
0.00551213,um/s,Surface,2,1000046973,47066,
0.0477953,um/s,Surface,2,1000046975,47067,
0.00611648,um/s,Surface,2,1000046976,47068,
0.0120579,um/s,Surface,2,1000046978,47069,
0.0192455,um/s,Surface,2,1000046977,47070,
0.00163787,um/s,Surface,2,1000046979,47071,
0.0105319,um/s,Surface,2,1000046980,47072,
0.0110095,um/s,Surface,2,1000046981,47073,
0.0109434,um/s,Surface,2,1000046969,47074,
0.020501,um/s,Surface,2,1000046967,47075,
0.00149553,um/s,Surface,2,1000046963,47076,
0.00889913,um/s,Surface,2,1000046968,47077,
0.00797865,um/s,Surface,2,1000046962,47078,
0.0141627,um/s,Surface,2,1000046964,47079,
0.00810273,um/s,Surface,2,1000046966,47080,
0.00835731,um/s,Surface,2,1000046961,47081,
0.00506602,um/s,Surface,2,1000046984,47082,
0.0190006,um/s,Surface,2,1000046965,47083,
0.00273367,um/s,Surface,2,1000046983,47084,
0.00561704,um/s,Surface,2,1000046982,47085,
0.00598749,um/s,Surface,2,1000046986,47086,
0.000807402,um/s,Surface,2,1000046987,47087,
0.00770987,um/s,Surface,2,1000046985,47088,
0.00563475,um/s,Surface,2,1000046990,47089,
0.0167753,um/s,Surface,2,1000046993,47090,
0.0104737,um/s,Surface,2,1000046991,47091,
0.00259725,um/s,Surface,2,1000046994,47092,
0.0284413,um/s,Surface,2,1000046992,47093,
0.0104398,um/s,Surface,2,1000046988,47094,
0.0896144,um/s,Surface,2,1000046989,47095,
0.00192977,um/s,Surface,2,1000046995,47096,
0.00668812,um/s,Surface,2,1000046996,47097,
0.0109315,um/s,Surface,2,1000046997,47098,
0.0158357,um/s,Surface,2,1000046999,47099,
0.00651395,um/s,Surface,2,1000046998,47100,
0.0259945,um/s,Surface,2,1000047002,47101,
0.018057,um/s,Surface,2,1000047102,47102,
0.00945561,um/s,Surface,2,1000047103,47103,
0.00891484,um/s,Surface,2,1000047000,47104,
0.013426,um/s,Surface,2,1000047001,47105,
0.035639,um/s,Surface,2,1000047006,47106,
0.00204525,um/s,Surface,2,1000047004,47107,
0.0350462,um/s,Surface,2,1000047005,47108,
0.00384877,um/s,Surface,2,1000047003,47109,
0.0146579,um/s,Surface,2,1000047007,47110,
0.0202458,um/s,Surface,2,1000047008,47111,
0.0217596,um/s,Surface,2,1000047009,47112,
0.00659094,um/s,Surface,2,1000047010,47113,
0.0102223,um/s,Surface,2,1000047015,47114,
0.025921,um/s,Surface,2,1000047014,47115,
0.0100187,um/s,Surface,2,1000047011,47116,
0.00298623,um/s,Surface,2,1000047012,47117,
0.00397493,um/s,Surface,2,1000047020,47118,
0.0131692,um/s,Surface,2,1000047016,47119,
0.0147219,um/s,Surface,2,1000047017,47120,
0.00922513,um/s,Surface,2,1000047022,47121,
0.000801289,um/s,Surface,2,1000047021,47122,
0.00720221,um/s,Surface,2,1000047018,47123,
0.00745661,um/s,Surface,2,1000047019,47124,
0.0146401,um/s,Surface,2,1000047125,47125,
0.0212437,um/s,Surface,2,1000047023,47126,
0.0194525,um/s,Surface,2,1000047127,47127,
0.00609114,um/s,Surface,2,1000047026,47128,
0.00254364,um/s,Surface,2,1000047024,47129,
0.0174221,um/s,Surface,2,1000047025,47130,
0.00208993,um/s,Surface,2,1000047027,47131,
0.00691521,um/s,Surface,2,1000047028,47132,
0.0108346,um/s,Surface,2,1000047029,47133,
0.0206743,um/s,Surface,2,1000047033,47134,
0.0178598,um/s,Surface,2,1000047030,47135,
0.0357091,um/s,Surface,2,1000047031,47136,
0.0313827,um/s,Surface,2,1000047032,47137,
0.0311061,um/s,Surface,2,1000047034,47138,
0.0019278,um/s,Surface,2,1000047035,47139,
0.00135568,um/s,Surface,2,1000047036,47140,
0.00595271,um/s,Surface,2,1000047040,47141,
0.0119114,um/s,Surface,2,1000047041,47142,
0.0147703,um/s,Surface,2,1000047037,47143,
0.0067823,um/s,Surface,2,1000047043,47144,
0.00563413,um/s,Surface,2,1000047045,47145,
0.0186649,um/s,Surface,2,1000047038,47146,
0.0179418,um/s,Surface,2,1000047039,47147,
0.00168775,um/s,Surface,2,1000047042,47148,
0.0173377,um/s,Surface,2,1000047044,47149,
0.0163258,um/s,Surface,2,1000047051,47150,
0.00679219,um/s,Surface,2,1000047047,47151,
0.01674,um/s,Surface,2,1000047050,47152,
0.0214339,um/s,Surface,2,1000047052,47153,
0.0125897,um/s,Surface,2,1000047049,47154,
0.00809008,um/s,Surface,2,1000047053,47155,
0.0100673,um/s,Surface,2,1000047056,47156,
0.0121922,um/s,Surface,2,1000047057,47157,
0.00402099,um/s,Surface,2,1000047059,47158,
0.0165115,um/s,Surface,2,1000047054,47159,
